 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
07:50 19.12.2019 	 1,77 	 9 	 11 	 349 	  
07:40 19.12.2019 	 1,69 	 9 	 11 	 349 	  
07:30 19.12.2019 	 1,6 	 9 	 11 	 349 	  
07:20 19.12.2019 	 1,52 	 9 	 12 	 348 	  
07:10 19.12.2019 	 1,45 	 9 	 11 	 350 	  
07:00 19.12.2019 	 1,38 	 9 	 11 	 348 	  
06:50 19.12.2019 	 1,32 	 9 	 10 	 349 	  
06:40 19.12.2019 	 1,27 	 8 	 10 	 347 	  
06:30 19.12.2019 	 1,22 	 7 	 10 	 349 	  
06:20 19.12.2019 	 1,18 	 7 	 9 	 350 	  
06:10 19.12.2019 	 1,15 	 7 	 9 	 351 	  
06:00 19.12.2019 	 1,13 	 8 	 10 	 351 	  
05:50 19.12.2019 	 1,11 	 8 	 10 	 350 	  
05:40 19.12.2019 	 1,1 	 7 	 10 	 349 	  
05:30 19.12.2019 	 1,11 	 7 	 9 	 350 	  
05:20 19.12.2019 	 1,12 	 6 	 10 	 356 	  
05:10 19.12.2019 	 1,14 	 5 	 8 	 2 	  
05:00 19.12.2019 	 1,16 	 3 	 6 	 12 	  
04:50 19.12.2019 	 1,2 	 3 	 5 	 16 	  
04:40 19.12.2019 	 1,24 	 2 	 2 	 357 	  
04:30 19.12.2019 	 1,29 	 2 	 4 	 16 	  
04:20 19.12.2019 	 1,35 	 2 	 4 	 68 	  
04:10 19.12.2019 	 1,41 	 2 	 3 	 27 	  
04:00 19.12.2019 	 1,48 	 3 	 5 	 91 	  
03:50 19.12.2019 	 1,56 	 2 	 4 	 93 	  
03:40 19.12.2019 	 1,64 	 2 	 3 	 81 	  
03:30 19.12.2019 	 1,72 	 2 	 3 	 58 	  
03:20 19.12.2019 	 1,81 	 2 	 4 	 65 	  
03:10 19.12.2019 	 1,9 	 2 	 4 	 20 	  
03:00 19.12.2019 	 1,99 	 4 	 5 	 16 	  
02:50 19.12.2019 	 2,08 	 3 	 5 	 34 	  
02:40 19.12.2019 	 2,17 	 3 	 6 	 10 	  
02:30 19.12.2019 	 2,27 	 2 	 4 	 10 	  
02:20 19.12.2019 	 2,36 	 2 	 4 	 59 	  
02:10 19.12.2019 	 2,45 	 2 	 4 	 33 	  
02:00 19.12.2019 	 2,54 	 2 	 4 	 88 	  
01:50 19.12.2019 	 2,62 	 2 	 4 	 54 	  
01:40 19.12.2019 	 2,7 	 3 	 6 	 59 	  
01:30 19.12.2019 	 2,78 	 2 	 3 	 62 	  
01:20 19.12.2019 	 2,85 	 2 	 4 	 69 	  
01:10 19.12.2019 	 2,92 	 4 	 7 	 52 	  
01:00 19.12.2019 	 2,99 	 4 	 7 	 59 	  
00:50 19.12.2019 	 3,05 	 4 	 6 	 57 	  
00:40 19.12.2019 	 3,1 	 4 	 6 	 52 	  
00:30 19.12.2019 	 3,14 	 5 	 7 	 68 	  
00:20 19.12.2019 	 3,18 	 4 	 6 	 81 	  
00:10 19.12.2019 	 3,22 	 4 	 7 	 74 	  
00:00 19.12.2019 	 3,24 	 4 	 5 	 89 	  
23:50 18.12.2019 	 3,26 	 4 	 6 	 86 	  
23:40 18.12.2019 	 3,27 	 4 	 5 	 84 	  
23:30 18.12.2019 	 3,27 	 4 	 5 	 90 	  
23:20 18.12.2019 	 3,27 	 4 	 5 	 90 	  
23:10 18.12.2019 	 3,25 	 4 	 5 	 85 	  
23:00 18.12.2019 	 3,23 	 5 	 7 	 81 	  
22:50 18.12.2019 	 3,21 	 6 	 7 	 76 	  
22:40 18.12.2019 	 3,17 	 6 	 9 	 70 	  
22:30 18.12.2019 	 3,13 	 5 	 9 	 64 	  
22:20 18.12.2019 	 3,08 	 5 	 8 	 71 	  
22:10 18.12.2019 	 3,02 	 7 	 9 	 70 	  
22:00 18.12.2019 	 2,96 	 8 	 11 	 75 	  
21:50 18.12.2019 	 2,89 	 9 	 11 	 71 	  
21:40 18.12.2019 	 2,82 	 9 	 11 	 64 	  
21:30 18.12.2019 	 2,74 	 9 	 12 	 66 	  
21:20 18.12.2019 	 2,66 	 9 	 11 	 66 	  
21:10 18.12.2019 	 2,57 	 9 	 13 	 63 	  
21:00 18.12.2019 	 2,48 	 7 	 10 	 68 	  
20:50 18.12.2019 	 2,39 	 6 	 9 	 80 	  
20:40 18.12.2019 	 2,3 	 8 	 12 	 58 	  
20:30 18.12.2019 	 2,2 	 8 	 11 	 59 	  
20:20 18.12.2019 	 2,11 	 8 	 12 	 57 	  
20:10 18.12.2019 	 2,01 	 7 	 11 	 56 	  
20:00 18.12.2019 	 1,91 	 6 	 8 	 62 	  
19:50 18.12.2019 	 1,82 	 6 	 9 	 63 	  
19:40 18.12.2019 	 1,73 	 6 	 8 	 72 	  
19:30 18.12.2019 	 1,64 	 6 	 9 	 65 	  
19:20 18.12.2019 	 1,55 	 7 	 10 	 65 	  
19:10 18.12.2019 	 1,46 	 5 	 8 	 66 	  
19:00 18.12.2019 	 1,38 	 3 	 6 	 81 	  
18:50 18.12.2019 	 1,31 	 6 	 10 	 76 	  
18:40 18.12.2019 	 1,24 	 6 	 8 	 67 	  
18:30 18.12.2019 	 1,17 	 6 	 9 	 55 	  
18:20 18.12.2019 	 1,11 	 6 	 10 	 55 	  
18:10 18.12.2019 	 1,06 	 5 	 8 	 66 	  
18:00 18.12.2019 	 1,02 	 5 	 8 	 55 	  
17:50 18.12.2019 	 0,99 	 6 	 9 	 49 	  
17:40 18.12.2019 	 0,96 	 5 	 7 	 63 	  
17:30 18.12.2019 	 0,94 	 4 	 6 	 66 	  
17:20 18.12.2019 	 0,93 	 5 	 6 	 67 	  
17:10 18.12.2019 	 0,93 	 5 	 6 	 75 	  
17:00 18.12.2019 	 0,94 	 5 	 7 	 83 	  
16:50 18.12.2019 	 0,96 	 4 	 6 	 90 	  
16:40 18.12.2019 	 0,99 	 5 	 6 	 87 	  
16:30 18.12.2019 	 1,03 	 6 	 7 	 83 	  
16:20 18.12.2019 	 1,07 	 5 	 8 	 87 	  
16:10 18.12.2019 	 1,13 	 6 	 8 	 76 	  
16:00 18.12.2019 	 1,19 	 7 	 8 	 75 	  
15:50 18.12.2019 	 1,26 	 6 	 9 	 81 	  
15:40 18.12.2019 	 1,34 	 4 	 7 	 91 	  
15:30 18.12.2019 	 1,42 	 3 	 6 	 91 	  
15:20 18.12.2019 	 1,51 	 3 	 5 	 106 	  
15:10 18.12.2019 	 1,61 	 3 	 6 	 99 	  
15:00 18.12.2019 	 1,71 	 4 	 6 	 93 	  
14:50 18.12.2019 	 1,81 	 4 	 7 	 94 	  
14:40 18.12.2019 	 1,92 	 4 	 6 	 81 	  
14:30 18.12.2019 	 2,03 	 4 	 5 	 69 	  
14:20 18.12.2019 	 2,14 	 5 	 7 	 73 	  
14:10 18.12.2019 	 2,25 	 5 	 7 	 85 	  
14:00 18.12.2019 	 2,36 	 7 	 9 	 83 	  
13:50 18.12.2019 	 2,48 	 7 	 9 	 83 	  
13:40 18.12.2019 	 2,59 	 6 	 8 	 84 	  
13:30 18.12.2019 	 2,69 	 4 	 6 	 76 	  
13:20 18.12.2019 	 2,8 	 4 	 5 	 30 	  
13:10 18.12.2019 	 2,9 	 4 	 5 	 37 	  
13:00 18.12.2019 	 3 	 4 	 4 	 51 	  
12:50 18.12.2019 	 3,09 	 4 	 5 	 53 	  
12:40 18.12.2019 	 3,18 	 5 	 6 	 56 	  
12:30 18.12.2019 	 3,26 	 4 	 6 	 60 	  
12:20 18.12.2019 	 3,34 	 5 	 7 	 63 	  
12:10 18.12.2019 	 3,41 	 4 	 6 	 67 	  
12:00 18.12.2019 	 3,47 	 3 	 4 	 50 	  
11:50 18.12.2019 	 3,53 	 4 	 5 	 69 	  
11:40 18.12.2019 	 3,58 	 3 	 5 	 54 	  
11:30 18.12.2019 	 3,61 	 4 	 7 	 25 	  
11:20 18.12.2019 	 3,65 	 8 	 11 	 359 	  
11:10 18.12.2019 	 3,67 	 9 	 12 	 358 	  
11:00 18.12.2019 	 3,68 	 7 	 10 	 8 	  
10:50 18.12.2019 	 3,68 	 8 	 13 	 2 	  
10:40 18.12.2019 	 3,68 	 7 	 9 	 359 	  
10:30 18.12.2019 	 3,66 	 7 	 9 	 7 	  
10:20 18.12.2019 	 3,64 	 7 	 9 	 10 	  
10:10 18.12.2019 	 3,61 	 8 	 10 	 13 	  
10:00 18.12.2019 	 3,57 	 10 	 12 	 10 	  
09:50 18.12.2019 	 3,52 	 8 	 11 	 22 	  
09:40 18.12.2019 	 3,46 	 3 	 8 	 53 	  
09:30 18.12.2019 	 3,4 	 2 	 4 	 49 	  
09:20 18.12.2019 	 3,32 	 5 	 9 	 359 	  
09:10 18.12.2019 	 3,25 	 7 	 11 	 343 	  
09:00 18.12.2019 	 3,16 	 7 	 10 	 351 	  
08:50 18.12.2019 	 3,07 	 6 	 12 	 354 	  
08:40 18.12.2019 	 2,98 	 5 	 8 	 10 	  
08:30 18.12.2019 	 2,88 	 3 	 6 	 46 	  
08:20 18.12.2019 	 2,77 	 2 	 6 	 47 	  
08:10 18.12.2019 	 2,67 	 3 	 5 	 22 	  
08:00 18.12.2019 	 2,56 	 3 	 8 	 30 	  
07:50 18.12.2019 	 2,45 	 7 	 9 	 352 	  
07:40 18.12.2019 	 2,34 	 8 	 10 	 353 	  
07:30 18.12.2019 	 2,22 	 5 	 10 	 6 	  
07:20 18.12.2019 	 2,11 	 3 	 7 	 63 	  
07:10 18.12.2019 	 2 	 3 	 6 	 46 	  
07:00 18.12.2019 	 1,89 	 3 	 5 	 357 	  
06:50 18.12.2019 	 1,78 	 1 	 3 	 27 	  
06:40 18.12.2019 	 1,68 	 1 	 2 	 186 	  
06:30 18.12.2019 	 1,58 	 1 	 2 	 181 	  
06:20 18.12.2019 	 1,49 	 1 	 2 	 173 	  
06:10 18.12.2019 	 1,4 	 1 	 2 	 187 	  
06:00 18.12.2019 	 1,31 	 1 	 2 	 212 	  
05:50 18.12.2019 	 1,24 	 1 	 2 	 171 	  
05:40 18.12.2019 	 1,17 	 2 	 2 	 168 	  
05:30 18.12.2019 	 1,11 	 1 	 2 	 68 	  
05:20 18.12.2019 	 1,06 	 3 	 4 	 17 	  
05:10 18.12.2019 	 1,02 	 3 	 6 	 14 	  
05:00 18.12.2019 	 0,98 	 3 	 7 	 33 	  
04:50 18.12.2019 	 0,96 	 4 	 9 	 17 	  
04:40 18.12.2019 	 0,95 	 2 	 5 	 28 	  
04:30 18.12.2019 	 0,94 	 1 	 2 	 173 	  
04:20 18.12.2019 	 0,95 	 2 	 3 	 125 	  
04:10 18.12.2019 	 0,97 	 3 	 7 	 73 	  
04:00 18.12.2019 	 0,99 	 8 	 12 	 360 	  
03:50 18.12.2019 	 1,03 	 9 	 12 	 3 	  
03:40 18.12.2019 	 1,07 	 9 	 12 	 12 	  
03:30 18.12.2019 	 1,13 	 8 	 12 	 13 	  
03:20 18.12.2019 	 1,19 	 7 	 9 	 1 	  
03:10 18.12.2019 	 1,26 	 9 	 14 	 360 	  
03:00 18.12.2019 	 1,33 	 10 	 14 	 357 	  
02:50 18.12.2019 	 1,41 	 9 	 11 	 358 	  
02:40 18.12.2019 	 1,5 	 10 	 14 	 6 	  
02:30 18.12.2019 	 1,59 	 10 	 12 	 11 	  
02:20 18.12.2019 	 1,69 	 9 	 13 	 12 	  
02:10 18.12.2019 	 1,79 	 9 	 12 	 11 	  
02:00 18.12.2019 	 1,89 	 10 	 12 	 357 	  
01:50 18.12.2019 	 1,99 	 7 	 11 	 13 	  
01:40 18.12.2019 	 2,1 	 6 	 9 	 23 	  
01:30 18.12.2019 	 2,2 	 2 	 5 	 74 	  
01:20 18.12.2019 	 2,3 	 6 	 9 	 45 	  
01:10 18.12.2019 	 2,41 	 8 	 11 	 19 	  
01:00 18.12.2019 	 2,51 	 7 	 10 	 358 	  
00:50 18.12.2019 	 2,61 	 8 	 11 	 12 	  
00:40 18.12.2019 	 2,7 	 8 	 11 	 20 	  
00:30 18.12.2019 	 2,79 	 8 	 11 	 20 	  
00:20 18.12.2019 	 2,88 	 6 	 10 	 14 	  
00:10 18.12.2019 	 2,96 	 3 	 5 	 82 	  
00:00 18.12.2019 	 3,03 	 2 	 6 	 68 	  
23:50 17.12.2019 	 3,1 	 4 	 7 	 91 	  
23:40 17.12.2019 	 3,16 	 7 	 11 	 26 	  
23:30 17.12.2019 	 3,22 	 6 	 9 	 18 	  
23:20 17.12.2019 	 3,27 	 6 	 11 	 35 	  
23:10 17.12.2019 	 3,31 	 9 	 12 	 357 	  
23:00 17.12.2019 	 3,34 	 10 	 12 	 358 	  
22:50 17.12.2019 	 3,37 	 8 	 10 	 10 	  
22:40 17.12.2019 	 3,38 	 7 	 9 	 20 	  
22:30 17.12.2019 	 3,39 	 5 	 8 	 9 	  
22:20 17.12.2019 	 3,39 	 7 	 10 	 350 	  
22:10 17.12.2019 	 3,38 	 7 	 10 	 6 	  
22:00 17.12.2019 	 3,36 	 5 	 10 	 14 	  
21:50 17.12.2019 	 3,33 	 7 	 10 	 15 	  
21:40 17.12.2019 	 3,3 	 8 	 10 	 14 	  
21:30 17.12.2019 	 3,25 	 7 	 11 	 14 	  
21:20 17.12.2019 	 3,2 	 9 	 11 	 19 	  
21:10 17.12.2019 	 3,14 	 8 	 11 	 16 	  
21:00 17.12.2019 	 3,08 	 9 	 11 	 25 	  
20:50 17.12.2019 	 3,01 	 10 	 12 	 14 	  
20:40 17.12.2019 	 2,93 	 10 	 12 	 24 	  
20:30 17.12.2019 	 2,85 	 11 	 13 	 23 	  
20:20 17.12.2019 	 2,76 	 10 	 14 	 24 	  
20:10 17.12.2019 	 2,66 	 12 	 15 	 19 	  
20:00 17.12.2019 	 2,57 	 11 	 14 	 14 	  
19:50 17.12.2019 	 2,46 	 10 	 13 	 9 	  
19:40 17.12.2019 	 2,36 	 11 	 14 	 5 	  
19:30 17.12.2019 	 2,25 	 11 	 16 	 10 	  
19:20 17.12.2019 	 2,15 	 12 	 18 	 12 	  
19:10 17.12.2019 	 2,04 	 12 	 16 	 19 	  
19:00 17.12.2019 	 1,93 	 12 	 16 	 15 	  
18:50 17.12.2019 	 1,82 	 12 	 16 	 14 	  
18:40 17.12.2019 	 1,71 	 12 	 15 	 13 	  
18:30 17.12.2019 	 1,61 	 12 	 15 	 14 	  
18:20 17.12.2019 	 1,51 	 12 	 15 	 9 	  
18:10 17.12.2019 	 1,41 	 10 	 14 	 360 	  
18:00 17.12.2019 	 1,32 	 11 	 15 	 8 	  
17:50 17.12.2019 	 1,23 	 13 	 17 	 13 	  
17:40 17.12.2019 	 1,15 	 12 	 17 	 12 	  
