 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
10:10 08.12.2019 	 1,23 	 1,46 	 7 	 10 	 2 	 992 	 2,3 	 3,6 	  
10:00 08.12.2019 	 1,23 	 1,44 	 7 	 10 	 4 	 992 	 2,2 	 3,6 	  
09:50 08.12.2019 	 1,24 	 1,42 	 9 	 13 	 9 	 993 	 2,2 	 3,6 	  
09:40 08.12.2019 	 1,25 	 1,43 	 9 	 13 	 8 	 990 	 2,1 	 3,6 	  
09:30 08.12.2019 	 1,28 	 1,5 	 10 	 14 	 18 	 991 	 2,1 	 3,6 	  
09:20 08.12.2019 	 1,31 	 1,51 	 11 	 16 	 21 	 991 	 2,1 	 3,6 	  
09:10 08.12.2019 	 1,35 	 1,61 	 12 	 16 	 17 	 991 	 1,9 	 3,6 	  
09:00 08.12.2019 	 1,39 	 1,64 	 11 	 16 	 19 	 991 	 1,8 	 3,6 	  
08:50 08.12.2019 	 1,44 	 1,67 	 12 	 16 	 20 	 990 	 1,7 	 3,6 	  
08:40 08.12.2019 	 1,5 	 1,71 	 11 	 16 	 28 	 989 	 1,5 	 3,5 	  
08:30 08.12.2019 	 1,56 	 1,74 	 10 	 14 	 29 	 990 	 1,5 	 3,5 	  
08:20 08.12.2019 	 1,63 	 1,81 	 9 	 13 	 26 	 990 	 1,4 	 3,5 	  
08:10 08.12.2019 	 1,7 	 1,89 	 9 	 12 	 22 	 989 	 1,1 	 3,6 	  
08:00 08.12.2019 	 1,78 	 2 	 9 	 13 	 37 	 989 	 1,1 	 3,6 	  
07:50 08.12.2019 	 1,86 	 2,11 	 9 	 14 	 32 	 989 	 1,2 	 3,6 	  
07:40 08.12.2019 	 1,94 	 2,19 	 7 	 13 	 48 	 988 	 1,3 	 3,8 	  
07:30 08.12.2019 	 2,03 	 2,26 	 4 	 11 	 28 	 989 	 1,1 	 3,8 	  
07:20 08.12.2019 	 2,11 	 2,3 	 5 	 15 	 42 	 988 	 1,2 	 3,8 	  
07:10 08.12.2019 	 2,2 	 2,38 	 2 	 4 	 182 	 988 	 -2,9 	 3,8 	  
07:00 08.12.2019 	 2,28 	 2,51 	 2 	 3 	 146 	 986 	 -1,7 	 3,8 	  
06:50 08.12.2019 	 2,37 	 2,61 	 2 	 3 	 176 	 987 	 -2,2 	 3,8 	  
06:40 08.12.2019 	 2,45 	 2,69 	 1 	 3 	 153 	 987 	 -2 	 3,8 	  
06:30 08.12.2019 	 2,54 	 2,8 	 2 	 4 	 180 	 987 	 -2,8 	 3,9 	  
06:20 08.12.2019 	 2,62 	 2,85 	 5 	 12 	 53 	 986 	 -1,2 	 3,9 	  
06:10 08.12.2019 	 2,7 	 2,94 	 2 	 5 	 194 	 986 	 -3,1 	 3,9 	  
06:00 08.12.2019 	 2,77 	 2,95 	 3 	 5 	 199 	 986 	 -3,4 	 3,9 	  
05:50 08.12.2019 	 2,84 	 3,03 	 4 	 5 	 190 	 986 	 -3,8 	 3,9 	  
05:40 08.12.2019 	 2,91 	 3,16 	 3 	 5 	 184 	 986 	 -4 	 3,9 	  
05:30 08.12.2019 	 2,97 	 3,21 	 4 	 5 	 200 	 986 	 -3,8 	 3,9 	  
05:20 08.12.2019 	 3,03 	 3,31 	 2 	 4 	 187 	 986 	 -3,8 	 3,9 	  
05:10 08.12.2019 	 3,08 	 3,35 	 3 	 5 	 198 	 986 	 -3,6 	 3,9 	  
05:00 08.12.2019 	 3,13 	 3,38 	 3 	 4 	 224 	 985 	 -3,3 	 3,9 	  
04:50 08.12.2019 	 3,17 	 3,38 	 3 	 4 	 196 	 985 	 -3,4 	 3,9 	  
04:40 08.12.2019 	 3,2 	 3,47 	 1 	 3 	 202 	 985 	 -3 	 3,8 	  
04:30 08.12.2019 	 3,23 	 3,47 	 2 	 4 	 167 	 985 	 -2,4 	 3,9 	  
04:20 08.12.2019 	 3,25 	 3,56 	 4 	 5 	 172 	 985 	 -3,2 	 3,9 	  
04:10 08.12.2019 	 3,27 	 3,56 	 2 	 5 	 202 	 985 	 -2,8 	 3,8 	  
04:00 08.12.2019 	 3,28 	 3,59 	 2 	 4 	 187 	 985 	 -3,1 	 3,8 	  
03:50 08.12.2019 	 3,28 	 3,59 	 1 	 2 	 219 	 984 	 -3,3 	 3,8 	  
03:40 08.12.2019 	 3,27 	 3,56 	 1 	 3 	 170 	 984 	 -2,9 	 3,8 	  
03:30 08.12.2019 	 3,26 	 3,49 	 3 	 4 	 173 	 984 	 -2,9 	 3,8 	  
03:20 08.12.2019 	 3,24 	 3,46 	 2 	 3 	 183 	 984 	 -2,5 	 3,8 	  
03:10 08.12.2019 	 3,21 	 3,44 	 2 	 4 	 171 	 984 	 -2,6 	 3,8 	  
03:00 08.12.2019 	 3,18 	 3,42 	 2 	 4 	 175 	 984 	 -3,3 	 3,7 	  
02:50 08.12.2019 	 3,14 	 3,4 	 3 	 5 	 193 	 984 	 -3,2 	 3,7 	  
02:40 08.12.2019 	 3,09 	 3,34 	 2 	 4 	 194 	 984 	 -2,7 	 3,7 	  
02:30 08.12.2019 	 3,03 	 3,29 	 2 	 4 	 237 	 984 	 -2 	 3,7 	  
02:20 08.12.2019 	 2,97 	 3,19 	 1 	 2 	 270 	 984 	 -2 	 3,7 	  
02:10 08.12.2019 	 2,91 	 3,14 	 2 	 4 	 15 	 984 	 -1,5 	 3,7 	  
02:00 08.12.2019 	 2,84 	 3,07 	 1 	 3 	 73 	 984 	 -1,6 	 3,7 	  
01:50 08.12.2019 	 2,76 	 3,04 	 2 	 6 	 143 	 984 	 -1,8 	 3,7 	  
01:40 08.12.2019 	 2,68 	 2,98 	 3 	 4 	 146 	 984 	 -2 	 3,7 	  
01:30 08.12.2019 	 2,6 	 2,95 	 3 	 5 	 179 	 984 	 -2,9 	 3,7 	  
01:20 08.12.2019 	 2,51 	 2,83 	 2 	 5 	 181 	 984 	 -2,6 	 3,7 	  
01:10 08.12.2019 	 2,42 	 2,77 	 2 	 4 	 130 	 983 	 -1,8 	 3,7 	  
01:00 08.12.2019 	 2,33 	 2,65 	 4 	 7 	 356 	 984 	 -1,9 	 3,7 	  
00:50 08.12.2019 	 2,24 	 2,62 	 1 	 4 	 226 	 984 	 -1,7 	 3,7 	  
00:40 08.12.2019 	 2,15 	 2,54 	 2 	 3 	 57 	 984 	 -1,1 	 3,7 	  
00:30 08.12.2019 	 2,06 	 2,49 	 3 	 5 	 79 	 984 	 -0,7 	 3,7 	  
00:20 08.12.2019 	 1,97 	 2,42 	 3 	 8 	 69 	 984 	 -1,2 	 3,7 	  
00:10 08.12.2019 	 1,89 	 2,34 	 8 	 13 	 28 	 984 	 -0,8 	 3,7 	  
00:00 08.12.2019 	 1,8 	 2,22 	 11 	 15 	 32 	 984 	 -0,8 	 3,7 	  
23:50 07.12.2019 	 1,72 	 2,13 	 9 	 15 	 34 	 984 	 -0,4 	 3,7 	  
23:40 07.12.2019 	 1,64 	 1,98 	 10 	 14 	 27 	 984 	 -1,6 	 3,7 	  
23:30 07.12.2019 	 1,57 	 1,91 	 11 	 15 	 27 	 984 	 -1,6 	 3,7 	  
23:20 07.12.2019 	 1,5 	 1,85 	 11 	 15 	 19 	 984 	 -1,8 	 3,7 	  
23:10 07.12.2019 	 1,44 	 1,76 	 11 	 15 	 26 	 984 	 -1,9 	 3,7 	  
23:00 07.12.2019 	 1,39 	 1,69 	 11 	 18 	 22 	 984 	 -1,6 	 3,7 	  
22:50 07.12.2019 	 1,33 	 1,62 	 12 	 16 	 22 	 984 	 -1,9 	 3,7 	  
22:40 07.12.2019 	 1,29 	 1,55 	 12 	 16 	 18 	 984 	 -1,8 	 3,8 	  
22:30 07.12.2019 	 1,25 	 1,51 	 11 	 16 	 19 	 984 	 -1,7 	 3,8 	  
22:20 07.12.2019 	 1,22 	 1,46 	 12 	 16 	 20 	 984 	 -1,8 	 3,8 	  
22:10 07.12.2019 	 1,2 	 1,46 	 11 	 15 	 18 	 984 	 -1,9 	 3,8 	  
22:00 07.12.2019 	 1,18 	 1,46 	 11 	 16 	 16 	 984 	 -1,9 	 3,8 	  
21:50 07.12.2019 	 1,17 	 1,5 	 12 	 16 	 22 	 984 	 -1,9 	 3,8 	  
21:40 07.12.2019 	 1,17 	 1,47 	 13 	 17 	 27 	 984 	 -1,7 	 3,8 	  
21:30 07.12.2019 	 1,18 	 1,51 	 11 	 15 	 24 	 984 	 -1,5 	 3,8 	  
21:20 07.12.2019 	 1,19 	 1,5 	 12 	 16 	 19 	 984 	 -1,6 	 3,8 	  
21:10 07.12.2019 	 1,21 	 1,54 	 12 	 16 	 15 	 984 	 -1,7 	 3,8 	  
21:00 07.12.2019 	 1,24 	 1,57 	 11 	 15 	 17 	 984 	 -1,4 	 3,8 	  
20:50 07.12.2019 	 1,27 	 1,66 	 11 	 16 	 14 	 984 	 -1,8 	 3,8 	  
20:40 07.12.2019 	 1,31 	 1,71 	 11 	 15 	 12 	 984 	 -1,7 	 3,7 	  
20:30 07.12.2019 	 1,36 	 1,79 	 11 	 15 	 13 	 984 	 -1,4 	 3,7 	  
20:20 07.12.2019 	 1,41 	 1,82 	 11 	 15 	 10 	 984 	 -1,4 	 3,7 	  
20:10 07.12.2019 	 1,47 	 1,87 	 12 	 16 	 14 	 984 	 -1,6 	 3,7 	  
20:00 07.12.2019 	 1,54 	 1,92 	 12 	 16 	 13 	 984 	 -1,8 	 3,7 	  
19:50 07.12.2019 	 1,6 	 1,98 	 12 	 17 	 12 	 984 	 -1,6 	 3,8 	  
19:40 07.12.2019 	 1,68 	 2,04 	 12 	 16 	 11 	 984 	 -1,8 	 3,8 	  
19:30 07.12.2019 	 1,75 	 2,1 	 12 	 16 	 8 	 984 	 -1,8 	 3,7 	  
19:20 07.12.2019 	 1,83 	 2,17 	 13 	 16 	 9 	 984 	 -1,6 	 3,7 	  
19:10 07.12.2019 	 1,91 	 2,22 	 12 	 17 	 8 	 984 	 -1,3 	 3,7 	  
19:00 07.12.2019 	 1,99 	 2,27 	 12 	 17 	 8 	 984 	 -1,2 	 3,8 	  
18:50 07.12.2019 	 2,07 	 2,31 	 12 	 16 	 9 	 984 	 -1,2 	 3,8 	  
18:40 07.12.2019 	 2,16 	 2,4 	 10 	 15 	 6 	 984 	 -1,1 	 3,8 	  
18:30 07.12.2019 	 2,24 	 2,48 	 10 	 15 	 7 	 984 	 -1,1 	 3,8 	  
18:20 07.12.2019 	 2,32 	 2,59 	 11 	 16 	 7 	 984 	 -0,6 	 3,9 	  
18:10 07.12.2019 	 2,4 	 2,65 	 10 	 17 	 1 	 984 	 -1,1 	 3,9 	  
18:00 07.12.2019 	 2,48 	 2,73 	 10 	 17 	 5 	 984 	 -0,9 	 3,9 	  
17:50 07.12.2019 	 2,56 	 2,8 	 10 	 16 	 3 	 984 	 -1 	 3,9 	  
17:40 07.12.2019 	 2,63 	 2,88 	 11 	 16 	 8 	 984 	 -0,6 	 3,9 	  
17:30 07.12.2019 	 2,7 	 2,97 	 11 	 15 	 12 	 984 	 -0,7 	 3,9 	  
17:20 07.12.2019 	 2,77 	 3,02 	 11 	 16 	 14 	 984 	 -0,7 	 3,9 	  
17:10 07.12.2019 	 2,83 	 3,09 	 11 	 15 	 15 	 985 	 -0,5 	 3,9 	  
17:00 07.12.2019 	 2,88 	 3,17 	 10 	 15 	 18 	 983 	 -0,4 	 3,9 	  
16:50 07.12.2019 	 2,94 	 3,26 	 10 	 13 	 26 	 984 	 -0,1 	 3,9 	  
16:40 07.12.2019 	 2,99 	 3,31 	 8 	 11 	 43 	 985 	 1,1 	 3,9 	  
16:30 07.12.2019 	 3,03 	 3,37 	 6 	 10 	 72 	 985 	 1,9 	 3,9 	  
16:20 07.12.2019 	 3,06 	 3,4 	 7 	 11 	 70 	 985 	 1,9 	 3,9 	  
16:10 07.12.2019 	 3,1 	 3,47 	 7 	 12 	 73 	 985 	 1,9 	 3,9 	  
16:00 07.12.2019 	 3,12 	 3,5 	 9 	 12 	 69 	 984 	 1,9 	 3,9 	  
15:50 07.12.2019 	 3,14 	 3,47 	 8 	 12 	 71 	 984 	 1,8 	 3,9 	  
15:40 07.12.2019 	 3,15 	 3,53 	 3 	 6 	 100 	 985 	 1,2 	 3,9 	  
15:30 07.12.2019 	 3,16 	 3,52 	 4 	 9 	 117 	 985 	 0,9 	 3,9 	  
15:20 07.12.2019 	 3,16 	 3,49 	 6 	 10 	 82 	 985 	 1,2 	 3,9 	  
15:10 07.12.2019 	 3,15 	 3,52 	 9 	 13 	 82 	 985 	 1,3 	 3,9 	  
15:00 07.12.2019 	 3,14 	 3,48 	 10 	 15 	 82 	 984 	 1,4 	 3,9 	  
14:50 07.12.2019 	 3,12 	 3,46 	 11 	 17 	 82 	 985 	 1,6 	 3,9 	  
14:40 07.12.2019 	 3,09 	 3,42 	 12 	 17 	 83 	 985 	 1,7 	 3,9 	  
14:30 07.12.2019 	 3,06 	 3,38 	 10 	 17 	 85 	 986 	 1,4 	 3,9 	  
14:20 07.12.2019 	 3,02 	 3,36 	 9 	 14 	 88 	 986 	 1,3 	 4 	  
14:10 07.12.2019 	 2,98 	 3,3 	 10 	 17 	 85 	 986 	 1,3 	 4 	  
14:00 07.12.2019 	 2,93 	 3,24 	 10 	 17 	 86 	 986 	 1,3 	 4 	  
13:50 07.12.2019 	 2,88 	 3,2 	 10 	 17 	 86 	 986 	 1,3 	 4 	  
