 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (°C)	
00:00 01.01.2020 	 2,75 	 3,2 	 6 	 10 	 204 	 6,3 	  
23:50 31.12.2019 	 2,83 	 3,25 	 5 	 9 	 201 	 6,2 	  
23:40 31.12.2019 	 2,91 	 3,33 	 6 	 9 	 202 	 6,2 	  
23:30 31.12.2019 	 2,97 	 3,42 	 6 	 10 	 198 	 6,3 	  
23:20 31.12.2019 	 3,03 	 3,48 	 6 	 10 	 196 	 6,4 	  
23:10 31.12.2019 	 3,09 	 3,53 	 6 	 9 	 196 	 6,4 	  
23:00 31.12.2019 	 3,14 	 3,55 	 6 	 10 	 196 	 6,3 	  
22:50 31.12.2019 	 3,18 	 3,55 	 6 	 9 	 198 	 6,3 	  
22:40 31.12.2019 	 3,22 	 3,54 	 6 	 9 	 193 	 6,3 	  
22:30 31.12.2019 	 3,24 	 3,58 	 6 	 9 	 193 	 6,4 	  
22:20 31.12.2019 	 3,26 	 3,62 	 5 	 9 	 196 	 6,6 	  
22:10 31.12.2019 	 3,28 	 3,66 	 6 	 10 	 198 	 6,6 	  
22:00 31.12.2019 	 3,28 	 3,65 	 6 	 10 	 195 	 6,5 	  
21:50 31.12.2019 	 3,28 	 3,62 	 6 	 10 	 197 	 6,7 	  
21:40 31.12.2019 	 3,26 	 3,58 	 5 	 7 	 195 	 6,8 	  
21:30 31.12.2019 	 3,24 	 3,54 	 5 	 9 	 201 	 6,7 	  
21:20 31.12.2019 	 3,22 	 3,56 	 6 	 10 	 210 	 6,8 	  
21:10 31.12.2019 	 3,18 	 3,54 	 6 	 10 	 211 	 6,6 	  
21:00 31.12.2019 	 3,14 	 3,5 	 6 	 10 	 209 	 6,5 	  
20:50 31.12.2019 	 3,09 	 3,45 	 6 	 10 	 206 	 6,8 	  
20:40 31.12.2019 	 3,04 	 3,4 	 6 	 9 	 193 	 7 	  
20:30 31.12.2019 	 2,97 	 3,36 	 5 	 9 	 184 	 6,7 	  
20:20 31.12.2019 	 2,91 	 3,29 	 5 	 7 	 177 	 6,8 	  
20:10 31.12.2019 	 2,83 	 3,22 	 5 	 8 	 183 	 6,9 	  
20:00 31.12.2019 	 2,76 	 3,17 	 5 	 9 	 186 	 6,9 	  
19:50 31.12.2019 	 2,67 	 3,09 	 5 	 9 	 192 	 6,9 	  
19:40 31.12.2019 	 2,59 	 3,01 	 4 	 7 	 188 	 6,7 	  
19:30 31.12.2019 	 2,5 	 2,89 	 5 	 9 	 189 	 6,7 	  
19:20 31.12.2019 	 2,41 	 2,77 	 5 	 9 	 191 	 6,8 	  
19:10 31.12.2019 	 2,31 	 2,64 	 4 	 7 	 188 	 6,8 	  
19:00 31.12.2019 	 2,22 	 2,54 	 5 	 8 	 186 	 6,8 	  
18:50 31.12.2019 	 2,12 	 2,43 	 3 	 6 	 178 	 6,5 	  
18:40 31.12.2019 	 2,02 	 2,33 	 3 	 6 	 170 	 6,4 	  
18:30 31.12.2019 	 1,93 	 2,23 	 3 	 6 	 160 	 6,3 	  
18:20 31.12.2019 	 1,83 	 2,13 	 3 	 6 	 172 	 6,4 	  
18:10 31.12.2019 	 1,74 	 1,98 	 4 	 6 	 177 	 6,3 	  
18:00 31.12.2019 	 1,65 	 1,87 	 4 	 6 	 178 	 6,2 	  
17:50 31.12.2019 	 1,56 	 1,8 	 3 	 5 	 175 	 6,1 	  
17:40 31.12.2019 	 1,48 	 1,72 	 3 	 5 	 180 	 6,1 	  
17:30 31.12.2019 	 1,4 	 1,66 	 3 	 6 	 178 	 5,9 	  
17:20 31.12.2019 	 1,32 	 1,59 	 3 	 5 	 172 	 5,9 	  
17:10 31.12.2019 	 1,26 	 1,49 	 3 	 5 	 184 	 5,9 	  
17:00 31.12.2019 	 1,19 	 1,42 	 4 	 6 	 197 	 5,9 	  
16:50 31.12.2019 	 1,14 	 1,38 	 4 	 6 	 202 	 5,8 	  
16:40 31.12.2019 	 1,1 	 1,36 	 4 	 5 	 210 	 5,6 	  
16:30 31.12.2019 	 1,06 	 1,34 	 3 	 5 	 209 	 5,6 	  
16:20 31.12.2019 	 1,03 	 1,35 	 4 	 6 	 221 	 5,5 	  
16:10 31.12.2019 	 1,01 	 1,34 	 4 	 6 	 223 	 5,5 	  
16:00 31.12.2019 	 1 	 1,37 	 4 	 6 	 218 	 5,4 	  
15:50 31.12.2019 	 1 	 1,34 	 5 	 7 	 221 	 5,3 	  
15:40 31.12.2019 	 1,01 	 1,33 	 5 	 7 	 230 	 5,3 	  
15:30 31.12.2019 	 1,03 	 1,33 	 5 	 7 	 234 	 5,4 	  
15:20 31.12.2019 	 1,06 	 1,35 	 5 	 7 	 232 	 5,4 	  
15:10 31.12.2019 	 1,09 	 1,39 	 5 	 7 	 232 	 5,4 	  
15:00 31.12.2019 	 1,14 	 1,46 	 5 	 7 	 233 	 5,4 	  
14:50 31.12.2019 	 1,2 	 1,57 	 4 	 6 	 230 	 5,4 	  
14:40 31.12.2019 	 1,26 	 1,59 	 3 	 6 	 230 	 5,5 	  
14:30 31.12.2019 	 1,33 	 1,67 	 3 	 4 	 221 	 5,5 	  
14:20 31.12.2019 	 1,41 	 1,74 	 3 	 4 	 238 	 5,4 	  
14:10 31.12.2019 	 1,5 	 1,81 	 3 	 4 	 238 	 5,2 	  
14:00 31.12.2019 	 1,59 	 1,93 	 3 	 4 	 247 	 5,4 	  
13:50 31.12.2019 	 1,69 	 2,07 	 3 	 4 	 249 	 5,3 	  
13:40 31.12.2019 	 1,79 	 2,17 	 3 	 5 	 242 	 5,3 	  
13:30 31.12.2019 	 1,89 	 2,29 	 2 	 3 	 229 	 5,6 	  
13:20 31.12.2019 	 2 	 2,36 	 2 	 4 	 208 	 5,8 	  
13:10 31.12.2019 	 2,11 	 2,45 	 2 	 3 	 212 	 5,9 	  
13:00 31.12.2019 	 2,22 	 2,54 	 2 	 2 	 219 	 5,7 	  
12:50 31.12.2019 	 2,33 	 2,67 	 2 	 3 	 247 	 5,6 	  
12:40 31.12.2019 	 2,44 	 2,78 	 2 	 4 	 259 	 5,2 	  
12:30 31.12.2019 	 2,56 	 2,94 	 2 	 3 	 254 	 5,2 	  
12:20 31.12.2019 	 2,66 	 3,04 	 3 	 4 	 246 	 5,6 	  
12:10 31.12.2019 	 2,77 	 3,14 	 3 	 4 	 245 	 5,9 	  
12:00 31.12.2019 	 2,87 	 3,26 	 3 	 5 	 249 	 5,6 	  
11:50 31.12.2019 	 2,97 	 3,37 	 3 	 5 	 248 	 5,9 	  
11:40 31.12.2019 	 3,07 	 3,44 	 3 	 5 	 255 	 6,1 	  
11:30 31.12.2019 	 3,16 	 3,53 	 2 	 2 	 156 	 7,1 	  
11:20 31.12.2019 	 3,24 	 3,62 	 2 	 4 	 188 	 7 	  
11:10 31.12.2019 	 3,32 	 3,71 	 3 	 5 	 209 	 7,1 	  
11:00 31.12.2019 	 3,39 	 3,77 	 4 	 5 	 226 	 6,9 	  
10:50 31.12.2019 	 3,45 	 3,79 	 4 	 8 	 251 	 6,5 	  
10:40 31.12.2019 	 3,51 	 3,81 	 3 	 8 	 181 	 7,8 	  
10:30 31.12.2019 	 3,55 	 3,86 	 2 	 3 	 154 	 7 	  
10:20 31.12.2019 	 3,59 	 3,9 	 2 	 4 	 161 	 6,9 	  
10:10 31.12.2019 	 3,63 	 3,95 	 4 	 7 	 187 	 7,2 	  
10:00 31.12.2019 	 3,65 	 3,98 	 6 	 9 	 198 	 7,4 	  
09:50 31.12.2019 	 3,66 	 3,99 	 5 	 9 	 192 	 7,7 	  
09:40 31.12.2019 	 3,67 	 3,97 	 5 	 8 	 189 	 7,5 	  
09:30 31.12.2019 	 3,66 	 3,94 	 4 	 8 	 177 	 7,4 	  
09:20 31.12.2019 	 3,65 	 3,9 	 4 	 8 	 185 	 7,4 	  
09:10 31.12.2019 	 3,63 	 3,89 	 3 	 5 	 200 	 7 	  
09:00 31.12.2019 	 3,6 	 3,89 	 2 	 6 	 140 	 5,9 	  
08:50 31.12.2019 	 3,57 	 3,88 	 3 	 4 	 89 	 5,3 	  
08:40 31.12.2019 	 3,52 	 3,86 	 3 	 4 	 129 	 5,8 	  
08:30 31.12.2019 	 3,47 	 3,81 	 4 	 7 	 130 	 6,1 	  
08:20 31.12.2019 	 3,41 	 3,74 	 4 	 6 	 140 	 5,9 	  
08:10 31.12.2019 	 3,34 	 3,67 	 3 	 6 	 159 	 6,4 	  
08:00 31.12.2019 	 3,27 	 3,59 	 4 	 8 	 174 	 6,3 	  
07:50 31.12.2019 	 3,19 	 3,54 	 4 	 7 	 178 	 6,2 	  
07:40 31.12.2019 	 3,1 	 3,44 	 4 	 7 	 184 	 6,2 	  
07:30 31.12.2019 	 3,01 	 3,37 	 5 	 10 	 187 	 6,1 	  
07:20 31.12.2019 	 2,91 	 3,24 	 6 	 10 	 184 	 6,3 	  
07:10 31.12.2019 	 2,81 	 3,1 	 7 	 13 	 189 	 6,2 	  
07:00 31.12.2019 	 2,71 	 2,98 	 7 	 12 	 187 	 6,1 	  
06:50 31.12.2019 	 2,6 	 2,83 	 7 	 11 	 183 	 6 	  
06:40 31.12.2019 	 2,5 	 2,71 	 7 	 12 	 184 	 6,2 	  
06:30 31.12.2019 	 2,38 	 2,6 	 8 	 12 	 186 	 6,3 	  
06:20 31.12.2019 	 2,27 	 2,48 	 8 	 14 	 188 	 6,2 	  
06:10 31.12.2019 	 2,16 	 2,36 	 8 	 13 	 180 	 6,4 	  
06:00 31.12.2019 	 2,05 	 2,24 	 7 	 12 	 174 	 6,6 	  
05:50 31.12.2019 	 1,94 	 2,13 	 6 	 11 	 181 	 6,6 	  
05:40 31.12.2019 	 1,83 	 2,01 	 6 	 11 	 165 	 6,6 	  
05:30 31.12.2019 	 1,73 	 1,92 	 4 	 9 	 164 	 6,4 	  
05:20 31.12.2019 	 1,63 	 1,83 	 4 	 9 	 142 	 6,3 	  
05:10 31.12.2019 	 1,53 	 1,73 	 5 	 7 	 117 	 4,6 	  
05:00 31.12.2019 	 1,44 	 1,63 	 5 	 6 	 118 	 4,7 	  
04:50 31.12.2019 	 1,35 	 1,54 	 4 	 7 	 120 	 5,1 	  
04:40 31.12.2019 	 1,27 	 1,45 	 3 	 5 	 137 	 4,9 	  
04:30 31.12.2019 	 1,2 	 1,36 	 3 	 5 	 135 	 4,8 	  
04:20 31.12.2019 	 1,14 	 1,25 	 2 	 4 	 139 	 4,9 	  
04:10 31.12.2019 	 1,08 	 1,17 	 2 	 4 	 130 	 4,7 	  
04:00 31.12.2019 	 1,04 	 1,14 	 3 	 4 	 126 	 4,4 	  
03:50 31.12.2019 	 1 	 1,1 	 3 	 4 	 125 	 4,3 	  
03:40 31.12.2019 	 0,97 	 1,09 	 4 	 5 	 110 	 3,8 	  
03:30 31.12.2019 	 0,95 	 1,07 	 5 	 6 	 104 	 3,7 	  
03:20 31.12.2019 	 0,94 	 1,05 	 5 	 5 	 109 	 3,8 	  
03:10 31.12.2019 	 0,95 	 1,04 	 5 	 6 	 95 	 3,5 	  
03:00 31.12.2019 	 0,96 	 1,04 	 5 	 6 	 94 	 3,4 	  
02:50 31.12.2019 	 0,98 	 1,06 	 5 	 6 	 93 	 3,2 	  
02:40 31.12.2019 	 1,01 	 1,08 	 4 	 5 	 115 	 3,5 	  
02:30 31.12.2019 	 1,05 	 1,15 	 4 	 5 	 120 	 3,6 	  
02:20 31.12.2019 	 1,11 	 1,2 	 4 	 5 	 133 	 3,7 	  
02:10 31.12.2019 	 1,16 	 1,25 	 3 	 5 	 141 	 3,8 	  
02:00 31.12.2019 	 1,23 	 1,29 	 3 	 5 	 141 	 3,8 	  
01:50 31.12.2019 	 1,31 	 1,35 	 3 	 5 	 157 	 4 	  
01:40 31.12.2019 	 1,39 	 1,45 	 3 	 5 	 151 	 4 	  
01:30 31.12.2019 	 1,48 	 1,56 	 3 	 4 	 131 	 4 	  
01:20 31.12.2019 	 1,57 	 1,7 	 3 	 4 	 131 	 3,7 	  
01:10 31.12.2019 	 1,67 	 1,82 	 3 	 4 	 137 	 3,8 	  
01:00 31.12.2019 	 1,77 	 1,92 	 2 	 5 	 161 	 4 	  
00:50 31.12.2019 	 1,87 	 2 	 3 	 5 	 181 	 4,1 	  
00:40 31.12.2019 	 1,98 	 2,1 	 4 	 6 	 200 	 4,2 	  
00:30 31.12.2019 	 2,09 	 2,22 	 4 	 8 	 178 	 4,3 	  
00:20 31.12.2019 	 2,2 	 2,34 	 3 	 5 	 157 	 4,5 	  
00:10 31.12.2019 	 2,31 	 2,47 	 3 	 5 	 139 	 4,1 	  
00:00 31.12.2019 	 2,41 	 2,6 	 3 	 4 	 148 	 4,4 	  
23:50 30.12.2019 	 2,52 	 2,67 	 3 	 4 	 140 	 4,3 	  
23:40 30.12.2019 	 2,62 	 2,78 	 3 	 4 	 139 	 4,1 	  
23:30 30.12.2019 	 2,72 	 2,84 	 3 	 4 	 135 	 4 	  
23:20 30.12.2019 	 2,82 	 2,92 	 3 	 4 	 152 	 4,2 	  
23:10 30.12.2019 	 2,91 	 3,05 	 3 	 6 	 165 	 4,3 	  
23:00 30.12.2019 	 2,99 	 3,17 	 3 	 5 	 154 	 4,2 	  
22:50 30.12.2019 	 3,07 	 3,27 	 2 	 4 	 144 	 3,9 	  
22:40 30.12.2019 	 3,14 	 3,33 	 2 	 3 	 151 	 4 	  
22:30 30.12.2019 	 3,21 	 3,33 	 2 	 4 	 175 	 4,1 	  
22:20 30.12.2019 	 3,26 	 3,35 	 3 	 5 	 171 	 3,9 	  
22:10 30.12.2019 	 3,31 	 3,37 	 3 	 4 	 162 	 3,8 	  
22:00 30.12.2019 	 3,36 	 3,41 	 2 	 4 	 168 	 3,7 	  
21:50 30.12.2019 	 3,39 	 3,46 	 3 	 4 	 152 	 3,7 	  
21:40 30.12.2019 	 3,41 	 3,53 	 4 	 9 	 190 	 3,7 	  
21:30 30.12.2019 	 3,43 	 3,54 	 4 	 5 	 196 	 4 	  
21:20 30.12.2019 	 3,44 	 3,56 	 3 	 5 	 195 	 4 	  
21:10 30.12.2019 	 3,43 	 3,55 	 3 	 5 	 186 	 4 	  
21:00 30.12.2019 	 3,42 	 3,53 	 2 	 4 	 171 	 3,9 	  
20:50 30.12.2019 	 3,4 	 3,53 	 2 	 4 	 185 	 3,9 	  
20:40 30.12.2019 	 3,37 	 3,51 	 3 	 6 	 194 	 3,9 	  
20:30 30.12.2019 	 3,34 	 3,49 	 4 	 7 	 198 	 4,1 	  
20:20 30.12.2019 	 3,29 	 3,46 	 4 	 7 	 201 	 3,7 	  
20:10 30.12.2019 	 3,24 	 3,41 	 5 	 10 	 206 	 3,8 	  
20:00 30.12.2019 	 3,18 	 3,35 	 3 	 5 	 185 	 3,6 	  
19:50 30.12.2019 	 3,11 	 3,29 	 2 	 4 	 169 	 3,6 	  
19:40 30.12.2019 	 3,03 	 3,21 	 2 	 4 	 168 	 3,5 	  
19:30 30.12.2019 	 2,95 	 3,13 	 3 	 5 	 199 	 3,5 	  
19:20 30.12.2019 	 2,86 	 3,06 	 4 	 7 	 206 	 3,6 	  
19:10 30.12.2019 	 2,77 	 2,98 	 5 	 8 	 238 	 3,7 	  
19:00 30.12.2019 	 2,67 	 2,89 	 3 	 8 	 165 	 3,2 	  
18:50 30.12.2019 	 2,57 	 2,75 	 4 	 6 	 90 	 2,3 	  
18:40 30.12.2019 	 2,46 	 2,62 	 5 	 6 	 86 	 1,4 	  
18:30 30.12.2019 	 2,36 	 2,48 	 6 	 7 	 80 	 1,5 	  
18:20 30.12.2019 	 2,24 	 2,34 	 7 	 8 	 83 	 1,4 	  
18:10 30.12.2019 	 2,13 	 2,22 	 6 	 8 	 84 	 1,2 	  
18:00 30.12.2019 	 2,02 	 2,13 	 6 	 8 	 87 	 1,4 	  
17:50 30.12.2019 	 1,91 	 2 	 7 	 9 	 85 	 1,7 	  
17:40 30.12.2019 	 1,8 	 1,87 	 7 	 8 	 84 	 1,7 	  
17:30 30.12.2019 	 1,69 	 1,74 	 6 	 7 	 84 	 1,6 	  
17:20 30.12.2019 	 1,58 	 1,63 	 6 	 8 	 86 	 1,6 	  
17:10 30.12.2019 	 1,48 	 1,56 	 6 	 7 	 89 	 1,9 	  
17:00 30.12.2019 	 1,38 	 1,46 	 5 	 7 	 90 	 1,6 	  
16:50 30.12.2019 	 1,29 	 1,39 	 4 	 5 	 100 	 2 	  
16:40 30.12.2019 	 1,21 	 1,32 	 4 	 5 	 91 	 1,9 	  
16:30 30.12.2019 	 1,13 	 1,23 	 4 	 4 	 108 	 2,5 	  
16:20 30.12.2019 	 1,06 	 1,16 	 3 	 3 	 114 	 2,5 	  
16:10 30.12.2019 	 1 	 1,13 	 3 	 4 	 108 	 2,2 	  
16:00 30.12.2019 	 0,95 	 1,09 	 3 	 5 	 108 	 2,4 	  
15:50 30.12.2019 	 0,9 	 1,05 	 3 	 4 	 101 	 2,3 	  
15:40 30.12.2019 	 0,87 	 1,04 	 2 	 3 	 109 	 2,5 	  
15:30 30.12.2019 	 0,85 	 1,04 	 3 	 4 	 118 	 2,2 	  
15:20 30.12.2019 	 0,84 	 1,04 	 4 	 5 	 101 	 2,2 	  
15:10 30.12.2019 	 0,83 	 1,02 	 4 	 5 	 95 	 2,2 	  
15:00 30.12.2019 	 0,85 	 1,03 	 4 	 5 	 87 	 2,1 	  
14:50 30.12.2019 	 0,87 	 1,06 	 4 	 5 	 82 	 2,2 	  
14:40 30.12.2019 	 0,9 	 1,08 	 4 	 5 	 89 	 2,1 	  
14:30 30.12.2019 	 0,94 	 1,11 	 3 	 4 	 96 	 2 	  
14:20 30.12.2019 	 1 	 1,16 	 3 	 4 	 98 	 1,8 	  
14:10 30.12.2019 	 1,06 	 1,22 	 3 	 3 	 106 	 2 	  
14:00 30.12.2019 	 1,13 	 1,28 	 3 	 3 	 117 	 2 	  
13:50 30.12.2019 	 1,21 	 1,36 	 2 	 3 	 121 	 2,1 	  
13:40 30.12.2019 	 1,3 	 1,45 	 3 	 3 	 108 	 1,8 	  
13:30 30.12.2019 	 1,4 	 1,55 	 2 	 3 	 126 	 2 	  
13:20 30.12.2019 	 1,51 	 1,67 	 2 	 2 	 120 	 2,3 	  
13:10 30.12.2019 	 1,62 	 1,78 	 1 	 2 	 132 	 2,3 	  
13:00 30.12.2019 	 1,73 	 1,9 	 2 	 3 	 157 	 2,6 	  
12:50 30.12.2019 	 1,85 	 2,03 	 2 	 3 	 167 	 2,5 	  
12:40 30.12.2019 	 1,98 	 2,16 	 2 	 3 	 171 	 2,7 	  
12:30 30.12.2019 	 2,1 	 2,29 	 2 	 3 	 181 	 2,6 	  
12:20 30.12.2019 	 2,23 	 2,45 	 2 	 3 	 204 	 2,7 	  
12:10 30.12.2019 	 2,36 	 2,56 	 1 	 1 	 127 	 1,7 	  
12:00 30.12.2019 	 2,49 	 2,69 	 1 	 2 	 106 	 1,5 	  
11:50 30.12.2019 	 2,61 	 2,83 	 1 	 2 	 120 	 1,1 	  
11:40 30.12.2019 	 2,74 	 2,95 	 2 	 2 	 132 	 1,4 	  
11:30 30.12.2019 	 2,86 	 3,08 	 1 	 2 	 113 	 1,6 	  
11:20 30.12.2019 	 2,97 	 3,21 	 1 	 2 	 90 	 1,5 	  
11:10 30.12.2019 	 3,08 	 3,32 	 1 	 2 	 90 	 1,8 	  
11:00 30.12.2019 	 3,19 	 3,44 	 1 	 2 	 319 	 1,9 	  
10:50 30.12.2019 	 3,29 	 3,5 	 2 	 3 	 275 	 2,7 	  
10:40 30.12.2019 	 3,38 	 3,6 	 3 	 3 	 276 	 2,7 	  
10:30 30.12.2019 	 3,47 	 3,68 	 3 	 4 	 243 	 2,6 	  
10:20 30.12.2019 	 3,55 	 3,76 	 3 	 5 	 230 	 2,7 	  
10:10 30.12.2019 	 3,62 	 3,8 	 5 	 6 	 266 	 2,7 	  
10:00 30.12.2019 	 3,68 	 3,88 	 4 	 7 	 272 	 2,5 	  
09:50 30.12.2019 	 3,73 	 3,92 	 2 	 5 	 160 	 1,9 	  
09:40 30.12.2019 	 3,78 	 3,94 	 2 	 2 	 138 	 1,1 	  
09:30 30.12.2019 	 3,81 	 3,97 	 2 	 3 	 131 	 0,7 	  
09:20 30.12.2019 	 3,84 	 3,98 	 1 	 2 	 110 	 0,9 	  
09:10 30.12.2019 	 3,85 	 4,02 	 1 	 1 	 103 	 0,9 	  
09:00 30.12.2019 	 3,86 	 4,03 	 1 	 1 	 86 	 0,9 	  
08:50 30.12.2019 	 3,86 	 4,04 	 0 	 1 	 107 	 1,1 	  
08:40 30.12.2019 	 3,84 	 4,05 	 0 	 1 	 133 	 1 	  
08:30 30.12.2019 	 3,82 	 4,05 	 1 	 2 	 129 	 0,9 	  
08:20 30.12.2019 	 3,79 	 4,01 	 1 	 1 	 169 	 1,3 	  
08:10 30.12.2019 	 3,75 	 3,99 	 1 	 2 	 150 	 1 	  
08:00 30.12.2019 	 3,69 	 3,94 	 1 	 2 	 178 	 1,1 	  
07:50 30.12.2019 	 3,63 	 3,9 	 2 	 3 	 166 	 0,8 	  
07:40 30.12.2019 	 3,57 	 3,85 	 1 	 2 	 137 	 0,6 	  
07:30 30.12.2019 	 3,49 	 3,78 	 1 	 1 	 150 	 0,4 	  
07:20 30.12.2019 	 3,41 	 3,69 	 2 	 3 	 134 	 0,2 	  
07:10 30.12.2019 	 3,31 	 3,6 	 1 	 2 	 119 	 0,4 	  
07:00 30.12.2019 	 3,22 	 3,48 	 1 	 2 	 111 	 0,8 	  
06:50 30.12.2019 	 3,11 	 3,4 	 1 	 2 	 97 	 0,9 	  
06:40 30.12.2019 	 3 	 3,26 	 1 	 1 	 97 	 0,9 	  
06:30 30.12.2019 	 2,89 	 3,15 	 2 	 2 	 22 	 1,4 	  
06:20 30.12.2019 	 2,77 	 3 	 2 	 4 	 284 	 1,5 	  
06:10 30.12.2019 	 2,65 	 2,86 	 3 	 4 	 294 	 1,5 	  
06:00 30.12.2019 	 2,52 	 2,7 	 1 	 2 	 243 	 1,5 	  
05:50 30.12.2019 	 2,39 	 2,57 	 1 	 2 	 232 	 1,3 	  
05:40 30.12.2019 	 2,27 	 2,45 	 1 	 3 	 209 	 1,4 	  
05:30 30.12.2019 	 2,14 	 2,3 	 1 	 2 	 188 	 1,3 	  
05:20 30.12.2019 	 2,01 	 2,18 	 1 	 2 	 249 	 1,4 	  
05:10 30.12.2019 	 1,89 	 2,05 	 2 	 3 	 244 	 1,5 	  
05:00 30.12.2019 	 1,76 	 1,94 	 3 	 4 	 282 	 1,9 	  
04:50 30.12.2019 	 1,64 	 1,82 	 4 	 5 	 288 	 1,7 	  
04:40 30.12.2019 	 1,53 	 1,71 	 5 	 6 	 302 	 2 	  
04:30 30.12.2019 	 1,42 	 1,59 	 5 	 6 	 299 	 2,1 	  
04:20 30.12.2019 	 1,32 	 1,47 	 6 	 7 	 307 	 2,2 	  
04:10 30.12.2019 	 1,22 	 1,38 	 6 	 7 	 311 	 2,1 	  
04:00 30.12.2019 	 1,13 	 1,3 	 6 	 8 	 313 	 2,1 	  
03:50 30.12.2019 	 1,05 	 1,23 	 6 	 8 	 317 	 2,1 	  
03:40 30.12.2019 	 0,98 	 1,15 	 7 	 8 	 320 	 2,1 	  
03:30 30.12.2019 	 0,92 	 1,11 	 7 	 9 	 320 	 2 	  
03:20 30.12.2019 	 0,87 	 1,07 	 7 	 9 	 308 	 2,1 	  
03:10 30.12.2019 	 0,83 	 1,06 	 7 	 8 	 317 	 2 	  
03:00 30.12.2019 	 0,8 	 1,05 	 8 	 10 	 323 	 2,2 	  
02:50 30.12.2019 	 0,78 	 1,04 	 8 	 10 	 322 	 2,2 	  
02:40 30.12.2019 	 0,77 	 1,02 	 7 	 9 	 323 	 2 	  
02:30 30.12.2019 	 0,77 	 1,02 	 9 	 10 	 323 	 2 	  
02:20 30.12.2019 	 0,79 	 1,01 	 8 	 9 	 320 	 2,1 	  
02:10 30.12.2019 	 0,82 	 1,03 	 8 	 10 	 323 	 2,1 	  
02:00 30.12.2019 	 0,85 	 1,09 	 9 	 11 	 315 	 2,1 	  
01:50 30.12.2019 	 0,9 	 1,13 	 9 	 11 	 314 	 2,2 	  
01:40 30.12.2019 	 0,96 	 1,17 	 9 	 11 	 320 	 2,2 	  
01:30 30.12.2019 	 1,03 	 1,22 	 9 	 12 	 313 	 2,2 	  
01:20 30.12.2019 	 1,11 	 1,29 	 10 	 12 	 315 	 2,2 	  
01:10 30.12.2019 	 1,19 	 1,41 	 10 	 12 	 319 	 2,3 	  
01:00 30.12.2019 	 1,29 	 1,53 	 10 	 12 	 319 	 2,3 	  
00:50 30.12.2019 	 1,39 	 1,63 	 10 	 12 	 317 	 2,4 	  
00:40 30.12.2019 	 1,5 	 1,76 	 10 	 14 	 318 	 2,4 	  
00:30 30.12.2019 	 1,61 	 1,87 	 11 	 13 	 319 	 2,4 	  
00:20 30.12.2019 	 1,72 	 1,97 	 10 	 13 	 323 	 2,3 	  
00:10 30.12.2019 	 1,84 	 2,1 	 8 	 11 	 325 	 2,3 	  
00:00 30.12.2019 	 1,96 	 2,22 	 10 	 13 	 323 	 2,3 	  
23:50 29.12.2019 	 2,08 	 2,36 	 10 	 13 	 324 	 2,3 	  
23:40 29.12.2019 	 2,21 	 2,51 	 11 	 13 	 319 	 2,3 	  
23:30 29.12.2019 	 2,33 	 2,65 	 11 	 13 	 316 	 2,4 	  
23:20 29.12.2019 	 2,45 	 2,79 	 9 	 12 	 315 	 2,4 	  
23:10 29.12.2019 	 2,56 	 2,93 	 10 	 11 	 314 	 2,4 	  
23:00 29.12.2019 	 2,68 	 3,02 	 9 	 12 	 310 	 2,6 	  
22:50 29.12.2019 	 2,79 	 3,14 	 9 	 11 	 312 	 2,6 	  
22:40 29.12.2019 	 2,89 	 3,23 	 9 	 11 	 315 	 2,6 	  
22:30 29.12.2019 	 2,99 	 3,32 	 9 	 11 	 316 	 2,6 	  
22:20 29.12.2019 	 3,08 	 3,43 	 9 	 10 	 315 	 2,6 	  
22:10 29.12.2019 	 3,17 	 3,5 	 10 	 12 	 316 	 2,6 	  
22:00 29.12.2019 	 3,25 	 3,54 	 10 	 13 	 316 	 2,6 	  
21:50 29.12.2019 	 3,32 	 3,6 	 11 	 13 	 315 	 2,6 	  
21:40 29.12.2019 	 3,38 	 3,67 	 11 	 13 	 315 	 2,6 	  
21:30 29.12.2019 	 3,44 	 3,73 	 12 	 14 	 311 	 2,7 	  
21:20 29.12.2019 	 3,49 	 3,79 	 12 	 14 	 313 	 2,6 	  
21:10 29.12.2019 	 3,52 	 3,83 	 12 	 14 	 315 	 2,6 	  
21:00 29.12.2019 	 3,55 	 3,88 	 12 	 14 	 316 	 2,6 	  
20:50 29.12.2019 	 3,57 	 3,89 	 11 	 14 	 314 	 2,5 	  
20:40 29.12.2019 	 3,58 	 3,91 	 12 	 14 	 312 	 2,6 	  
20:30 29.12.2019 	 3,57 	 3,91 	 11 	 13 	 311 	 2,7 	  
20:20 29.12.2019 	 3,56 	 3,89 	 11 	 14 	 311 	 2,7 	  
20:10 29.12.2019 	 3,54 	 3,87 	 11 	 14 	 312 	 2,7 	  
20:00 29.12.2019 	 3,51 	 3,83 	 13 	 15 	 314 	 2,6 	  
19:50 29.12.2019 	 3,47 	 3,8 	 13 	 15 	 316 	 2,6 	  
19:40 29.12.2019 	 3,42 	 3,75 	 12 	 15 	 313 	 2,6 	  
19:30 29.12.2019 	 3,36 	 3,68 	 12 	 15 	 317 	 2,6 	  
19:20 29.12.2019 	 3,29 	 3,65 	 11 	 14 	 318 	 2,6 	  
19:10 29.12.2019 	 3,22 	 3,56 	 11 	 14 	 316 	 2,6 	  
