 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
12:40 24.12.2019 	 1,09 	 1 	 1 	 150 	 -0,2 	  
12:30 24.12.2019 	 1 	 1 	 1 	 195 	 -0,4 	  
12:20 24.12.2019 	 0,91 	 1 	 1 	 147 	 -0,5 	  
12:10 24.12.2019 	 0,84 	 1 	 2 	 120 	 -0,5 	  
12:00 24.12.2019 	 0,78 	 2 	 3 	 125 	 -0,6 	  
11:50 24.12.2019 	 0,72 	 2 	 3 	 125 	 -0,4 	  
11:40 24.12.2019 	 0,68 	 1 	 2 	 123 	 -0,4 	  
11:30 24.12.2019 	 0,65 	 2 	 2 	 109 	 -0,1 	  
11:20 24.12.2019 	 0,64 	 1 	 2 	 98 	 0,4 	  
11:10 24.12.2019 	 0,63 	 1 	 1 	 81 	 0,6 	  
11:00 24.12.2019 	 0,64 	 1 	 1 	 70 	 0,6 	  
10:50 24.12.2019 	 0,66 	 1 	 1 	 78 	 0,4 	  
10:40 24.12.2019 	 0,69 	 1 	 1 	 68 	 0,7 	  
10:30 24.12.2019 	 0,74 	 0 	 1 	 341 	 0,7 	  
10:20 24.12.2019 	 0,79 	 0 	 1 	 236 	 0,8 	  
10:10 24.12.2019 	 0,86 	 1 	 1 	 211 	 0,5 	  
10:00 24.12.2019 	 0,94 	 1 	 1 	 204 	 0,4 	  
09:50 24.12.2019 	 1,02 	 1 	 1 	 203 	 0,2 	  
09:40 24.12.2019 	 1,12 	 1 	 1 	 206 	 0,2 	  
09:30 24.12.2019 	 1,22 	 1 	 1 	 195 	 0,4 	  
09:20 24.12.2019 	 1,33 	 1 	 1 	 144 	 0,2 	  
09:10 24.12.2019 	 1,45 	 1 	 1 	 96 	 0,1 	  
09:00 24.12.2019 	 1,57 	 1 	 1 	 94 	 0,3 	  
08:50 24.12.2019 	 1,7 	 1 	 2 	 95 	 0,3 	  
08:40 24.12.2019 	 1,83 	 1 	 1 	 95 	 0,3 	  
08:30 24.12.2019 	 1,97 	 1 	 1 	 93 	 0,4 	  
08:20 24.12.2019 	 2,11 	 1 	 1 	 92 	 0,3 	  
08:10 24.12.2019 	 2,24 	 1 	 1 	 78 	 0,5 	  
08:00 24.12.2019 	 2,38 	 0 	 1 	 110 	 0,5 	  
07:50 24.12.2019 	 2,51 	 1 	 1 	 139 	 0,5 	  
07:40 24.12.2019 	 2,65 	 1 	 1 	 150 	 0,4 	  
07:30 24.12.2019 	 2,78 	 1 	 1 	 147 	 0,4 	  
07:20 24.12.2019 	 2,9 	 1 	 2 	 136 	 0,3 	  
07:10 24.12.2019 	 3,03 	 1 	 2 	 136 	 0,4 	  
07:00 24.12.2019 	 3,14 	 1 	 2 	 158 	 0,4 	  
06:50 24.12.2019 	 3,25 	 1 	 1 	 176 	 0,3 	  
06:40 24.12.2019 	 3,35 	 1 	 1 	 140 	 0,3 	  
06:30 24.12.2019 	 3,45 	 1 	 1 	 135 	 0,3 	  
06:20 24.12.2019 	 3,54 	 1 	 1 	 122 	 0,2 	  
06:10 24.12.2019 	 3,62 	 1 	 1 	 103 	 0,5 	  
06:00 24.12.2019 	 3,69 	 1 	 1 	 77 	 0,5 	  
05:50 24.12.2019 	 3,75 	 0 	 0 	 74 	 0,5 	  
05:40 24.12.2019 	 3,8 	 0 	 1 	 74 	 0,3 	  
05:30 24.12.2019 	 3,84 	 0 	 1 	 74 	 0,5 	  
05:20 24.12.2019 	 3,87 	 1 	 1 	 70 	 0,4 	  
05:10 24.12.2019 	 3,89 	 1 	 1 	 48 	 0,6 	  
05:00 24.12.2019 	 3,9 	 1 	 2 	 105 	 0,4 	  
04:50 24.12.2019 	 3,9 	 2 	 2 	 124 	 0,4 	  
04:40 24.12.2019 	 3,89 	 2 	 2 	 136 	 0,4 	  
04:30 24.12.2019 	 3,87 	 2 	 2 	 148 	 0,5 	  
04:20 24.12.2019 	 3,84 	 1 	 2 	 163 	 0,6 	  
04:10 24.12.2019 	 3,8 	 1 	 2 	 159 	 0,5 	  
04:00 24.12.2019 	 3,75 	 2 	 2 	 165 	 0,5 	  
03:50 24.12.2019 	 3,69 	 2 	 3 	 168 	 0,3 	  
03:40 24.12.2019 	 3,62 	 2 	 2 	 150 	 0,1 	  
03:30 24.12.2019 	 3,55 	 1 	 2 	 131 	 0 	  
03:20 24.12.2019 	 3,46 	 1 	 1 	 127 	 -0,2 	  
03:10 24.12.2019 	 3,36 	 1 	 1 	 127 	 -0,1 	  
03:00 24.12.2019 	 3,26 	 1 	 1 	 128 	 -0,1 	  
02:50 24.12.2019 	 3,15 	 0 	 1 	 128 	 0,3 	  
02:40 24.12.2019 	 3,03 	 1 	 1 	 128 	 0,1 	  
02:30 24.12.2019 	 2,91 	 1 	 1 	 128 	 -0,2 	  
02:20 24.12.2019 	 2,78 	 1 	 2 	 130 	 -0,1 	  
02:10 24.12.2019 	 2,65 	 1 	 1 	 159 	 -0 	  
02:00 24.12.2019 	 2,51 	 1 	 1 	 162 	 -0 	  
01:50 24.12.2019 	 2,38 	 0 	 1 	 162 	 0,2 	  
01:40 24.12.2019 	 2,24 	 1 	 1 	 139 	 -0 	  
01:30 24.12.2019 	 2,11 	 1 	 1 	 122 	 0,3 	  
01:20 24.12.2019 	 1,97 	 1 	 1 	 135 	 0,4 	  
01:10 24.12.2019 	 1,84 	 1 	 1 	 134 	 0,3 	  
01:00 24.12.2019 	 1,71 	 1 	 1 	 96 	 -0,1 	  
00:50 24.12.2019 	 1,58 	 1 	 1 	 97 	 -0,2 	  
00:40 24.12.2019 	 1,46 	 1 	 2 	 96 	 -0,1 	  
00:30 24.12.2019 	 1,35 	 1 	 2 	 83 	 -0,4 	  
00:20 24.12.2019 	 1,24 	 1 	 1 	 87 	 0,3 	  
00:10 24.12.2019 	 1,14 	 0 	 0 	 95 	 0,5 	  
00:00 24.12.2019 	 1,05 	 1 	 2 	 96 	 0,4 	  
23:50 23.12.2019 	 0,96 	 1 	 2 	 121 	 0,1 	  
23:40 23.12.2019 	 0,89 	 1 	 2 	 110 	 0,1 	  
23:30 23.12.2019 	 0,83 	 1 	 1 	 114 	 0,7 	  
23:20 23.12.2019 	 0,78 	 0 	 1 	 155 	 0,9 	  
23:10 23.12.2019 	 0,73 	 1 	 2 	 157 	 0,9 	  
23:00 23.12.2019 	 0,7 	 2 	 3 	 157 	 0,7 	  
22:50 23.12.2019 	 0,68 	 2 	 2 	 134 	 0,5 	  
22:40 23.12.2019 	 0,68 	 2 	 2 	 84 	 0,7 	  
22:30 23.12.2019 	 0,68 	 2 	 3 	 100 	 0,7 	  
22:20 23.12.2019 	 0,69 	 2 	 3 	 119 	 0,6 	  
22:10 23.12.2019 	 0,72 	 3 	 4 	 118 	 0,5 	  
22:00 23.12.2019 	 0,76 	 2 	 3 	 138 	 -0,1 	  
21:50 23.12.2019 	 0,8 	 1 	 2 	 160 	 0,2 	  
21:40 23.12.2019 	 0,86 	 0 	 1 	 300 	 0,3 	  
21:30 23.12.2019 	 0,93 	 1 	 1 	 323 	 0,1 	  
21:20 23.12.2019 	 1 	 1 	 1 	 330 	 0,4 	  
21:10 23.12.2019 	 1,08 	 1 	 1 	 181 	 0,4 	  
21:00 23.12.2019 	 1,18 	 1 	 2 	 125 	 0,2 	  
20:50 23.12.2019 	 1,27 	 1 	 2 	 121 	 0,4 	  
20:40 23.12.2019 	 1,38 	 1 	 2 	 138 	 0,2 	  
20:30 23.12.2019 	 1,49 	 1 	 2 	 102 	 0,3 	  
20:20 23.12.2019 	 1,6 	 1 	 2 	 61 	 0,6 	  
20:10 23.12.2019 	 1,72 	 1 	 2 	 61 	 0,4 	  
20:00 23.12.2019 	 1,84 	 1 	 2 	 73 	 0,2 	  
19:50 23.12.2019 	 1,96 	 1 	 2 	 79 	 0,2 	  
19:40 23.12.2019 	 2,09 	 1 	 2 	 68 	 0,3 	  
19:30 23.12.2019 	 2,21 	 1 	 2 	 348 	 0,3 	  
19:20 23.12.2019 	 2,33 	 1 	 2 	 116 	 0,3 	  
19:10 23.12.2019 	 2,45 	 1 	 2 	 93 	 0,1 	  
19:00 23.12.2019 	 2,57 	 1 	 2 	 70 	 0,3 	  
18:50 23.12.2019 	 2,69 	 1 	 1 	 359 	 0,1 	  
18:40 23.12.2019 	 2,8 	 1 	 2 	 40 	 0 	  
18:30 23.12.2019 	 2,9 	 1 	 2 	 13 	 -0,1 	  
18:20 23.12.2019 	 3 	 1 	 1 	 51 	 -0 	  
18:10 23.12.2019 	 3,09 	 1 	 1 	 133 	 -0,1 	  
18:00 23.12.2019 	 3,18 	 0 	 1 	 133 	 -0 	  
17:50 23.12.2019 	 3,26 	 0 	 1 	 133 	 -0 	  
17:40 23.12.2019 	 3,34 	 0 	 1 	 133 	 -0,2 	  
17:30 23.12.2019 	 3,4 	 0 	 1 	 130 	 0,1 	  
17:20 23.12.2019 	 3,46 	 0 	 1 	 106 	 0,3 	  
17:10 23.12.2019 	 3,51 	 1 	 1 	 158 	 0,4 	  
17:00 23.12.2019 	 3,55 	 1 	 1 	 159 	 0,3 	  
16:50 23.12.2019 	 3,58 	 2 	 2 	 150 	 0 	  
16:40 23.12.2019 	 3,6 	 2 	 2 	 127 	 0,1 	  
16:30 23.12.2019 	 3,61 	 2 	 2 	 136 	 -0,3 	  
16:20 23.12.2019 	 3,61 	 1 	 2 	 105 	 -0,3 	  
16:10 23.12.2019 	 3,61 	 1 	 1 	 51 	 -0,2 	  
16:00 23.12.2019 	 3,59 	 1 	 1 	 77 	 -0,3 	  
15:50 23.12.2019 	 3,56 	 1 	 2 	 68 	 0,4 	  
15:40 23.12.2019 	 3,53 	 1 	 1 	 114 	 0,2 	  
15:30 23.12.2019 	 3,48 	 1 	 1 	 116 	 0,2 	  
15:20 23.12.2019 	 3,43 	 1 	 2 	 117 	 0,1 	  
15:10 23.12.2019 	 3,36 	 1 	 2 	 112 	 0,1 	  
15:00 23.12.2019 	 3,29 	 1 	 2 	 124 	 0,1 	  
14:50 23.12.2019 	 3,21 	 1 	 1 	 139 	 0,4 	  
14:40 23.12.2019 	 3,12 	 1 	 1 	 146 	 0,7 	  
14:30 23.12.2019 	 3,03 	 1 	 2 	 168 	 0,6 	  
14:20 23.12.2019 	 2,92 	 1 	 2 	 192 	 0,4 	  
14:10 23.12.2019 	 2,82 	 1 	 1 	 184 	 0,5 	  
14:00 23.12.2019 	 2,7 	 1 	 1 	 174 	 0,6 	  
13:50 23.12.2019 	 2,59 	 1 	 2 	 176 	 0,5 	  
13:40 23.12.2019 	 2,46 	 2 	 3 	 169 	 0,4 	  
13:30 23.12.2019 	 2,34 	 2 	 3 	 145 	 0,3 	  
13:20 23.12.2019 	 2,22 	 2 	 3 	 144 	 0,1 	  
13:10 23.12.2019 	 2,09 	 2 	 2 	 114 	 0,1 	  
13:00 23.12.2019 	 1,97 	 2 	 2 	 93 	 0,1 	  
12:50 23.12.2019 	 1,85 	 2 	 3 	 128 	 -0,1 	  
12:40 23.12.2019 	 1,73 	 2 	 3 	 128 	 -0,3 	  
12:30 23.12.2019 	 1,61 	 1 	 2 	 109 	 -0,1 	  
12:20 23.12.2019 	 1,5 	 0 	 1 	 71 	 0,2 	  
12:10 23.12.2019 	 1,4 	 0 	 1 	 141 	 0,7 	  
12:00 23.12.2019 	 1,3 	 0 	 1 	 164 	 0,6 	  
11:50 23.12.2019 	 1,21 	 0 	 1 	 165 	 0,5 	  
11:40 23.12.2019 	 1,12 	 0 	 1 	 164 	 0,4 	  
11:30 23.12.2019 	 1,05 	 1 	 1 	 158 	 0,4 	  
11:20 23.12.2019 	 0,98 	 1 	 1 	 319 	 0,2 	  
11:10 23.12.2019 	 0,92 	 1 	 2 	 309 	 0,7 	  
11:00 23.12.2019 	 0,88 	 2 	 2 	 251 	 0,5 	  
10:50 23.12.2019 	 0,84 	 1 	 2 	 170 	 0,1 	  
10:40 23.12.2019 	 0,81 	 1 	 2 	 306 	 0,5 	  
10:30 23.12.2019 	 0,8 	 1 	 1 	 222 	 0,2 	  
10:20 23.12.2019 	 0,79 	 2 	 2 	 163 	 -0,2 	  
10:10 23.12.2019 	 0,8 	 1 	 1 	 79 	 0,1 	  
10:00 23.12.2019 	 0,81 	 1 	 2 	 26 	 0,2 	  
09:50 23.12.2019 	 0,84 	 1 	 2 	 115 	 0,1 	  
09:40 23.12.2019 	 0,88 	 1 	 2 	 48 	 -0,3 	  
09:30 23.12.2019 	 0,93 	 1 	 2 	 333 	 0,4 	  
09:20 23.12.2019 	 0,99 	 0 	 1 	 318 	 -0,2 	  
09:10 23.12.2019 	 1,05 	 0 	 1 	 208 	 0,2 	  
09:00 23.12.2019 	 1,13 	 1 	 1 	 301 	 0,4 	  
08:50 23.12.2019 	 1,21 	 0 	 1 	 289 	 0,2 	  
08:40 23.12.2019 	 1,31 	 0 	 1 	 284 	 0,2 	  
08:30 23.12.2019 	 1,4 	 1 	 1 	 258 	 0,4 	  
08:20 23.12.2019 	 1,51 	 1 	 1 	 239 	 0,1 	  
08:10 23.12.2019 	 1,62 	 1 	 2 	 123 	 -0,5 	  
08:00 23.12.2019 	 1,73 	 1 	 1 	 164 	 0,1 	  
07:50 23.12.2019 	 1,85 	 1 	 1 	 173 	 -0,2 	  
07:40 23.12.2019 	 1,97 	 0 	 1 	 44 	 -0,2 	  
07:30 23.12.2019 	 2,09 	 0 	 1 	 39 	 -0 	  
07:20 23.12.2019 	 2,22 	 0 	 1 	 39 	 -0,2 	  
07:10 23.12.2019 	 2,34 	 0 	 1 	 41 	 0,1 	  
07:00 23.12.2019 	 2,46 	 0 	 1 	 63 	 0,3 	  
06:50 23.12.2019 	 2,58 	 1 	 1 	 45 	 0,4 	  
06:40 23.12.2019 	 2,7 	 1 	 2 	 71 	 0,2 	  
06:30 23.12.2019 	 2,81 	 1 	 2 	 55 	 0,5 	  
06:20 23.12.2019 	 2,92 	 2 	 3 	 138 	 0,2 	  
06:10 23.12.2019 	 3,02 	 2 	 2 	 149 	 -0,1 	  
06:00 23.12.2019 	 3,12 	 2 	 3 	 142 	 0,1 	  
05:50 23.12.2019 	 3,21 	 2 	 3 	 142 	 0,4 	  
05:40 23.12.2019 	 3,3 	 2 	 2 	 183 	 0,4 	  
05:30 23.12.2019 	 3,37 	 2 	 3 	 179 	 0,4 	  
05:20 23.12.2019 	 3,45 	 2 	 3 	 186 	 0,4 	  
05:10 23.12.2019 	 3,51 	 2 	 2 	 199 	 0,1 	  
05:00 23.12.2019 	 3,56 	 2 	 3 	 189 	 -0 	  
04:50 23.12.2019 	 3,61 	 1 	 3 	 229 	 -0 	  
04:40 23.12.2019 	 3,65 	 1 	 2 	 133 	 -0,4 	  
04:30 23.12.2019 	 3,68 	 0 	 1 	 44 	 0,3 	  
04:20 23.12.2019 	 3,7 	 0 	 1 	 79 	 -0 	  
04:10 23.12.2019 	 3,71 	 1 	 2 	 119 	 -0 	  
04:00 23.12.2019 	 3,71 	 1 	 2 	 111 	 0,4 	  
03:50 23.12.2019 	 3,7 	 2 	 3 	 164 	 0,5 	  
03:40 23.12.2019 	 3,68 	 2 	 2 	 165 	 0,5 	  
03:30 23.12.2019 	 3,66 	 2 	 3 	 176 	 0,7 	  
03:20 23.12.2019 	 3,62 	 3 	 4 	 177 	 0,7 	  
03:10 23.12.2019 	 3,57 	 3 	 3 	 177 	 0,4 	  
03:00 23.12.2019 	 3,52 	 3 	 4 	 158 	 -0,2 	  
02:50 23.12.2019 	 3,46 	 3 	 3 	 160 	 -0 	  
02:40 23.12.2019 	 3,39 	 2 	 3 	 170 	 0,2 	  
02:30 23.12.2019 	 3,31 	 3 	 4 	 173 	 0,6 	  
02:20 23.12.2019 	 3,22 	 3 	 4 	 160 	 0,2 	  
02:10 23.12.2019 	 3,12 	 1 	 2 	 187 	 0,3 	  
02:00 23.12.2019 	 3,02 	 1 	 2 	 209 	 0,6 	  
01:50 23.12.2019 	 2,92 	 2 	 3 	 202 	 0,7 	  
01:40 23.12.2019 	 2,81 	 2 	 3 	 201 	 0,8 	  
01:30 23.12.2019 	 2,69 	 2 	 3 	 216 	 0,7 	  
01:20 23.12.2019 	 2,57 	 3 	 3 	 195 	 0,8 	  
01:10 23.12.2019 	 2,45 	 3 	 4 	 190 	 0,7 	  
01:00 23.12.2019 	 2,33 	 3 	 4 	 175 	 0,8 	  
00:50 23.12.2019 	 2,21 	 3 	 4 	 193 	 0,8 	  
00:40 23.12.2019 	 2,09 	 3 	 3 	 180 	 0,9 	  
00:30 23.12.2019 	 1,97 	 2 	 3 	 195 	 0,9 	  
00:20 23.12.2019 	 1,85 	 2 	 3 	 193 	 0,9 	  
00:10 23.12.2019 	 1,73 	 2 	 3 	 182 	 1 	  
00:00 23.12.2019 	 1,62 	 1 	 2 	 192 	 1,1 	  
23:50 22.12.2019 	 1,51 	 3 	 3 	 173 	 1,1 	  
23:40 22.12.2019 	 1,41 	 3 	 4 	 160 	 0,9 	  
23:30 22.12.2019 	 1,32 	 3 	 3 	 171 	 1,4 	  
23:20 22.12.2019 	 1,23 	 3 	 3 	 162 	 1,2 	  
23:10 22.12.2019 	 1,14 	 2 	 3 	 180 	 1,4 	  
23:00 22.12.2019 	 1,07 	 3 	 3 	 187 	 1,7 	  
22:50 22.12.2019 	 1 	 2 	 2 	 211 	 1,8 	  
22:40 22.12.2019 	 0,95 	 1 	 2 	 241 	 1,8 	  
22:30 22.12.2019 	 0,9 	 1 	 2 	 209 	 2 	  
22:20 22.12.2019 	 0,86 	 1 	 1 	 70 	 1,7 	  
22:10 22.12.2019 	 0,83 	 1 	 3 	 102 	 1,7 	  
22:00 22.12.2019 	 0,81 	 2 	 2 	 143 	 1,6 	  
21:50 22.12.2019 	 0,8 	 2 	 3 	 175 	 1,6 	  
21:40 22.12.2019 	 0,81 	 2 	 3 	 195 	 1,8 	  
21:30 22.12.2019 	 0,82 	 2 	 2 	 175 	 1,7 	  
21:20 22.12.2019 	 0,84 	 2 	 3 	 182 	 1,9 	  
21:10 22.12.2019 	 0,87 	 3 	 4 	 195 	 2 	  
21:00 22.12.2019 	 0,91 	 1 	 2 	 183 	 2,7 	  
20:50 22.12.2019 	 0,96 	 1 	 2 	 165 	 2,4 	  
20:40 22.12.2019 	 1,02 	 3 	 4 	 188 	 2,6 	  
20:30 22.12.2019 	 1,08 	 2 	 4 	 187 	 2,6 	  
20:20 22.12.2019 	 1,16 	 2 	 3 	 181 	 2,4 	  
20:10 22.12.2019 	 1,24 	 2 	 3 	 196 	 2,8 	  
20:00 22.12.2019 	 1,32 	 1 	 3 	 186 	 2,5 	  
19:50 22.12.2019 	 1,42 	 2 	 3 	 176 	 2,4 	  
19:40 22.12.2019 	 1,52 	 3 	 5 	 193 	 2,2 	  
19:30 22.12.2019 	 1,62 	 3 	 5 	 184 	 2,4 	  
19:20 22.12.2019 	 1,73 	 3 	 5 	 207 	 2,3 	  
19:10 22.12.2019 	 1,83 	 4 	 5 	 220 	 2,3 	  
19:00 22.12.2019 	 1,94 	 3 	 5 	 228 	 2,1 	  
18:50 22.12.2019 	 2,06 	 2 	 3 	 211 	 1,9 	  
18:40 22.12.2019 	 2,17 	 2 	 3 	 152 	 1,9 	  
18:30 22.12.2019 	 2,28 	 2 	 4 	 193 	 2,4 	  
18:20 22.12.2019 	 2,39 	 1 	 2 	 148 	 2 	  
18:10 22.12.2019 	 2,5 	 2 	 4 	 236 	 2,4 	  
18:00 22.12.2019 	 2,6 	 2 	 4 	 24 	 2 	  
17:50 22.12.2019 	 2,7 	 1 	 3 	 30 	 1,7 	  
17:40 22.12.2019 	 2,8 	 1 	 3 	 207 	 1,3 	  
17:30 22.12.2019 	 2,9 	 1 	 2 	 199 	 1,4 	  
17:20 22.12.2019 	 2,99 	 1 	 3 	 169 	 1,1 	  
17:10 22.12.2019 	 3,07 	 3 	 4 	 222 	 1,9 	  
17:00 22.12.2019 	 3,15 	 2 	 4 	 226 	 1,8 	  
16:50 22.12.2019 	 3,22 	 2 	 5 	 216 	 1,8 	  
16:40 22.12.2019 	 3,28 	 4 	 5 	 202 	 1,7 	  
16:30 22.12.2019 	 3,34 	 3 	 5 	 197 	 1,9 	  
16:20 22.12.2019 	 3,39 	 1 	 2 	 332 	 2,6 	  
16:10 22.12.2019 	 3,43 	 2 	 3 	 335 	 2,6 	  
16:00 22.12.2019 	 3,46 	 2 	 5 	 24 	 3 	  
15:50 22.12.2019 	 3,49 	 1 	 5 	 56 	 2,6 	  
15:40 22.12.2019 	 3,51 	 1 	 3 	 45 	 3 	  
15:30 22.12.2019 	 3,51 	 1 	 3 	 258 	 2,4 	  
15:20 22.12.2019 	 3,51 	 2 	 3 	 201 	 1,7 	  
15:10 22.12.2019 	 3,5 	 2 	 3 	 199 	 1,9 	  
15:00 22.12.2019 	 3,48 	 2 	 3 	 192 	 1,8 	  
14:50 22.12.2019 	 3,46 	 2 	 4 	 210 	 2,3 	  
14:40 22.12.2019 	 3,42 	 3 	 4 	 220 	 2,4 	  
14:30 22.12.2019 	 3,37 	 2 	 4 	 202 	 2,3 	  
14:20 22.12.2019 	 3,32 	 4 	 5 	 170 	 2,2 	  
14:10 22.12.2019 	 3,26 	 2 	 3 	 144 	 1,9 	  
14:00 22.12.2019 	 3,19 	 2 	 3 	 191 	 2,4 	  
13:50 22.12.2019 	 3,11 	 3 	 4 	 213 	 2,6 	  
13:40 22.12.2019 	 3,03 	 3 	 4 	 210 	 2,4 	  
13:30 22.12.2019 	 2,94 	 3 	 5 	 208 	 2,4 	  
13:20 22.12.2019 	 2,85 	 4 	 5 	 189 	 2,3 	  
13:10 22.12.2019 	 2,75 	 3 	 6 	 205 	 2,2 	  
13:00 22.12.2019 	 2,64 	 4 	 6 	 195 	 2,2 	  
12:50 22.12.2019 	 2,54 	 3 	 4 	 213 	 2 	  
12:40 22.12.2019 	 2,43 	 3 	 4 	 187 	 2 	  
12:30 22.12.2019 	 2,32 	 3 	 4 	 171 	 2,3 	  
12:20 22.12.2019 	 2,21 	 3 	 4 	 198 	 2,2 	  
12:10 22.12.2019 	 2,1 	 4 	 4 	 179 	 1,9 	  
12:00 22.12.2019 	 1,99 	 4 	 5 	 184 	 2,1 	  
11:50 22.12.2019 	 1,88 	 3 	 4 	 193 	 2,2 	  
11:40 22.12.2019 	 1,78 	 3 	 6 	 244 	 3,2 	  
11:30 22.12.2019 	 1,68 	 3 	 6 	 202 	 2,4 	  
11:20 22.12.2019 	 1,58 	 4 	 9 	 306 	 2,9 	  
11:10 22.12.2019 	 1,49 	 5 	 10 	 35 	 3,4 	  
11:00 22.12.2019 	 1,4 	 4 	 8 	 31 	 3,3 	  
10:50 22.12.2019 	 1,32 	 6 	 13 	 15 	 3,7 	  
10:40 22.12.2019 	 1,25 	 9 	 16 	 21 	 2,8 	  
10:30 22.12.2019 	 1,19 	 9 	 16 	 13 	 2,4 	  
10:20 22.12.2019 	 1,13 	 7 	 14 	 17 	 3,7 	  
10:10 22.12.2019 	 1,08 	 7 	 13 	 8 	 2,7 	  
10:00 22.12.2019 	 1,04 	 7 	 13 	 21 	 3,1 	  
09:50 22.12.2019 	 1,01 	 8 	 12 	 13 	 3 	  
09:40 22.12.2019 	 0,99 	 10 	 18 	 16 	 2,7 	  
09:30 22.12.2019 	 0,97 	 8 	 16 	 11 	 2,6 	  
09:20 22.12.2019 	 0,97 	 8 	 15 	 13 	 2,4 	  
09:10 22.12.2019 	 0,98 	 9 	 16 	 9 	 2,3 	  
09:00 22.12.2019 	 0,99 	 6 	 12 	 15 	 3,2 	  
08:50 22.12.2019 	 1,02 	 8 	 15 	 9 	 3,5 	  
08:40 22.12.2019 	 1,05 	 4 	 11 	 28 	 2,7 	  
08:30 22.12.2019 	 1,1 	 8 	 15 	 11 	 2,4 	  
08:20 22.12.2019 	 1,15 	 9 	 15 	 10 	 2,5 	  
08:10 22.12.2019 	 1,21 	 9 	 16 	 359 	 2,3 	  
08:00 22.12.2019 	 1,27 	 9 	 14 	 16 	 2 	  
07:50 22.12.2019 	 1,35 	 12 	 18 	 7 	 2 	  
07:40 22.12.2019 	 1,43 	 10 	 17 	 9 	 2,2 	  
07:30 22.12.2019 	 1,52 	 13 	 19 	 6 	 1,7 	  
07:20 22.12.2019 	 1,61 	 14 	 20 	 11 	 1,8 	  
07:10 22.12.2019 	 1,7 	 13 	 20 	 6 	 1,9 	  
07:00 22.12.2019 	 1,8 	 14 	 22 	 6 	 1,5 	  
06:50 22.12.2019 	 1,91 	 13 	 20 	 9 	 1,8 	  
06:40 22.12.2019 	 2,01 	 12 	 17 	 2 	 2,4 	  
06:30 22.12.2019 	 2,12 	 11 	 20 	 2 	 2 	  
06:20 22.12.2019 	 2,22 	 12 	 19 	 358 	 1,8 	  
06:10 22.12.2019 	 2,33 	 12 	 18 	 3 	 1,8 	  
06:00 22.12.2019 	 2,43 	 13 	 20 	 4 	 1,8 	  
05:50 22.12.2019 	 2,53 	 14 	 22 	 7 	 1,6 	  
05:40 22.12.2019 	 2,63 	 15 	 23 	 9 	 1,3 	  
05:30 22.12.2019 	 2,73 	 15 	 23 	 9 	 1,3 	  
05:20 22.12.2019 	 2,83 	 15 	 22 	 11 	 1,6 	  
05:10 22.12.2019 	 2,91 	 15 	 24 	 9 	 1,5 	  
05:00 22.12.2019 	 3 	 17 	 24 	 7 	 1,5 	  
04:50 22.12.2019 	 3,08 	 16 	 22 	 9 	 1,4 	  
04:40 22.12.2019 	 3,15 	 14 	 22 	 6 	 1,4 	  
04:30 22.12.2019 	 3,22 	 15 	 23 	 4 	 1,7 	  
04:20 22.12.2019 	 3,28 	 16 	 24 	 10 	 1,4 	  
04:10 22.12.2019 	 3,34 	 14 	 20 	 2 	 1,4 	  
04:00 22.12.2019 	 3,38 	 14 	 20 	 4 	 1,3 	  
03:50 22.12.2019 	 3,42 	 14 	 22 	 2 	 1,4 	  
03:40 22.12.2019 	 3,46 	 15 	 23 	 4 	 1,4 	  
03:30 22.12.2019 	 3,48 	 15 	 20 	 5 	 1,3 	  
03:20 22.12.2019 	 3,5 	 15 	 22 	 3 	 1,3 	  
03:10 22.12.2019 	 3,5 	 17 	 25 	 5 	 1,1 	  
03:00 22.12.2019 	 3,5 	 15 	 22 	 10 	 1,1 	  
02:50 22.12.2019 	 3,49 	 17 	 24 	 4 	 1 	  
02:40 22.12.2019 	 3,47 	 16 	 23 	 4 	 0,9 	  
02:30 22.12.2019 	 3,45 	 19 	 25 	 7 	 1,1 	  
02:20 22.12.2019 	 3,41 	 18 	 24 	 9 	 0,9 	  
02:10 22.12.2019 	 3,37 	 19 	 27 	 11 	 1 	  
02:00 22.12.2019 	 3,32 	 17 	 24 	 12 	 1,2 	  
01:50 22.12.2019 	 3,26 	 17 	 23 	 12 	 1,1 	  
01:40 22.12.2019 	 3,19 	 16 	 22 	 14 	 1,1 	  
01:30 22.12.2019 	 3,12 	 15 	 23 	 9 	 1,3 	  
01:20 22.12.2019 	 3,04 	 13 	 19 	 8 	 1,4 	  
01:10 22.12.2019 	 2,96 	 12 	 24 	 4 	 1,4 	  
01:00 22.12.2019 	 2,87 	 13 	 21 	 14 	 1,6 	  
00:50 22.12.2019 	 2,77 	 9 	 18 	 24 	 1,8 	  
00:40 22.12.2019 	 2,67 	 8 	 13 	 24 	 2 	  
00:30 22.12.2019 	 2,57 	 8 	 13 	 14 	 1,8 	  
00:20 22.12.2019 	 2,47 	 8 	 13 	 13 	 1,8 	  
00:10 22.12.2019 	 2,36 	 8 	 12 	 20 	 2 	  
00:00 22.12.2019 	 2,25 	 9 	 15 	 22 	 1,7 	  
23:50 21.12.2019 	 2,15 	 10 	 15 	 14 	 1,8 	  
23:40 21.12.2019 	 2,04 	 10 	 16 	 20 	 1,7 	  
