 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
00:00 01.01.2020 	 2,85 	 3,33 	 10 	 15 	 133 	 983 	 5,6 	 2,8 	 27,37 	  
23:50 31.12.2019 	 2,93 	 3,39 	 9 	 14 	 131 	 983 	 5,6 	 2,8 	 27,32 	  
23:40 31.12.2019 	 3,01 	 3,45 	 8 	 12 	 131 	 983 	 5,5 	 2,8 	 27,25 	  
23:30 31.12.2019 	 3,07 	 3,54 	 8 	 14 	 131 	 983 	 5,6 	 2,8 	 27,28 	  
23:20 31.12.2019 	 3,13 	 3,59 	 7 	 14 	 130 	 983 	 5,9 	 2,8 	 27,28 	  
23:10 31.12.2019 	 3,19 	 3,64 	 7 	 13 	 129 	 983 	 6,1 	 2,8 	 27,29 	  
23:00 31.12.2019 	 3,24 	 3,66 	 8 	 15 	 131 	 983 	 5,8 	 2,8 	 27,31 	  
22:50 31.12.2019 	 3,28 	 3,69 	 7 	 13 	 130 	 984 	 6 	 2,8 	 27,29 	  
22:40 31.12.2019 	 3,32 	 3,68 	 6 	 13 	 129 	 984 	 6,4 	 2,8 	 27,32 	  
22:30 31.12.2019 	 3,34 	 3,71 	 8 	 13 	 131 	 984 	 6,2 	 2,8 	 27,33 	  
22:20 31.12.2019 	 3,36 	 3,73 	 7 	 13 	 130 	 984 	 6,2 	 2,8 	 27,35 	  
22:10 31.12.2019 	 3,38 	 3,73 	 6 	 11 	 138 	 985 	 5,8 	 2,8 	 27,37 	  
22:00 31.12.2019 	 3,38 	 3,7 	 5 	 9 	 148 	 985 	 5,2 	 2,8 	 27,41 	  
21:50 31.12.2019 	 3,38 	 3,69 	 5 	 7 	 143 	 985 	 4,9 	 2,8 	 27,34 	  
21:40 31.12.2019 	 3,36 	 3,69 	 5 	 7 	 144 	 986 	 4,9 	 2,8 	 27,36 	  
21:30 31.12.2019 	 3,34 	 3,66 	 6 	 9 	 140 	 986 	 5 	 2,8 	 27,33 	  
21:20 31.12.2019 	 3,32 	 3,64 	 9 	 12 	 135 	 986 	 5,3 	 2,8 	 27,21 	  
21:10 31.12.2019 	 3,28 	 3,61 	 10 	 12 	 133 	 987 	 5,4 	 2,8 	 27,18 	  
21:00 31.12.2019 	 3,24 	 3,58 	 11 	 14 	 133 	 987 	 5,6 	 2,8 	 27,19 	  
20:50 31.12.2019 	 3,19 	 3,54 	 10 	 15 	 133 	 987 	 5,6 	 2,8 	 27,18 	  
20:40 31.12.2019 	 3,14 	 3,5 	 6 	 15 	 128 	 987 	 6,4 	 2,8 	 27,02 	  
20:30 31.12.2019 	 3,07 	 3,44 	 7 	 14 	 129 	 987 	 6,6 	 2,7 	 26,32 	  
20:20 31.12.2019 	 3,01 	 3,37 	 6 	 14 	 128 	 987 	 6,6 	 2,7 	 26,7 	  
20:10 31.12.2019 	 2,93 	 3,31 	 6 	 13 	 129 	 987 	 6,7 	 2,8 	 27,08 	  
20:00 31.12.2019 	 2,86 	 3,23 	 6 	 11 	 128 	 988 	 6,6 	 2,8 	 27,11 	  
19:50 31.12.2019 	 2,77 	 3,17 	 6 	 13 	 129 	 988 	 6,3 	 2,7 	 27,1 	  
19:40 31.12.2019 	 2,69 	 3,07 	 9 	 14 	 131 	 988 	 6,4 	 2,7 	 27,08 	  
19:30 31.12.2019 	 2,6 	 2,97 	 9 	 15 	 131 	 988 	 6,4 	 2,7 	 27,1 	  
19:20 31.12.2019 	 2,51 	 2,84 	 6 	 12 	 128 	 988 	 6,4 	 2,7 	 27,17 	  
19:10 31.12.2019 	 2,41 	 2,73 	 7 	 13 	 129 	 988 	 6,4 	 2,7 	 27,17 	  
19:00 31.12.2019 	 2,32 	 2,6 	 5 	 12 	 129 	 988 	 6,2 	 2,7 	 27,2 	  
18:50 31.12.2019 	 2,22 	 2,48 	 7 	 12 	 130 	 989 	 6,2 	 2,7 	 27,18 	  
18:40 31.12.2019 	 2,12 	 2,34 	 8 	 13 	 131 	 989 	 6,2 	 2,7 	 27,17 	  
18:30 31.12.2019 	 2,03 	 2,22 	 8 	 14 	 131 	 989 	 6,2 	 2,7 	 27,11 	  
18:20 31.12.2019 	 1,93 	 2,08 	 9 	 14 	 132 	 989 	 6,3 	 2,7 	 27,08 	  
18:10 31.12.2019 	 1,84 	 1,96 	 9 	 12 	 133 	 989 	 6 	 2,7 	 27,16 	  
18:00 31.12.2019 	 1,75 	 1,84 	 9 	 13 	 134 	 989 	 5,9 	 2,7 	 27,17 	  
17:50 31.12.2019 	 1,66 	 1,76 	 7 	 11 	 137 	 989 	 5,8 	 2,7 	 27,16 	  
17:40 31.12.2019 	 1,58 	 1,67 	 5 	 8 	 151 	 989 	 5,2 	 2,7 	 27,15 	  
17:30 31.12.2019 	 1,5 	 1,61 	 6 	 9 	 149 	 989 	 5,5 	 2,7 	 27,11 	  
17:20 31.12.2019 	 1,42 	 1,56 	 5 	 9 	 139 	 989 	 5,5 	 2,8 	 27,08 	  
17:10 31.12.2019 	 1,36 	 1,51 	 5 	 7 	 147 	 989 	 4,8 	 2,8 	 27,11 	  
17:00 31.12.2019 	 1,29 	 1,45 	 5 	 7 	 143 	 989 	 4,9 	 2,8 	 27,09 	  
16:50 31.12.2019 	 1,24 	 1,42 	 5 	 7 	 142 	 990 	 4,6 	 2,8 	 27,19 	  
16:40 31.12.2019 	 1,2 	 1,39 	 6 	 8 	 139 	 990 	 4,6 	 2,9 	 27,1 	  
16:30 31.12.2019 	 1,16 	 1,35 	 6 	 8 	 137 	 990 	 4,3 	 2,9 	 27,29 	  
16:20 31.12.2019 	 1,13 	 1,32 	 7 	 9 	 139 	 990 	 4,3 	 3 	 27,29 	  
16:10 31.12.2019 	 1,11 	 1,33 	 6 	 8 	 138 	 989 	 4,4 	 3 	 27,2 	  
16:00 31.12.2019 	 1,1 	 1,3 	 5 	 7 	 138 	 989 	 4,4 	 2,9 	 27,23 	  
15:50 31.12.2019 	 1,1 	 1,28 	 5 	 7 	 139 	 989 	 4,5 	 3 	 27,18 	  
15:40 31.12.2019 	 1,11 	 1,32 	 4 	 6 	 143 	 989 	 4,5 	 3 	 27,14 	  
15:30 31.12.2019 	 1,13 	 1,35 	 4 	 6 	 142 	 989 	 4,7 	 3 	 26,87 	  
15:20 31.12.2019 	 1,16 	 1,38 	 6 	 8 	 140 	 989 	 4,7 	 3 	 26,88 	  
15:10 31.12.2019 	 1,19 	 1,42 	 6 	 7 	 139 	 989 	 4,4 	 3 	 26,92 	  
15:00 31.12.2019 	 1,24 	 1,5 	 5 	 7 	 140 	 989 	 4,5 	 3 	 26,91 	  
14:50 31.12.2019 	 1,3 	 1,53 	 5 	 8 	 140 	 989 	 4,6 	 2,9 	 27,25 	  
14:40 31.12.2019 	 1,36 	 1,6 	 5 	 7 	 142 	 989 	 4,8 	 2,9 	 27,43 	  
14:30 31.12.2019 	 1,43 	 1,67 	 5 	 8 	 142 	 989 	 5 	 2,9 	 27,26 	  
14:20 31.12.2019 	 1,51 	 1,77 	 5 	 7 	 142 	 989 	 5,1 	 2,9 	 27,32 	  
14:10 31.12.2019 	 1,6 	 1,83 	 4 	 6 	 143 	 989 	 5,4 	 2,9 	 27,33 	  
14:00 31.12.2019 	 1,69 	 1,96 	 5 	 6 	 147 	 989 	 5,4 	 2,9 	 27,24 	  
13:50 31.12.2019 	 1,79 	 2,06 	 4 	 6 	 149 	 989 	 5,4 	 2,8 	 27,26 	  
13:40 31.12.2019 	 1,89 	 2,19 	 4 	 5 	 149 	 989 	 5,4 	 2,8 	 27,26 	  
13:30 31.12.2019 	 1,99 	 2,32 	 4 	 5 	 148 	 989 	 5,5 	 2,8 	 27,28 	  
13:20 31.12.2019 	 2,1 	 2,43 	 4 	 5 	 147 	 989 	 5,4 	 2,8 	 27,37 	  
13:10 31.12.2019 	 2,21 	 2,57 	 3 	 4 	 146 	 989 	 5,4 	 2,8 	 27,32 	  
13:00 31.12.2019 	 2,32 	 2,69 	 3 	 5 	 140 	 989 	 5,5 	 2,8 	 27,29 	  
12:50 31.12.2019 	 2,43 	 2,79 	 3 	 5 	 148 	 989 	 5,3 	 2,8 	 27,34 	  
12:40 31.12.2019 	 2,54 	 2,91 	 3 	 5 	 148 	 989 	 5,2 	 2,8 	 27,31 	  
12:30 31.12.2019 	 2,66 	 3,01 	 3 	 4 	 146 	 989 	 5,3 	 2,8 	 27,31 	  
12:20 31.12.2019 	 2,76 	 3,09 	 3 	 6 	 146 	 989 	 5,4 	 2,9 	 27,31 	  
12:10 31.12.2019 	 2,87 	 3,19 	 4 	 6 	 146 	 990 	 5,6 	 2,9 	 27,37 	  
12:00 31.12.2019 	 2,97 	 3,29 	 3 	 5 	 147 	 989 	 5,9 	 2,9 	 27,43 	  
11:50 31.12.2019 	 3,07 	 3,4 	 3 	 5 	 156 	 990 	 5,8 	 2,9 	 27,38 	  
11:40 31.12.2019 	 3,17 	 3,5 	 3 	 5 	 144 	 990 	 5,9 	 2,9 	 27,65 	  
11:30 31.12.2019 	 3,26 	 3,63 	 2 	 4 	 144 	 990 	 5,9 	 2,9 	 27,47 	  
11:20 31.12.2019 	 3,34 	 3,75 	 3 	 5 	 142 	 990 	 5,9 	 2,9 	 27,44 	  
11:10 31.12.2019 	 3,42 	 3,84 	 3 	 6 	 146 	 991 	 5,9 	 2,9 	 27,42 	  
11:00 31.12.2019 	 3,49 	 3,94 	 3 	 5 	 144 	 991 	 5,8 	 2,8 	 27,22 	  
10:50 31.12.2019 	 3,55 	 4 	 4 	 5 	 146 	 991 	 6 	 2,7 	 27,25 	  
10:40 31.12.2019 	 3,61 	 4,05 	 3 	 5 	 144 	 991 	 6,1 	 2,7 	 27,34 	  
10:30 31.12.2019 	 3,65 	 4,07 	 3 	 6 	 151 	 991 	 6,3 	 2,7 	 27,36 	  
10:20 31.12.2019 	 3,69 	 4,07 	 5 	 7 	 147 	 991 	 6,2 	 2,7 	 27,34 	  
10:10 31.12.2019 	 3,73 	 4,05 	 7 	 11 	 137 	 992 	 6,4 	 2,7 	 27,35 	  
10:00 31.12.2019 	 3,75 	 4,05 	 9 	 14 	 133 	 992 	 6,5 	 2,7 	 27,31 	  
09:50 31.12.2019 	 3,76 	 4,01 	 6 	 14 	 128 	 992 	 7,2 	 2,7 	 27,31 	  
09:40 31.12.2019 	 3,77 	 3,99 	 7 	 11 	 130 	 992 	 6,9 	 2,8 	 27,32 	  
09:30 31.12.2019 	 3,76 	 3,97 	 3 	 6 	 127 	 993 	 6,3 	 2,8 	 27,29 	  
09:20 31.12.2019 	 3,75 	 3,97 	 3 	 7 	 124 	 993 	 6,4 	 2,8 	 27,29 	  
09:10 31.12.2019 	 3,73 	 3,99 	 4 	 7 	 123 	 993 	 6,7 	 2,7 	 27,34 	  
09:00 31.12.2019 	 3,7 	 4 	 5 	 13 	 127 	 994 	 6,7 	 2,7 	 27,28 	  
08:50 31.12.2019 	 3,67 	 4,01 	 5 	 14 	 127 	 994 	 6,7 	 2,7 	 27,34 	  
08:40 31.12.2019 	 3,62 	 4,01 	 5 	 9 	 128 	 995 	 5,8 	 2,7 	 27,41 	  
08:30 31.12.2019 	 3,57 	 3,97 	 6 	 10 	 132 	 995 	 5,4 	 2,7 	 27,46 	  
08:20 31.12.2019 	 3,51 	 3,91 	 7 	 11 	 134 	 996 	 5,2 	 2,7 	 27,52 	  
08:10 31.12.2019 	 3,44 	 3,85 	 7 	 10 	 131 	 996 	 5,3 	 2,7 	 27,37 	  
08:00 31.12.2019 	 3,37 	 3,76 	 6 	 13 	 128 	 996 	 5,5 	 2,7 	 27,27 	  
07:50 31.12.2019 	 3,29 	 3,64 	 8 	 15 	 128 	 996 	 5,6 	 2,7 	 27,4 	  
07:40 31.12.2019 	 3,2 	 3,53 	 8 	 16 	 128 	 997 	 5,8 	 2,7 	 27,43 	  
07:30 31.12.2019 	 3,11 	 3,4 	 7 	 15 	 128 	 997 	 5,4 	 2,7 	 27,26 	  
07:20 31.12.2019 	 3,01 	 3,24 	 8 	 14 	 128 	 997 	 5,4 	 2,7 	 27,34 	  
07:10 31.12.2019 	 2,91 	 3,12 	 7 	 14 	 127 	 997 	 5,7 	 2,7 	 29,48 	  
07:00 31.12.2019 	 2,81 	 3 	 7 	 14 	 127 	 998 	 5,5 	 2,6 	 29,46 	  
06:50 31.12.2019 	 2,7 	 2,87 	 9 	 16 	 128 	 998 	 5,6 	 2,6 	 29,46 	  
06:40 31.12.2019 	 2,6 	 2,75 	 7 	 15 	 127 	 998 	 5,6 	 2,6 	 29,04 	  
06:30 31.12.2019 	 2,48 	 2,65 	 8 	 16 	 126 	 998 	 5,7 	 2,6 	 27,3 	  
06:20 31.12.2019 	 2,37 	 2,54 	 8 	 14 	 125 	 999 	 5,9 	 2,6 	 27,16 	  
06:10 31.12.2019 	 2,26 	 2,41 	 7 	 15 	 127 	 999 	 6 	 2,6 	 27,31 	  
06:00 31.12.2019 	 2,15 	 2,3 	 6 	 15 	 124 	 999 	 6,2 	 2,6 	 27,12 	  
05:50 31.12.2019 	 2,04 	 2,17 	 7 	 15 	 123 	 1000 	 6,2 	 2,6 	 27,14 	  
05:40 31.12.2019 	 1,93 	 2,05 	 7 	 13 	 119 	 1000 	 6,4 	 2,7 	 27,1 	  
05:30 31.12.2019 	 1,83 	 1,91 	 5 	 9 	 118 	 1001 	 6,1 	 2,6 	 27,15 	  
05:20 31.12.2019 	 1,73 	 1,8 	 2 	 7 	 116 	 1001 	 5,7 	 2,6 	 27,16 	  
05:10 31.12.2019 	 1,63 	 1,67 	 3 	 7 	 119 	 1002 	 5,3 	 2,6 	 27,1 	  
05:00 31.12.2019 	 1,54 	 1,56 	 3 	 6 	 120 	 1002 	 5,1 	 2,6 	 27,11 	  
04:50 31.12.2019 	 1,45 	 1,46 	 4 	 8 	 120 	 1002 	 5,5 	 2,6 	 27,04 	  
04:40 31.12.2019 	 1,37 	 1,38 	 3 	 6 	 120 	 1003 	 5,2 	 2,6 	 28,68 	  
04:30 31.12.2019 	 1,3 	 1,31 	 2 	 5 	 117 	 1003 	 4,8 	 2,6 	 28,34 	  
04:20 31.12.2019 	 1,24 	 1,25 	 3 	 6 	 81 	 1003 	 4,1 	 2,7 	 28,42 	  
04:10 31.12.2019 	 1,18 	 1,19 	 3 	 6 	 81 	 1004 	 4,1 	 2,7 	 28,2 	  
04:00 31.12.2019 	 1,14 	 1,14 	 6 	 9 	 83 	 1004 	 4,2 	 2,8 	 28,23 	  
03:50 31.12.2019 	 1,1 	 1,1 	 5 	 8 	 88 	 1004 	 3,4 	 2,7 	 28,68 	  
03:40 31.12.2019 	 1,07 	 1,06 	 5 	 8 	 90 	 1005 	 3,2 	 2,8 	 28,67 	  
03:30 31.12.2019 	 1,05 	 1,04 	 5 	 7 	 89 	 1005 	 3,2 	 2,8 	 28,51 	  
03:20 31.12.2019 	 1,04 	 1,01 	 4 	 6 	 90 	 1006 	 2,9 	 2,9 	 28,06 	  
03:10 31.12.2019 	 1,05 	 0,98 	 4 	 6 	 90 	 1006 	 3 	 2,9 	 27,84 	  
03:00 31.12.2019 	 1,06 	 0,99 	 2 	 4 	 78 	 1006 	 2,9 	 3 	 27,56 	  
02:50 31.12.2019 	 1,08 	 1 	 2 	 3 	 89 	 1007 	 3 	 3 	 27,31 	  
02:40 31.12.2019 	 1,11 	 1,06 	 4 	 9 	 118 	 1007 	 3,4 	 2,9 	 27,14 	  
02:30 31.12.2019 	 1,15 	 1,1 	 5 	 9 	 128 	 1007 	 3,5 	 2,9 	 27,14 	  
02:20 31.12.2019 	 1,21 	 1,17 	 3 	 7 	 127 	 1008 	 3,7 	 2,9 	 27,03 	  
02:10 31.12.2019 	 1,26 	 1,23 	 3 	 10 	 125 	 1008 	 3,7 	 2,9 	 27,02 	  
02:00 31.12.2019 	 1,33 	 1,31 	 5 	 8 	 124 	 1008 	 4 	 2,8 	 27,03 	  
01:50 31.12.2019 	 1,41 	 1,42 	 4 	 9 	 126 	 1008 	 4,1 	 2,8 	 27,08 	  
01:40 31.12.2019 	 1,49 	 1,51 	 5 	 9 	 127 	 1008 	 4 	 2,8 	 27,11 	  
01:30 31.12.2019 	 1,58 	 1,63 	 6 	 10 	 129 	 1008 	 3,6 	 2,7 	 27,08 	  
01:20 31.12.2019 	 1,67 	 1,71 	 5 	 9 	 129 	 1009 	 3,5 	 2,7 	 27,06 	  
01:10 31.12.2019 	 1,77 	 1,84 	 7 	 12 	 131 	 1009 	 3,7 	 2,7 	 27,04 	  
01:00 31.12.2019 	 1,87 	 1,95 	 7 	 11 	 130 	 1009 	 3,8 	 2,6 	 27,05 	  
00:50 31.12.2019 	 1,97 	 2,08 	 7 	 13 	 129 	 1009 	 4 	 2,6 	 27,02 	  
00:40 31.12.2019 	 2,08 	 2,19 	 5 	 12 	 126 	 1009 	 4,4 	 2,6 	 26,99 	  
00:30 31.12.2019 	 2,19 	 2,3 	 4 	 9 	 126 	 1009 	 4,6 	 2,6 	 27,08 	  
00:20 31.12.2019 	 2,3 	 2,43 	 3 	 7 	 126 	 1009 	 4,6 	 2,6 	 27,04 	  
00:10 31.12.2019 	 2,41 	 2,56 	 4 	 7 	 129 	 1009 	 4,4 	 2,6 	 27 	  
00:00 31.12.2019 	 2,51 	 2,67 	 4 	 9 	 128 	 1010 	 4,5 	 2,6 	 27,01 	  
23:50 30.12.2019 	 2,62 	 2,79 	 5 	 10 	 127 	 1010 	 4,5 	 2,6 	 26,99 	  
23:40 30.12.2019 	 2,72 	 2,89 	 7 	 9 	 131 	 1010 	 4,3 	 2,6 	 27 	  
23:30 30.12.2019 	 2,82 	 2,99 	 7 	 10 	 131 	 1010 	 4 	 2,6 	 26,99 	  
23:20 30.12.2019 	 2,92 	 3,03 	 7 	 9 	 132 	 1010 	 3,9 	 2,6 	 27,01 	  
23:10 30.12.2019 	 3,01 	 3,16 	 8 	 11 	 133 	 1011 	 3,9 	 2,7 	 27,09 	  
23:00 30.12.2019 	 3,09 	 3,26 	 9 	 13 	 131 	 1011 	 4,4 	 2,7 	 27,07 	  
22:50 30.12.2019 	 3,17 	 3,33 	 7 	 10 	 136 	 1011 	 4,4 	 2,7 	 27,06 	  
22:40 30.12.2019 	 3,24 	 3,38 	 6 	 10 	 139 	 1011 	 4,1 	 2,6 	 27,03 	  
22:30 30.12.2019 	 3,31 	 3,44 	 8 	 15 	 136 	 1011 	 4,1 	 2,6 	 26,95 	  
22:20 30.12.2019 	 3,36 	 3,5 	 7 	 11 	 135 	 1011 	 4 	 2,7 	 26,96 	  
22:10 30.12.2019 	 3,41 	 3,52 	 8 	 11 	 133 	 1010 	 3,8 	 2,7 	 27,09 	  
22:00 30.12.2019 	 3,46 	 3,58 	 9 	 11 	 133 	 1011 	 3,9 	 2,7 	 27,09 	  
21:50 30.12.2019 	 3,49 	 3,62 	 6 	 11 	 137 	 1011 	 3,8 	 2,7 	 27,1 	  
21:40 30.12.2019 	 3,51 	 3,61 	 3 	 6 	 150 	 1011 	 3 	 2,7 	 27,11 	  
21:30 30.12.2019 	 3,53 	 3,62 	 4 	 5 	 150 	 1011 	 3,1 	 2,7 	 27,02 	  
21:20 30.12.2019 	 3,54 	 3,62 	 4 	 8 	 147 	 1011 	 3,1 	 2,7 	 27,02 	  
21:10 30.12.2019 	 3,53 	 3,62 	 4 	 8 	 144 	 1011 	 3,2 	 2,7 	 27 	  
21:00 30.12.2019 	 3,52 	 3,62 	 3 	 5 	 153 	 1011 	 3,1 	 2,7 	 27,04 	  
20:50 30.12.2019 	 3,5 	 3,62 	 3 	 6 	 159 	 1011 	 3,2 	 2,6 	 27,01 	  
20:40 30.12.2019 	 3,47 	 3,59 	 6 	 10 	 136 	 1011 	 3,6 	 2,7 	 27 	  
20:30 30.12.2019 	 3,44 	 3,59 	 6 	 12 	 136 	 1011 	 3,6 	 2,7 	 26,96 	  
20:20 30.12.2019 	 3,39 	 3,58 	 5 	 8 	 139 	 1011 	 3,8 	 2,7 	 27,1 	  
20:10 30.12.2019 	 3,34 	 3,54 	 2 	 4 	 156 	 1011 	 3 	 2,7 	 27,17 	  
20:00 30.12.2019 	 3,28 	 3,49 	 2 	 4 	 155 	 1011 	 2,9 	 2,6 	 27,09 	  
19:50 30.12.2019 	 3,21 	 3,43 	 3 	 6 	 142 	 1011 	 3,2 	 2,7 	 27,58 	  
19:40 30.12.2019 	 3,13 	 3,35 	 4 	 7 	 141 	 1010 	 2,9 	 2,7 	 27,21 	  
19:30 30.12.2019 	 3,05 	 3,24 	 6 	 9 	 134 	 1010 	 2,9 	 2,7 	 27,3 	  
19:20 30.12.2019 	 2,96 	 3,15 	 6 	 10 	 133 	 1010 	 3,1 	 2,7 	 27,24 	  
19:10 30.12.2019 	 2,87 	 3,05 	 5 	 8 	 135 	 1010 	 3,1 	 2,7 	 27,26 	  
19:00 30.12.2019 	 2,77 	 2,92 	 4 	 9 	 131 	 1010 	 3,1 	 2,6 	 27,21 	  
18:50 30.12.2019 	 2,67 	 2,78 	 1 	 3 	 111 	 1010 	 2,4 	 2,5 	 26,67 	  
18:40 30.12.2019 	 2,56 	 2,65 	 2 	 4 	 92 	 1010 	 2,5 	 2,6 	 27,15 	  
18:30 30.12.2019 	 2,46 	 2,53 	 4 	 6 	 87 	 1010 	 1,9 	 2,7 	 27,32 	  
18:20 30.12.2019 	 2,34 	 2,38 	 5 	 7 	 88 	 1010 	 1,9 	 2,7 	 27,37 	  
18:10 30.12.2019 	 2,23 	 2,27 	 6 	 8 	 88 	 1010 	 2 	 2,7 	 27,3 	  
18:00 30.12.2019 	 2,12 	 2,12 	 7 	 8 	 88 	 1010 	 1,8 	 2,7 	 27,42 	  
17:50 30.12.2019 	 2,01 	 2,01 	 6 	 7 	 88 	 1010 	 1,7 	 2,7 	 27,35 	  
17:40 30.12.2019 	 1,9 	 1,84 	 6 	 8 	 88 	 1010 	 1,6 	 2,7 	 27,36 	  
17:30 30.12.2019 	 1,79 	 1,72 	 5 	 7 	 84 	 1010 	 1,6 	 2,7 	 27,38 	  
17:20 30.12.2019 	 1,68 	 1,61 	 4 	 5 	 85 	 1010 	 1,9 	 2,7 	 27,41 	  
17:10 30.12.2019 	 1,58 	 1,49 	 3 	 5 	 87 	 1010 	 2,2 	 2,7 	 27,33 	  
17:00 30.12.2019 	 1,48 	 1,39 	 3 	 4 	 91 	 1010 	 2,2 	 2,7 	 27,33 	  
16:50 30.12.2019 	 1,39 	 1,3 	 4 	 5 	 82 	 1010 	 1,9 	 2,7 	 27,16 	  
16:40 30.12.2019 	 1,31 	 1,26 	 3 	 4 	 67 	 1010 	 1,8 	 2,7 	 27,14 	  
16:30 30.12.2019 	 1,23 	 1,17 	 4 	 5 	 66 	 1010 	 1,5 	 2,8 	 27,15 	  
16:20 30.12.2019 	 1,16 	 1,13 	 2 	 4 	 76 	 1010 	 1,7 	 3 	 27,96 	  
16:10 30.12.2019 	 1,1 	 1,12 	 3 	 5 	 67 	 1010 	 1,5 	 3 	 26,98 	  
16:00 30.12.2019 	 1,05 	 1,08 	 5 	 5 	 74 	 1010 	 1,5 	 3 	 26,88 	  
15:50 30.12.2019 	 1 	 1,07 	 4 	 5 	 71 	 1010 	 1,4 	 2,8 	 26,63 	  
15:40 30.12.2019 	 0,97 	 1,04 	 4 	 5 	 69 	 1010 	 1,3 	 2,6 	 28,6 	  
15:30 30.12.2019 	 0,95 	 1,04 	 4 	 5 	 66 	 1010 	 1,3 	 2,4 	 28,13 	  
15:20 30.12.2019 	 0,94 	 1,01 	 4 	 5 	 69 	 1010 	 1,3 	 2,3 	 27,03 	  
15:10 30.12.2019 	 0,93 	 1 	 5 	 6 	 67 	 1010 	 1,2 	 2,3 	 27,14 	  
15:00 30.12.2019 	 0,95 	 1,01 	 5 	 7 	 66 	 1010 	 1,1 	 2,3 	 26,77 	  
14:50 30.12.2019 	 0,97 	 1,01 	 5 	 6 	 64 	 1010 	 1,1 	 2,4 	 26,49 	  
14:40 30.12.2019 	 1 	 1,03 	 4 	 5 	 64 	 1010 	 0,9 	 2,4 	 26,72 	  
14:30 30.12.2019 	 1,04 	 1,06 	 4 	 5 	 65 	 1010 	 0,9 	 2,1 	 26,34 	  
14:20 30.12.2019 	 1,1 	 1,11 	 4 	 5 	 64 	 1010 	 0,8 	 2,2 	 26,38 	  
14:10 30.12.2019 	 1,16 	 1,17 	 4 	 5 	 64 	 1011 	 0,7 	 2,1 	 26,36 	  
14:00 30.12.2019 	 1,23 	 1,25 	 4 	 5 	 64 	 1011 	 0,7 	 2,1 	 26,14 	  
13:50 30.12.2019 	 1,31 	 1,35 	 4 	 5 	 68 	 1010 	 0,7 	 2,3 	 26,07 	  
13:40 30.12.2019 	 1,4 	 1,45 	 4 	 6 	 66 	 1010 	 0,7 	 2,5 	 26,91 	  
13:30 30.12.2019 	 1,5 	 1,58 	 4 	 7 	 82 	 1010 	 0,6 	 2,6 	 26,88 	  
13:20 30.12.2019 	 1,61 	 1,69 	 3 	 5 	 87 	 1010 	 0,9 	 2,5 	 27,08 	  
13:10 30.12.2019 	 1,72 	 1,83 	 3 	 4 	 89 	 1010 	 0,8 	 2,5 	 27,05 	  
13:00 30.12.2019 	 1,83 	 1,96 	 3 	 4 	 90 	 1010 	 0,6 	 2,5 	 26,99 	  
12:50 30.12.2019 	 1,95 	 2,1 	 2 	 3 	 85 	 1010 	 0,6 	 2,4 	 27,09 	  
12:40 30.12.2019 	 2,08 	 2,24 	 2 	 3 	 66 	 1010 	 -0,1 	 2,4 	 27,11 	  
12:30 30.12.2019 	 2,2 	 2,38 	 3 	 3 	 64 	 1010 	 -0,3 	 2,4 	 26,94 	  
12:20 30.12.2019 	 2,33 	 2,52 	 3 	 4 	 72 	 1010 	 -0,1 	 2,4 	 27,02 	  
12:10 30.12.2019 	 2,46 	 2,65 	 3 	 4 	 75 	 1009 	 -0,2 	 2,4 	 26,98 	  
12:00 30.12.2019 	 2,59 	 2,78 	 2 	 4 	 83 	 1009 	 -0,5 	 2,4 	 27,01 	  
11:50 30.12.2019 	 2,71 	 2,93 	 2 	 3 	 84 	 1009 	 -0,5 	 2,4 	 26,96 	  
11:40 30.12.2019 	 2,84 	 3,05 	 3 	 4 	 75 	 1009 	 -0,4 	 2,5 	 27,24 	  
11:30 30.12.2019 	 2,96 	 3,18 	 2 	 3 	 76 	 1009 	 -0,2 	 2,5 	 27,21 	  
11:20 30.12.2019 	 3,07 	 3,3 	 2 	 3 	 77 	 1009 	 -0,5 	 2,5 	 26,97 	  
11:10 30.12.2019 	 3,18 	 3,45 	 2 	 3 	 84 	 1009 	 -0,8 	 2,5 	 27,1 	  
11:00 30.12.2019 	 3,29 	 3,54 	 3 	 4 	 85 	 1008 	 -0,9 	 2,5 	 27,12 	  
10:50 30.12.2019 	 3,39 	 3,65 	 2 	 3 	 85 	 1008 	 -0,9 	 2,6 	 27,15 	  
10:40 30.12.2019 	 3,48 	 3,74 	 2 	 3 	 85 	 1008 	 -0,8 	 2,6 	 27,37 	  
10:30 30.12.2019 	 3,57 	 3,84 	 2 	 3 	 90 	 1008 	 -0,9 	 2,6 	 27,37 	  
10:20 30.12.2019 	 3,65 	 3,91 	 1 	 3 	 86 	 1008 	 -0,5 	 2,5 	 27,67 	  
10:10 30.12.2019 	 3,72 	 3,96 	 1 	 2 	 87 	 1008 	 -0,2 	 2,4 	 27,6 	  
10:00 30.12.2019 	 3,78 	 4 	 1 	 2 	 85 	 1008 	 0 	 2,5 	 27,62 	  
09:50 30.12.2019 	 3,83 	 4,03 	 1 	 2 	 93 	 1008 	 -0,3 	 2,5 	 27,66 	  
