 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
16:20 08.12.2019 	 3,4 	 3,88 	 7 	 10 	 72 	 999 	 0,8 	 4,2 	 29,84 	  
16:10 08.12.2019 	 3,4 	 3,88 	 6 	 8 	 68 	 999 	 0,5 	 4,2 	 29,89 	  
16:00 08.12.2019 	 3,4 	 3,84 	 5 	 9 	 68 	 999 	 0,8 	 4,4 	 29,94 	  
15:50 08.12.2019 	 3,39 	 3,8 	 6 	 10 	 78 	 999 	 0,7 	 4,4 	 29,94 	  
15:40 08.12.2019 	 3,37 	 3,76 	 9 	 13 	 70 	 998 	 1 	 4,4 	 29,96 	  
15:30 08.12.2019 	 3,34 	 3,68 	 8 	 12 	 72 	 998 	 1 	 4,4 	 29,97 	  
15:20 08.12.2019 	 3,31 	 3,62 	 8 	 11 	 78 	 998 	 1,2 	 4,4 	 29,95 	  
15:10 08.12.2019 	 3,27 	 3,56 	 8 	 12 	 73 	 998 	 1 	 4,5 	 29,96 	  
15:00 08.12.2019 	 3,22 	 3,52 	 10 	 15 	 68 	 998 	 1,1 	 4,4 	 29,97 	  
14:50 08.12.2019 	 3,17 	 3,47 	 12 	 15 	 81 	 997 	 1,3 	 4,4 	 29,98 	  
14:40 08.12.2019 	 3,1 	 3,41 	 11 	 15 	 84 	 997 	 1,6 	 4,4 	 29,99 	  
14:30 08.12.2019 	 3,04 	 3,36 	 9 	 11 	 84 	 997 	 1,7 	 4,4 	 29,98 	  
14:20 08.12.2019 	 2,97 	 3,29 	 9 	 11 	 87 	 997 	 1,8 	 4,5 	 30,01 	  
14:10 08.12.2019 	 2,89 	 3,24 	 8 	 11 	 86 	 997 	 1,9 	 4,5 	 30 	  
14:00 08.12.2019 	 2,81 	 3,18 	 7 	 10 	 80 	 997 	 1,7 	 4,4 	 30,05 	  
13:50 08.12.2019 	 2,73 	 3,12 	 9 	 13 	 69 	 996 	 1,7 	 4,4 	 29,99 	  
13:40 08.12.2019 	 2,64 	 3,05 	 11 	 17 	 69 	 996 	 2 	 4,4 	 29,96 	  
13:30 08.12.2019 	 2,55 	 2,96 	 14 	 19 	 73 	 995 	 2,1 	 4,4 	 28,61 	  
13:20 08.12.2019 	 2,46 	 2,84 	 15 	 18 	 78 	 995 	 2,2 	 4,4 	 28,28 	  
13:10 08.12.2019 	 2,37 	 2,75 	 14 	 19 	 83 	 995 	 2,4 	 4,4 	 28,08 	  
13:00 08.12.2019 	 2,28 	 2,65 	 9 	 14 	 79 	 995 	 2,6 	 4,4 	 28,14 	  
12:50 08.12.2019 	 2,19 	 2,55 	 11 	 19 	 66 	 995 	 2,9 	 4,4 	 28,17 	  
12:40 08.12.2019 	 2,1 	 2,44 	 9 	 15 	 76 	 995 	 3 	 4,3 	 28,17 	  
12:30 08.12.2019 	 2,01 	 2,34 	 11 	 18 	 70 	 995 	 3,2 	 4,3 	 28,36 	  
12:20 08.12.2019 	 1,93 	 2,24 	 7 	 16 	 79 	 994 	 3 	 4,4 	 28,17 	  
12:10 08.12.2019 	 1,85 	 2,16 	 6 	 12 	 107 	 994 	 2,7 	 4,4 	 28,15 	  
12:00 08.12.2019 	 1,77 	 2,06 	 5 	 14 	 118 	 994 	 2,7 	 4,3 	 28,19 	  
11:50 08.12.2019 	 1,7 	 1,99 	 6 	 13 	 109 	 993 	 2,6 	 4,3 	 28,26 	  
11:40 08.12.2019 	 1,63 	 1,91 	 7 	 11 	 108 	 993 	 2,6 	 4,3 	 28,18 	  
11:30 08.12.2019 	 1,57 	 1,85 	 8 	 12 	 102 	 993 	 2,5 	 4,3 	 28,13 	  
11:20 08.12.2019 	 1,52 	 1,78 	 8 	 11 	 104 	 993 	 2,5 	 4,3 	 28,12 	  
11:10 08.12.2019 	 1,47 	 1,74 	 8 	 14 	 110 	 993 	 2,2 	 4,3 	 28,12 	  
11:00 08.12.2019 	 1,43 	 1,68 	 6 	 9 	 103 	 992 	 2,1 	 4,3 	 28,05 	  
10:50 08.12.2019 	 1,39 	 1,65 	 8 	 11 	 104 	 992 	 1,9 	 4,3 	 28,11 	  
10:40 08.12.2019 	 1,36 	 1,63 	 7 	 10 	 97 	 991 	 2 	 4,4 	 28,08 	  
10:30 08.12.2019 	 1,34 	 1,62 	 7 	 12 	 97 	 991 	 1,7 	 4,4 	 28,08 	  
10:20 08.12.2019 	 1,33 	 1,61 	 8 	 11 	 103 	 991 	 1,3 	 4,4 	 28,12 	  
10:10 08.12.2019 	 1,33 	 1,62 	 8 	 13 	 104 	 991 	 1,4 	 4,4 	 28,08 	  
10:00 08.12.2019 	 1,33 	 1,62 	 6 	 13 	 108 	 991 	 1,3 	 4,5 	 28,05 	  
09:50 08.12.2019 	 1,34 	 1,63 	 6 	 10 	 107 	 990 	 1 	 4,5 	 28,03 	  
09:40 08.12.2019 	 1,35 	 1,65 	 7 	 12 	 117 	 990 	 1 	 4,5 	 28,06 	  
09:30 08.12.2019 	 1,38 	 1,67 	 6 	 10 	 119 	 990 	 0,7 	 4,5 	 28,07 	  
09:20 08.12.2019 	 1,41 	 1,71 	 7 	 11 	 123 	 990 	 0,7 	 4,4 	 28,07 	  
09:10 08.12.2019 	 1,45 	 1,75 	 7 	 11 	 113 	 990 	 0,7 	 4,4 	 28,07 	  
09:00 08.12.2019 	 1,49 	 1,81 	 7 	 9 	 108 	 989 	 0,6 	 4,3 	 28,08 	  
08:50 08.12.2019 	 1,54 	 1,86 	 7 	 9 	 94 	 989 	 0,7 	 4,3 	 28,06 	  
08:40 08.12.2019 	 1,6 	 1,93 	 6 	 10 	 78 	 989 	 0,6 	 4,2 	 28,1 	  
08:30 08.12.2019 	 1,66 	 2 	 7 	 11 	 51 	 988 	 0,9 	 4,2 	 28,06 	  
08:20 08.12.2019 	 1,73 	 2,07 	 9 	 12 	 72 	 988 	 0,4 	 4,2 	 28,05 	  
08:10 08.12.2019 	 1,8 	 2,14 	 9 	 14 	 111 	 988 	 0,2 	 4,2 	 28,06 	  
08:00 08.12.2019 	 1,88 	 2,22 	 11 	 15 	 117 	 988 	 0,3 	 4,1 	 28,07 	  
07:50 08.12.2019 	 1,96 	 2,33 	 12 	 15 	 118 	 987 	 0,2 	 4,1 	 28,08 	  
07:40 08.12.2019 	 2,04 	 2,42 	 10 	 14 	 108 	 987 	 -0,2 	 4,1 	 29,1 	  
07:30 08.12.2019 	 2,13 	 2,51 	 11 	 15 	 110 	 987 	 0,1 	 4,1 	 29,91 	  
07:20 08.12.2019 	 2,21 	 2,58 	 10 	 16 	 106 	 987 	 -0 	 4,1 	 29,94 	  
07:10 08.12.2019 	 2,3 	 2,68 	 10 	 14 	 100 	 987 	 -0,3 	 4,1 	 29,95 	  
07:00 08.12.2019 	 2,38 	 2,78 	 9 	 14 	 95 	 987 	 -0 	 3,9 	 28,36 	  
06:50 08.12.2019 	 2,47 	 2,85 	 9 	 15 	 100 	 987 	 -0,1 	 3,8 	 28,25 	  
06:40 08.12.2019 	 2,55 	 2,96 	 9 	 13 	 96 	 987 	 -0 	 3,8 	 28,14 	  
06:30 08.12.2019 	 2,64 	 3,06 	 8 	 12 	 85 	 986 	 0,2 	 3,8 	 28,06 	  
06:20 08.12.2019 	 2,72 	 3,14 	 9 	 14 	 72 	 986 	 -0,6 	 3,8 	 28,11 	  
06:10 08.12.2019 	 2,8 	 3,22 	 10 	 17 	 49 	 985 	 -0,6 	 3,8 	 28,05 	  
06:00 08.12.2019 	 2,87 	 3,29 	 10 	 15 	 42 	 985 	 -0,7 	 3,8 	 28,05 	  
05:50 08.12.2019 	 2,94 	 3,38 	 12 	 19 	 34 	 985 	 -0,3 	 3,8 	 28,06 	  
05:40 08.12.2019 	 3,01 	 3,43 	 13 	 19 	 34 	 985 	 -0,6 	 3,9 	 28,09 	  
05:30 08.12.2019 	 3,07 	 3,52 	 13 	 20 	 37 	 984 	 -0,6 	 4 	 28,13 	  
