 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
12:10 21.01.2019 	 1,43 	 1,46 	 8 	 10 	 205 	 974 	 -0,6 	  
12:00 21.01.2019 	 1,48 	 1,51 	 8 	 9 	 203 	 974 	 -0,5 	  
11:50 21.01.2019 	 1,53 	 1,57 	 4 	 6 	 157 	 975 	 -0,5 	  
11:40 21.01.2019 	 1,57 	 1,6 	 6 	 7 	 158 	 975 	 -0,7 	  
11:30 21.01.2019 	 1,61 	 1,65 	 6 	 7 	 155 	 975 	 -0,5 	  
11:20 21.01.2019 	 1,65 	 1,71 	 3 	 4 	 145 	 975 	 -0,3 	  
11:10 21.01.2019 	 1,68 	 1,75 	 1 	 2 	 163 	 975 	 0,2 	  
11:00 21.01.2019 	 1,7 	 1,78 	 1 	 2 	 197 	 975 	 0,3 	  
10:50 21.01.2019 	 1,72 	 1,8 	 1 	 2 	 234 	 975 	 0,3 	  
10:40 21.01.2019 	 1,74 	 1,85 	 1 	 2 	 284 	 975 	 0,3 	  
10:30 21.01.2019 	 1,75 	 1,87 	 1 	 2 	 329 	 975 	 0,2 	  
10:20 21.01.2019 	 1,76 	 1,87 	 2 	 3 	 327 	 975 	 0,2 	  
10:10 21.01.2019 	 1,76 	 1,86 	 2 	 2 	 339 	 975 	 -0 	  
10:00 21.01.2019 	 1,75 	 1,87 	 1 	 2 	 2 	 976 	 -0,1 	  
09:50 21.01.2019 	 1,74 	 1,84 	 1 	 2 	 24 	 976 	 -0,2 	  
09:40 21.01.2019 	 1,73 	 1,84 	 2 	 3 	 152 	 976 	 -0,1 	  
09:30 21.01.2019 	 1,71 	 1,82 	 2 	 4 	 166 	 976 	 0,1 	  
09:20 21.01.2019 	 1,68 	 1,8 	 1 	 2 	 146 	 976 	 0 	  
09:10 21.01.2019 	 1,65 	 1,78 	 2 	 3 	 169 	 976 	 0,4 	  
09:00 21.01.2019 	 1,62 	 1,78 	 3 	 5 	 176 	 976 	 0,3 	  
08:50 21.01.2019 	 1,57 	 1,74 	 4 	 5 	 155 	 976 	 0,3 	  
08:40 21.01.2019 	 1,53 	 1,7 	 2 	 4 	 123 	 976 	 0 	  
08:30 21.01.2019 	 1,48 	 1,68 	 2 	 3 	 92 	 976 	 0,3 	  
08:20 21.01.2019 	 1,43 	 1,65 	 3 	 4 	 70 	 976 	 -0,1 	  
08:10 21.01.2019 	 1,37 	 1,62 	 2 	 3 	 135 	 976 	 0,1 	  
08:00 21.01.2019 	 1,31 	 1,59 	 2 	 3 	 88 	 976 	 0,1 	  
07:50 21.01.2019 	 1,25 	 1,57 	 2 	 3 	 95 	 977 	 0,2 	  
07:40 21.01.2019 	 1,19 	 1,52 	 2 	 3 	 164 	 977 	 0,9 	  
07:30 21.01.2019 	 1,12 	 1,46 	 2 	 3 	 172 	 977 	 0,8 	  
07:20 21.01.2019 	 1,05 	 1,4 	 2 	 3 	 121 	 977 	 0,8 	  
