 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
01:50 06.01.2019 	 1,1 	 0,65 	 10 	 13 	 246 	 1023 	 3,1 	  
01:40 06.01.2019 	 1,02 	 0,47 	 12 	 19 	 238 	 1023 	 3,1 	  
01:30 06.01.2019 	 0,94 	 0,6 	 11 	 14 	 240 	 1023 	 4,4 	  
01:20 06.01.2019 	 0,87 	 0,51 	 11 	 16 	 244 	 1023 	 4,3 	  
01:10 06.01.2019 	 0,8 	 0,3 	 10 	 14 	 241 	 1023 	 3,9 	  
01:00 06.01.2019 	 0,74 	 0,35 	 12 	 19 	 243 	 1023 	 3,2 	  
00:50 06.01.2019 	 0,68 	 0,33 	 10 	 18 	 233 	 1022 	 4,6 	  
00:40 06.01.2019 	 0,63 	 0,27 	 11 	 14 	 235 	 1022 	 4,4 	  
00:30 06.01.2019 	 0,6 	 0,27 	 12 	 16 	 234 	 1022 	 4,4 	  
00:20 06.01.2019 	 0,56 	 0,16 	 11 	 16 	 226 	 1022 	 4,7 	  
00:10 06.01.2019 	 0,53 	 0,2 	 10 	 16 	 228 	 1022 	 4,7 	  
00:00 06.01.2019 	 0,52 	 0,21 	 11 	 15 	 233 	 1022 	 4,4 	  
23:50 05.01.2019 	 0,51 	 0,1 	 11 	 14 	 230 	 1022 	 4,1 	  
23:40 05.01.2019 	 0,51 	 0,21 	 10 	 15 	 226 	 1022 	 3,6 	  
23:30 05.01.2019 	 0,52 	 0,14 	 13 	 18 	 235 	 1022 	 3,5 	  
23:20 05.01.2019 	 0,53 	 0,22 	 10 	 14 	 229 	 1022 	 4,6 	  
23:10 05.01.2019 	 0,56 	 0,23 	 11 	 16 	 235 	 1022 	 4,6 	  
23:00 05.01.2019 	 0,6 	 0,27 	 11 	 16 	 236 	 1022 	 4,5 	  
22:50 05.01.2019 	 0,63 	 0,16 	 11 	 15 	 236 	 1022 	 4,5 	  
22:40 05.01.2019 	 0,68 	 0,22 	 11 	 14 	 239 	 1022 	 4,3 	  
22:30 05.01.2019 	 0,73 	 0,36 	 11 	 14 	 233 	 1022 	 4,2 	  
22:20 05.01.2019 	 0,79 	 0,44 	 10 	 15 	 229 	 1022 	 3,9 	  
22:10 05.01.2019 	 0,85 	 0,39 	 9 	 17 	 237 	 1021 	 3,6 	  
22:00 05.01.2019 	 0,92 	 0,44 	 8 	 11 	 246 	 1022 	 3,1 	  
21:50 05.01.2019 	 1 	 0,62 	 10 	 14 	 254 	 1022 	 2,7 	  
21:40 05.01.2019 	 1,08 	 0,73 	 14 	 20 	 253 	 1021 	 2,6 	  
21:30 05.01.2019 	 1,16 	 0,75 	 11 	 16 	 247 	 1021 	 4,5 	  
21:20 05.01.2019 	 1,24 	 0,79 	 11 	 15 	 247 	 1021 	 4,4 	  
21:10 05.01.2019 	 1,32 	 0,94 	 12 	 15 	 244 	 1021 	 4,4 	  
21:00 05.01.2019 	 1,41 	 1,01 	 12 	 15 	 246 	 1021 	 4,5 	  
20:50 05.01.2019 	 1,49 	 0,94 	 12 	 16 	 242 	 1021 	 4,6 	  
20:40 05.01.2019 	 1,58 	 1,12 	 10 	 14 	 241 	 1021 	 4,5 	  
20:30 05.01.2019 	 1,67 	 1,24 	 10 	 14 	 244 	 1021 	 4,2 	  
20:20 05.01.2019 	 1,74 	 1,33 	 12 	 15 	 249 	 1020 	 4,2 	  
20:10 05.01.2019 	 1,83 	 1,39 	 12 	 15 	 249 	 1020 	 4,3 	  
20:00 05.01.2019 	 1,9 	 1,48 	 12 	 15 	 245 	 1020 	 4,2 	  
19:50 05.01.2019 	 1,98 	 1,55 	 12 	 16 	 248 	 1020 	 4,3 	  
19:40 05.01.2019 	 2,05 	 1,55 	 12 	 15 	 255 	 1020 	 4,6 	  
19:30 05.01.2019 	 2,12 	 1,64 	 13 	 18 	 255 	 1020 	 4,6 	  
19:20 05.01.2019 	 2,18 	 1,79 	 12 	 16 	 256 	 1019 	 4,7 	  
19:10 05.01.2019 	 2,24 	 1,82 	 12 	 17 	 257 	 1019 	 4,7 	  
19:00 05.01.2019 	 2,3 	 1,87 	 12 	 17 	 261 	 1019 	 4,6 	  
18:50 05.01.2019 	 2,34 	 1,83 	 10 	 14 	 267 	 1019 	 4,3 	  
18:40 05.01.2019 	 2,38 	 1,8 	 13 	 20 	 265 	 1019 	 3,6 	  
18:30 05.01.2019 	 2,42 	 1,93 	 12 	 18 	 260 	 1019 	 4,5 	  
18:20 05.01.2019 	 2,45 	 1,95 	 12 	 16 	 256 	 1019 	 4,6 	  
18:10 05.01.2019 	 2,47 	 2,21 	 12 	 16 	 257 	 1019 	 4,6 	  
18:00 05.01.2019 	 2,49 	 2,08 	 12 	 15 	 261 	 1018 	 4,6 	  
17:50 05.01.2019 	 2,5 	 2,17 	 13 	 16 	 263 	 1018 	 4,7 	  
17:40 05.01.2019 	 2,51 	 2,19 	 12 	 16 	 259 	 1018 	 4,8 	  
17:30 05.01.2019 	 2,51 	 2,17 	 11 	 14 	 260 	 1018 	 4,8 	  
17:20 05.01.2019 	 2,49 	 2,12 	 11 	 15 	 259 	 1018 	 4,5 	  
17:10 05.01.2019 	 2,48 	 2,13 	 11 	 16 	 265 	 1018 	 4,7 	  
17:00 05.01.2019 	 2,46 	 2,06 	 11 	 15 	 260 	 1017 	 4,6 	  
