 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
17:40 26.01.2019 	 1,38 	 1,61 	 8 	 11 	 275 	 1014 	 -1,7 	  
17:30 26.01.2019 	 1,35 	 1,61 	 5 	 9 	 280 	 1014 	 -1,3 	  
17:20 26.01.2019 	 1,32 	 1,58 	 6 	 11 	 254 	 1014 	 -1,3 	  
17:10 26.01.2019 	 1,29 	 1,54 	 7 	 10 	 256 	 1014 	 -1 	  
17:00 26.01.2019 	 1,25 	 1,51 	 7 	 10 	 260 	 1014 	 -1,3 	  
16:50 26.01.2019 	 1,21 	 1,44 	 7 	 9 	 263 	 1014 	 -1,4 	  
16:40 26.01.2019 	 1,17 	 1,38 	 6 	 9 	 266 	 1014 	 -1,5 	  
16:30 26.01.2019 	 1,12 	 1,31 	 7 	 12 	 261 	 1014 	 -1,5 	  
16:20 26.01.2019 	 1,08 	 1,28 	 8 	 13 	 265 	 1014 	 -1,5 	  
16:10 26.01.2019 	 1,03 	 1,25 	 7 	 10 	 270 	 1014 	 -1,5 	  
16:00 26.01.2019 	 0,98 	 1,22 	 5 	 8 	 278 	 1014 	 -1,4 	  
15:50 26.01.2019 	 0,93 	 1,16 	 6 	 9 	 288 	 1014 	 -0,9 	  
15:40 26.01.2019 	 0,88 	 1,06 	 6 	 12 	 283 	 1014 	 -1,5 	  
15:30 26.01.2019 	 0,83 	 0,99 	 7 	 11 	 290 	 1014 	 -1,1 	  
15:20 26.01.2019 	 0,78 	 0,93 	 9 	 13 	 276 	 1014 	 -1,7 	  
15:10 26.01.2019 	 0,73 	 0,86 	 9 	 14 	 274 	 1014 	 -1,6 	  
15:00 26.01.2019 	 0,68 	 0,83 	 8 	 13 	 283 	 1013 	 -1,7 	  
14:50 26.01.2019 	 0,63 	 0,78 	 7 	 11 	 294 	 1013 	 -1,5 	  
14:40 26.01.2019 	 0,58 	 0,75 	 7 	 13 	 294 	 1013 	 -1 	  
14:30 26.01.2019 	 0,54 	 0,7 	 6 	 9 	 292 	 1013 	 -1,5 	  
14:20 26.01.2019 	 0,49 	 0,64 	 5 	 10 	 294 	 1013 	 -1,1 	  
14:10 26.01.2019 	 0,45 	 0,59 	 6 	 11 	 304 	 1013 	 -0,9 	  
14:00 26.01.2019 	 0,41 	 0,49 	 5 	 10 	 280 	 1014 	 -0,9 	  
13:50 26.01.2019 	 0,38 	 0,44 	 6 	 13 	 297 	 1014 	 -1,2 	  
13:40 26.01.2019 	 0,34 	 0,42 	 9 	 14 	 305 	 1013 	 -1,2 	  
13:30 26.01.2019 	 0,32 	 0,41 	 8 	 13 	 309 	 1013 	 -1,3 	  
13:20 26.01.2019 	 0,29 	 0,43 	 8 	 12 	 308 	 1013 	 -1,1 	  
13:10 26.01.2019 	 0,27 	 0,41 	 6 	 11 	 309 	 1013 	 -0,8 	  
13:00 26.01.2019 	 0,26 	 0,37 	 5 	 12 	 304 	 1014 	 -0,7 	  
12:50 26.01.2019 	 0,24 	 0,36 	 4 	 10 	 265 	 1014 	 -0,9 	  
12:40 26.01.2019 	 0,24 	 0,35 	 7 	 12 	 241 	 1014 	 -1 	  
12:30 26.01.2019 	 0,23 	 0,35 	 8 	 12 	 248 	 1014 	 -1,1 	  
12:20 26.01.2019 	 0,24 	 0,32 	 6 	 10 	 254 	 1014 	 -1 	  
12:10 26.01.2019 	 0,24 	 0,34 	 4 	 8 	 268 	 1014 	 -0,8 	  
12:00 26.01.2019 	 0,26 	 0,39 	 5 	 8 	 284 	 1014 	 -0,7 	  
11:50 26.01.2019 	 0,27 	 0,44 	 6 	 8 	 261 	 1014 	 -1,3 	  
11:40 26.01.2019 	 0,29 	 0,48 	 4 	 8 	 285 	 1014 	 -1,1 	  
11:30 26.01.2019 	 0,32 	 0,47 	 4 	 10 	 279 	 1014 	 -1,2 	  
11:20 26.01.2019 	 0,35 	 0,44 	 4 	 12 	 299 	 1014 	 -0,7 	  
11:10 26.01.2019 	 0,38 	 0,45 	 6 	 9 	 286 	 1014 	 -1,2 	  
11:00 26.01.2019 	 0,42 	 0,53 	 6 	 8 	 285 	 1014 	 -1 	  
10:50 26.01.2019 	 0,46 	 0,61 	 5 	 7 	 275 	 1014 	 -1,5 	  
10:40 26.01.2019 	 0,51 	 0,69 	 4 	 7 	 302 	 1014 	 -0,8 	  
10:30 26.01.2019 	 0,56 	 0,74 	 5 	 9 	 296 	 1014 	 -0,7 	  
10:20 26.01.2019 	 0,61 	 0,76 	 6 	 8 	 286 	 1014 	 -1,2 	  
10:10 26.01.2019 	 0,66 	 0,82 	 5 	 10 	 290 	 1014 	 -1,6 	  
10:00 26.01.2019 	 0,72 	 0,87 	 4 	 9 	 288 	 1014 	 -1 	  
09:50 26.01.2019 	 0,77 	 0,91 	 5 	 11 	 288 	 1014 	 -0,8 	  
09:40 26.01.2019 	 0,83 	 0,99 	 4 	 8 	 278 	 1014 	 -0,4 	  
09:30 26.01.2019 	 0,89 	 1,06 	 4 	 7 	 283 	 1014 	 -0,4 	  
09:20 26.01.2019 	 0,94 	 1,14 	 4 	 10 	 307 	 1014 	 -0,1 	  
09:10 26.01.2019 	 1 	 1,21 	 3 	 6 	 290 	 1014 	 -0,3 	  
09:00 26.01.2019 	 1,06 	 1,24 	 6 	 10 	 298 	 1014 	 -0,4 	  
08:50 26.01.2019 	 1,11 	 1,3 	 6 	 10 	 277 	 1014 	 -0,2 	  
08:40 26.01.2019 	 1,17 	 1,31 	 4 	 9 	 250 	 1014 	 -0,3 	  
08:30 26.01.2019 	 1,22 	 1,34 	 4 	 8 	 219 	 1014 	 -0,4 	  
08:20 26.01.2019 	 1,27 	 1,43 	 4 	 8 	 232 	 1013 	 -0,3 	  
08:10 26.01.2019 	 1,32 	 1,48 	 4 	 7 	 255 	 1013 	 -0,6 	  
08:00 26.01.2019 	 1,36 	 1,57 	 3 	 8 	 244 	 1013 	 -0,1 	  
07:50 26.01.2019 	 1,4 	 1,61 	 5 	 8 	 204 	 1013 	 -0,6 	  
07:40 26.01.2019 	 1,44 	 1,66 	 3 	 11 	 261 	 1013 	 -0,4 	  
07:30 26.01.2019 	 1,48 	 1,67 	 2 	 7 	 319 	 1013 	 -0,3 	  
07:20 26.01.2019 	 1,51 	 1,72 	 5 	 9 	 288 	 1013 	 -0,2 	  
07:10 26.01.2019 	 1,54 	 1,75 	 5 	 8 	 298 	 1013 	 -0,1 	  
07:00 26.01.2019 	 1,56 	 1,73 	 6 	 10 	 285 	 1013 	 -0,4 	  
06:50 26.01.2019 	 1,58 	 1,72 	 5 	 11 	 320 	 1013 	 -0,2 	  
06:40 26.01.2019 	 1,59 	 1,73 	 5 	 8 	 296 	 1013 	 -0,2 	  
06:30 26.01.2019 	 1,6 	 1,73 	 5 	 10 	 297 	 1013 	 -0 	  
06:20 26.01.2019 	 1,61 	 1,75 	 5 	 8 	 295 	 1013 	 -0,1 	  
06:10 26.01.2019 	 1,61 	 1,76 	 3 	 6 	 273 	 1013 	 -0,2 	  
06:00 26.01.2019 	 1,6 	 1,77 	 2 	 5 	 273 	 1013 	 0 	  
05:50 26.01.2019 	 1,59 	 1,76 	 3 	 5 	 292 	 1013 	 -0,1 	  
05:40 26.01.2019 	 1,58 	 1,7 	 3 	 5 	 302 	 1012 	 -0,4 	  
05:30 26.01.2019 	 1,56 	 1,69 	 2 	 4 	 292 	 1012 	 -0,5 	  
05:20 26.01.2019 	 1,54 	 1,67 	 2 	 4 	 282 	 1012 	 -0 	  
05:10 26.01.2019 	 1,51 	 1,65 	 3 	 5 	 271 	 1012 	 0 	  
05:00 26.01.2019 	 1,48 	 1,63 	 4 	 7 	 268 	 1012 	 0 	  
04:50 26.01.2019 	 1,44 	 1,59 	 5 	 7 	 248 	 1012 	 0,2 	  
04:40 26.01.2019 	 1,41 	 1,5 	 5 	 10 	 235 	 1012 	 0 	  
04:30 26.01.2019 	 1,36 	 1,45 	 4 	 7 	 256 	 1012 	 0,2 	  
04:20 26.01.2019 	 1,32 	 1,36 	 5 	 8 	 262 	 1012 	 -0,2 	  
04:10 26.01.2019 	 1,27 	 1,32 	 4 	 6 	 287 	 1012 	 -0,3 	  
04:00 26.01.2019 	 1,22 	 1,29 	 5 	 6 	 260 	 1012 	 -0,3 	  
03:50 26.01.2019 	 1,17 	 1,22 	 4 	 8 	 252 	 1012 	 0,2 	  
03:40 26.01.2019 	 1,11 	 1,15 	 3 	 7 	 254 	 1012 	 0,2 	  
03:30 26.01.2019 	 1,06 	 1,09 	 3 	 5 	 282 	 1012 	 -0,3 	  
03:20 26.01.2019 	 1 	 0,99 	 3 	 4 	 289 	 1012 	 -0,6 	  
03:10 26.01.2019 	 0,94 	 0,94 	 4 	 6 	 290 	 1012 	 0 	  
03:00 26.01.2019 	 0,88 	 0,84 	 2 	 5 	 277 	 1012 	 -0,1 	  
02:50 26.01.2019 	 0,82 	 0,79 	 3 	 8 	 308 	 1012 	 0,2 	  
02:40 26.01.2019 	 0,77 	 0,73 	 4 	 7 	 306 	 1012 	 -0,1 	  
02:30 26.01.2019 	 0,71 	 0,67 	 4 	 6 	 287 	 1012 	 0,1 	  
02:20 26.01.2019 	 0,65 	 0,59 	 5 	 8 	 291 	 1012 	 0,1 	  
02:10 26.01.2019 	 0,6 	 0,53 	 5 	 8 	 277 	 1012 	 -0,4 	  
02:00 26.01.2019 	 0,54 	 0,43 	 4 	 7 	 258 	 1012 	 0,7 	  
01:50 26.01.2019 	 0,5 	 0,37 	 4 	 7 	 264 	 1012 	 -0,2 	  
01:40 26.01.2019 	 0,45 	 0,34 	 3 	 6 	 268 	 1012 	 0,3 	  
01:30 26.01.2019 	 0,4 	 0,34 	 4 	 5 	 311 	 1012 	 -0,3 	  
01:20 26.01.2019 	 0,36 	 0,29 	 4 	 6 	 313 	 1012 	 0 	  
01:10 26.01.2019 	 0,32 	 0,26 	 5 	 8 	 303 	 1012 	 -0,1 	  
01:00 26.01.2019 	 0,29 	 0,2 	 2 	 5 	 279 	 1012 	 0,3 	  
00:50 26.01.2019 	 0,26 	 0,14 	 2 	 3 	 281 	 1012 	 -0,6 	  
00:40 26.01.2019 	 0,24 	 0,13 	 2 	 3 	 265 	 1012 	 0,2 	  
00:30 26.01.2019 	 0,22 	 0,11 	 2 	 6 	 304 	 1012 	 0,4 	  
00:20 26.01.2019 	 0,21 	 0,12 	 3 	 4 	 310 	 1012 	 -0,7 	  
00:10 26.01.2019 	 0,2 	 0,16 	 2 	 5 	 283 	 1012 	 -0,3 	  
00:00 26.01.2019 	 0,2 	 0,16 	 3 	 6 	 278 	 1012 	 -0,6 	  
23:50 25.01.2019 	 0,2 	 0,18 	 3 	 6 	 302 	 1012 	 0,3 	  
23:40 25.01.2019 	 0,21 	 0,17 	 4 	 7 	 309 	 1012 	 0,5 	  
23:30 25.01.2019 	 0,22 	 0,14 	 4 	 8 	 331 	 1012 	 0,1 	  
23:20 25.01.2019 	 0,24 	 0,19 	 4 	 6 	 0 	 1012 	 -0 	  
23:10 25.01.2019 	 0,26 	 0,2 	 4 	 6 	 329 	 1012 	 -1,1 	  
23:00 25.01.2019 	 0,29 	 0,27 	 2 	 4 	 243 	 1011 	 -0,6 	  
22:50 25.01.2019 	 0,32 	 0,31 	 2 	 5 	 274 	 1011 	 -0,8 	  
22:40 25.01.2019 	 0,36 	 0,35 	 3 	 6 	 250 	 1011 	 -0,7 	  
22:30 25.01.2019 	 0,4 	 0,39 	 4 	 6 	 228 	 1011 	 0,1 	  
22:20 25.01.2019 	 0,44 	 0,42 	 3 	 5 	 239 	 1011 	 -0,6 	  
22:10 25.01.2019 	 0,49 	 0,48 	 3 	 5 	 231 	 1011 	 -0,2 	  
22:00 25.01.2019 	 0,54 	 0,58 	 4 	 6 	 235 	 1011 	 -0,1 	  
21:50 25.01.2019 	 0,6 	 0,61 	 3 	 7 	 216 	 1011 	 -0,4 	  
21:40 25.01.2019 	 0,65 	 0,66 	 3 	 5 	 292 	 1011 	 -0,6 	  
21:30 25.01.2019 	 0,71 	 0,71 	 2 	 5 	 298 	 1011 	 -0,7 	  
21:20 25.01.2019 	 0,76 	 0,8 	 2 	 3 	 255 	 1011 	 -1,1 	  
21:10 25.01.2019 	 0,82 	 0,88 	 3 	 4 	 253 	 1011 	 -1,3 	  
21:00 25.01.2019 	 0,88 	 0,92 	 2 	 3 	 303 	 1011 	 -2,2 	  
20:50 25.01.2019 	 0,94 	 0,97 	 1 	 2 	 309 	 1011 	 -2,6 	  
20:40 25.01.2019 	 1 	 1,03 	 1 	 2 	 299 	 1011 	 -2,7 	  
20:30 25.01.2019 	 1,05 	 1,07 	 1 	 2 	 38 	 1011 	 -1,9 	  
20:20 25.01.2019 	 1,11 	 1,16 	 1 	 2 	 121 	 1011 	 -1,1 	  
20:10 25.01.2019 	 1,16 	 1,19 	 2 	 5 	 131 	 1011 	 -1,1 	  
20:00 25.01.2019 	 1,21 	 1,28 	 1 	 4 	 136 	 1011 	 -0,7 	  
19:50 25.01.2019 	 1,26 	 1,38 	 1 	 2 	 356 	 1011 	 -0,8 	  
19:40 25.01.2019 	 1,31 	 1,43 	 2 	 3 	 244 	 1011 	 -1 	  
19:30 25.01.2019 	 1,35 	 1,48 	 3 	 4 	 226 	 1011 	 -0,6 	  
19:20 25.01.2019 	 1,39 	 1,49 	 2 	 3 	 231 	 1011 	 -0,8 	  
19:10 25.01.2019 	 1,42 	 1,52 	 1 	 2 	 279 	 1011 	 -0,6 	  
19:00 25.01.2019 	 1,46 	 1,56 	 2 	 4 	 313 	 1011 	 -0,5 	  
18:50 25.01.2019 	 1,48 	 1,6 	 3 	 4 	 263 	 1011 	 -0,6 	  
18:40 25.01.2019 	 1,51 	 1,67 	 4 	 5 	 261 	 1011 	 -0,1 	  
18:30 25.01.2019 	 1,52 	 1,68 	 3 	 4 	 288 	 1011 	 -0,7 	  
18:20 25.01.2019 	 1,54 	 1,7 	 3 	 4 	 286 	 1011 	 -0,9 	  
18:10 25.01.2019 	 1,55 	 1,71 	 2 	 4 	 242 	 1010 	 -0,4 	  
18:00 25.01.2019 	 1,56 	 1,7 	 3 	 4 	 235 	 1010 	 -0,7 	  
17:50 25.01.2019 	 1,56 	 1,68 	 3 	 4 	 260 	 1010 	 -0,8 	  
17:40 25.01.2019 	 1,55 	 1,66 	 2 	 4 	 248 	 1010 	 -0,6 	  
17:30 25.01.2019 	 1,54 	 1,69 	 2 	 3 	 284 	 1010 	 -0,8 	  
17:20 25.01.2019 	 1,53 	 1,71 	 3 	 6 	 337 	 1010 	 -0,6 	  
17:10 25.01.2019 	 1,51 	 1,71 	 4 	 5 	 294 	 1010 	 -0,4 	  
17:00 25.01.2019 	 1,48 	 1,7 	 4 	 5 	 272 	 1010 	 -0,5 	  
16:50 25.01.2019 	 1,46 	 1,62 	 3 	 4 	 274 	 1010 	 -0,5 	  
16:40 25.01.2019 	 1,43 	 1,57 	 4 	 4 	 221 	 1010 	 -0,2 	  
16:30 25.01.2019 	 1,39 	 1,55 	 3 	 4 	 195 	 1010 	 -0,1 	  
16:20 25.01.2019 	 1,35 	 1,5 	 2 	 3 	 216 	 1010 	 -0,3 	  
16:10 25.01.2019 	 1,31 	 1,5 	 1 	 2 	 261 	 1010 	 -0,4 	  
16:00 25.01.2019 	 1,26 	 1,44 	 3 	 4 	 318 	 1009 	 -0,5 	  
15:50 25.01.2019 	 1,22 	 1,38 	 4 	 5 	 209 	 1009 	 0 	  
15:40 25.01.2019 	 1,16 	 1,32 	 4 	 4 	 157 	 1009 	 0,1 	  
15:30 25.01.2019 	 1,11 	 1,24 	 4 	 4 	 133 	 1009 	 -0,2 	  
15:20 25.01.2019 	 1,06 	 1,18 	 1 	 4 	 226 	 1009 	 -0,2 	  
15:10 25.01.2019 	 1 	 1,1 	 2 	 3 	 263 	 1009 	 -0,5 	  
15:00 25.01.2019 	 0,94 	 1,07 	 3 	 5 	 234 	 1009 	 -0,4 	  
14:50 25.01.2019 	 0,88 	 1,01 	 3 	 5 	 251 	 1009 	 -0,2 	  
14:40 25.01.2019 	 0,82 	 0,96 	 3 	 5 	 263 	 1008 	 -0,8 	  
14:30 25.01.2019 	 0,76 	 0,89 	 1 	 2 	 280 	 1009 	 -0,8 	  
14:20 25.01.2019 	 0,7 	 0,82 	 2 	 3 	 351 	 1009 	 -0,7 	  
14:10 25.01.2019 	 0,64 	 0,73 	 1 	 2 	 225 	 1008 	 -0,6 	  
14:00 25.01.2019 	 0,59 	 0,67 	 2 	 3 	 171 	 1008 	 -0,8 	  
13:50 25.01.2019 	 0,53 	 0,6 	 1 	 2 	 126 	 1008 	 -0,9 	  
13:40 25.01.2019 	 0,48 	 0,57 	 0 	 2 	 69 	 1008 	 -0,7 	  
13:30 25.01.2019 	 0,42 	 0,51 	 2 	 4 	 69 	 1008 	 -0,4 	  
13:20 25.01.2019 	 0,38 	 0,46 	 2 	 4 	 25 	 1008 	 -0,1 	  
13:10 25.01.2019 	 0,33 	 0,4 	 1 	 3 	 332 	 1008 	 0,4 	  
13:00 25.01.2019 	 0,29 	 0,34 	 2 	 3 	 294 	 1007 	 -0,1 	  
12:50 25.01.2019 	 0,25 	 0,29 	 2 	 3 	 249 	 1007 	 0,4 	  
12:40 25.01.2019 	 0,22 	 0,29 	 2 	 3 	 282 	 1007 	 -0,1 	  
12:30 25.01.2019 	 0,19 	 0,28 	 3 	 4 	 259 	 1007 	 -0,2 	  
12:20 25.01.2019 	 0,17 	 0,25 	 2 	 3 	 260 	 1007 	 0,1 	  
12:10 25.01.2019 	 0,15 	 0,22 	 2 	 3 	 300 	 1007 	 0,3 	  
12:00 25.01.2019 	 0,14 	 0,21 	 4 	 7 	 327 	 1007 	 0,5 	  
11:50 25.01.2019 	 0,13 	 0,22 	 4 	 6 	 294 	 1007 	 0,5 	  
11:40 25.01.2019 	 0,13 	 0,25 	 4 	 6 	 270 	 1007 	 0 	  
11:30 25.01.2019 	 0,13 	 0,29 	 4 	 5 	 288 	 1007 	 0,5 	  
11:20 25.01.2019 	 0,14 	 0,27 	 3 	 4 	 267 	 1007 	 0,4 	  
11:10 25.01.2019 	 0,16 	 0,31 	 2 	 4 	 265 	 1006 	 0,6 	  
11:00 25.01.2019 	 0,18 	 0,3 	 3 	 5 	 250 	 1006 	 0,8 	  
10:50 25.01.2019 	 0,21 	 0,3 	 2 	 3 	 255 	 1006 	 0,7 	  
10:40 25.01.2019 	 0,24 	 0,35 	 2 	 4 	 255 	 1006 	 0,5 	  
10:30 25.01.2019 	 0,28 	 0,37 	 3 	 4 	 252 	 1006 	 0,7 	  
10:20 25.01.2019 	 0,32 	 0,44 	 3 	 4 	 256 	 1006 	 0,1 	  
10:10 25.01.2019 	 0,36 	 0,51 	 4 	 5 	 239 	 1006 	 0,2 	  
10:00 25.01.2019 	 0,41 	 0,56 	 3 	 4 	 259 	 1005 	 0,6 	  
09:50 25.01.2019 	 0,47 	 0,65 	 1 	 3 	 204 	 1005 	 0,9 	  
09:40 25.01.2019 	 0,52 	 0,67 	 2 	 3 	 305 	 1005 	 0,2 	  
09:30 25.01.2019 	 0,58 	 0,71 	 2 	 3 	 294 	 1005 	 -0,1 	  
09:20 25.01.2019 	 0,64 	 0,78 	 2 	 4 	 320 	 1005 	 0,1 	  
09:10 25.01.2019 	 0,71 	 0,85 	 2 	 3 	 106 	 1005 	 0,2 	  
09:00 25.01.2019 	 0,78 	 0,95 	 2 	 5 	 104 	 1005 	 0,5 	  
08:50 25.01.2019 	 0,84 	 1,03 	 3 	 5 	 85 	 1005 	 0,1 	  
08:40 25.01.2019 	 0,91 	 1,06 	 4 	 6 	 114 	 1004 	 0,5 	  
08:30 25.01.2019 	 0,97 	 1,12 	 5 	 6 	 112 	 1004 	 0,5 	  
08:20 25.01.2019 	 1,04 	 1,16 	 5 	 6 	 108 	 1004 	 0,4 	  
08:10 25.01.2019 	 1,1 	 1,29 	 4 	 5 	 105 	 1004 	 0,6 	  
08:00 25.01.2019 	 1,17 	 1,37 	 4 	 5 	 100 	 1003 	 0,6 	  
07:50 25.01.2019 	 1,23 	 1,42 	 5 	 6 	 108 	 1003 	 0,9 	  
07:40 25.01.2019 	 1,29 	 1,47 	 5 	 7 	 102 	 1003 	 0,7 	  
07:30 25.01.2019 	 1,35 	 1,52 	 6 	 8 	 109 	 1003 	 1,1 	  
07:20 25.01.2019 	 1,4 	 1,6 	 7 	 10 	 110 	 1002 	 0,9 	  
07:10 25.01.2019 	 1,46 	 1,66 	 7 	 9 	 103 	 1002 	 1,1 	  
07:00 25.01.2019 	 1,5 	 1,7 	 8 	 10 	 107 	 1002 	 1,2 	  
06:50 25.01.2019 	 1,54 	 1,73 	 8 	 11 	 110 	 1002 	 1,5 	  
06:40 25.01.2019 	 1,58 	 1,75 	 8 	 10 	 105 	 1002 	 1,5 	  
06:30 25.01.2019 	 1,62 	 1,81 	 7 	 9 	 92 	 1001 	 1,3 	  
06:20 25.01.2019 	 1,65 	 1,86 	 5 	 8 	 88 	 1001 	 1,1 	  
06:10 25.01.2019 	 1,67 	 1,9 	 8 	 11 	 96 	 1001 	 1 	  
06:00 25.01.2019 	 1,69 	 1,9 	 9 	 12 	 96 	 1001 	 1,2 	  
05:50 25.01.2019 	 1,71 	 1,86 	 9 	 12 	 102 	 1000 	 1,2 	  
05:40 25.01.2019 	 1,72 	 1,87 	 9 	 12 	 100 	 1000 	 0,9 	  
05:30 25.01.2019 	 1,72 	 1,88 	 6 	 10 	 87 	 1000 	 1,3 	  
05:20 25.01.2019 	 1,72 	 1,9 	 6 	 9 	 83 	 1000 	 1,2 	  
05:10 25.01.2019 	 1,72 	 1,92 	 6 	 9 	 86 	 1000 	 1,2 	  
05:00 25.01.2019 	 1,7 	 1,89 	 9 	 12 	 91 	 999 	 1,8 	  
04:50 25.01.2019 	 1,69 	 1,87 	 8 	 12 	 76 	 999 	 1,8 	  
04:40 25.01.2019 	 1,66 	 1,83 	 7 	 11 	 61 	 999 	 1,5 	  
04:30 25.01.2019 	 1,64 	 1,77 	 9 	 13 	 71 	 999 	 1,9 	  
04:20 25.01.2019 	 1,61 	 1,77 	 8 	 13 	 60 	 998 	 2,2 	  
04:10 25.01.2019 	 1,57 	 1,75 	 9 	 15 	 74 	 998 	 2,3 	  
04:00 25.01.2019 	 1,53 	 1,71 	 10 	 14 	 71 	 998 	 2,2 	  
03:50 25.01.2019 	 1,48 	 1,66 	 6 	 13 	 62 	 998 	 2,4 	  
03:40 25.01.2019 	 1,44 	 1,57 	 3 	 5 	 72 	 998 	 1,2 	  
03:30 25.01.2019 	 1,38 	 1,49 	 1 	 5 	 120 	 997 	 0,6 	  
03:20 25.01.2019 	 1,33 	 1,4 	 0 	 0 	 0 	 997 	 0,4 	  
03:10 25.01.2019 	 1,27 	 1,37 	 0 	 1 	 243 	 997 	 0,5 	  
03:00 25.01.2019 	 1,21 	 1,29 	 1 	 1 	 254 	 997 	 0,7 	  
02:50 25.01.2019 	 1,15 	 1,21 	 1 	 2 	 226 	 997 	 0,9 	  
02:40 25.01.2019 	 1,08 	 1,12 	 1 	 2 	 231 	 996 	 0,9 	  
02:30 25.01.2019 	 1,02 	 1,04 	 1 	 2 	 251 	 996 	 0,4 	  
02:20 25.01.2019 	 0,95 	 0,98 	 1 	 2 	 241 	 996 	 0,8 	  
02:10 25.01.2019 	 0,88 	 0,89 	 2 	 2 	 257 	 996 	 0,5 	  
02:00 25.01.2019 	 0,81 	 0,81 	 2 	 3 	 241 	 996 	 0,7 	  
01:50 25.01.2019 	 0,74 	 0,75 	 2 	 3 	 211 	 996 	 0,7 	  
01:40 25.01.2019 	 0,68 	 0,65 	 1 	 2 	 242 	 996 	 0,4 	  
01:30 25.01.2019 	 0,61 	 0,65 	 2 	 3 	 278 	 996 	 0,2 	  
01:20 25.01.2019 	 0,55 	 0,54 	 3 	 3 	 274 	 996 	 0,1 	  
01:10 25.01.2019 	 0,49 	 0,45 	 3 	 4 	 268 	 996 	 -0 	  
01:00 25.01.2019 	 0,43 	 0,38 	 3 	 4 	 257 	 996 	 0,2 	  
00:50 25.01.2019 	 0,38 	 0,3 	 2 	 4 	 239 	 996 	 0,2 	  
00:40 25.01.2019 	 0,33 	 0,25 	 3 	 3 	 256 	 996 	 0,2 	  
00:30 25.01.2019 	 0,28 	 0,23 	 3 	 3 	 260 	 996 	 0 	  
00:20 25.01.2019 	 0,24 	 0,18 	 2 	 3 	 234 	 996 	 0,2 	  
00:10 25.01.2019 	 0,2 	 0,17 	 1 	 2 	 251 	 996 	 0,2 	  
00:00 25.01.2019 	 0,17 	 0,13 	 2 	 2 	 262 	 996 	 0,1 	  
23:50 24.01.2019 	 0,15 	 0,11 	 2 	 3 	 254 	 996 	 0,1 	  
23:40 24.01.2019 	 0,13 	 0,1 	 2 	 2 	 261 	 996 	 0,2 	  
23:30 24.01.2019 	 0,11 	 0,08 	 1 	 2 	 246 	 996 	 0,2 	  
23:20 24.01.2019 	 0,1 	 0,06 	 1 	 1 	 244 	 996 	 0 	  
23:10 24.01.2019 	 0,1 	 0,06 	 0 	 2 	 291 	 996 	 -0,2 	  
23:00 24.01.2019 	 0,11 	 0,11 	 2 	 2 	 269 	 996 	 -0,2 	  
22:50 24.01.2019 	 0,12 	 0,13 	 2 	 3 	 222 	 996 	 -0 	  
22:40 24.01.2019 	 0,13 	 0,15 	 2 	 3 	 220 	 996 	 0,1 	  
22:30 24.01.2019 	 0,16 	 0,16 	 1 	 1 	 239 	 996 	 0,1 	  
22:20 24.01.2019 	 0,18 	 0,18 	 1 	 2 	 256 	 996 	 0 	  
22:10 24.01.2019 	 0,22 	 0,18 	 2 	 2 	 257 	 996 	 0,1 	  
22:00 24.01.2019 	 0,25 	 0,26 	 3 	 3 	 257 	 996 	 -0,1 	  
21:50 24.01.2019 	 0,3 	 0,33 	 2 	 3 	 250 	 996 	 0,1 	  
21:40 24.01.2019 	 0,34 	 0,38 	 1 	 2 	 241 	 996 	 0,2 	  
21:30 24.01.2019 	 0,4 	 0,46 	 2 	 2 	 247 	 996 	 0,2 	  
21:20 24.01.2019 	 0,45 	 0,54 	 1 	 2 	 242 	 996 	 0,3 	  
21:10 24.01.2019 	 0,51 	 0,57 	 2 	 2 	 247 	 996 	 0,4 	  
21:00 24.01.2019 	 0,57 	 0,61 	 1 	 2 	 228 	 996 	 0,4 	  
20:50 24.01.2019 	 0,63 	 0,63 	 1 	 2 	 237 	 996 	 0,6 	  
20:40 24.01.2019 	 0,69 	 0,72 	 2 	 3 	 258 	 996 	 0,5 	  
20:30 24.01.2019 	 0,76 	 0,81 	 2 	 3 	 225 	 996 	 0,6 	  
20:20 24.01.2019 	 0,82 	 0,92 	 0 	 1 	 240 	 996 	 0,9 	  
20:10 24.01.2019 	 0,89 	 0,98 	 0 	 1 	 310 	 996 	 0,8 	  
20:00 24.01.2019 	 0,96 	 1,02 	 1 	 1 	 324 	 996 	 0,5 	  
19:50 24.01.2019 	 1,02 	 1,1 	 1 	 1 	 321 	 996 	 0,5 	  
19:40 24.01.2019 	 1,08 	 1,16 	 0 	 1 	 313 	 996 	 0,5 	  
19:30 24.01.2019 	 1,14 	 1,25 	 0 	 1 	 166 	 996 	 0,7 	  
19:20 24.01.2019 	 1,2 	 1,3 	 0 	 1 	 186 	 996 	 0,7 	  
19:10 24.01.2019 	 1,26 	 1,37 	 1 	 2 	 222 	 996 	 0,8 	  
19:00 24.01.2019 	 1,31 	 1,45 	 1 	 2 	 231 	 996 	 0,9 	  
18:50 24.01.2019 	 1,36 	 1,5 	 1 	 1 	 243 	 996 	 0,9 	  
18:40 24.01.2019 	 1,41 	 1,56 	 1 	 2 	 225 	 997 	 1,2 	  
