 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
08:20 29.01.2019 	 1,2 	 1,46 	 5 	 7 	 279 	 995 	 -2,9 	  
08:10 29.01.2019 	 1,19 	 1,46 	 5 	 6 	 269 	 995 	 -2,9 	  
08:00 29.01.2019 	 1,17 	 1,44 	 5 	 7 	 265 	 995 	 -3,3 	  
07:50 29.01.2019 	 1,15 	 1,47 	 5 	 7 	 262 	 995 	 -3,3 	  
07:40 29.01.2019 	 1,13 	 1,43 	 5 	 7 	 261 	 995 	 -3,2 	  
07:30 29.01.2019 	 1,11 	 1,38 	 5 	 7 	 275 	 995 	 -3,7 	  
07:20 29.01.2019 	 1,08 	 1,37 	 6 	 8 	 268 	 995 	 -3,7 	  
07:10 29.01.2019 	 1,06 	 1,32 	 8 	 9 	 264 	 995 	 -3,9 	  
07:00 29.01.2019 	 1,03 	 1,3 	 7 	 10 	 253 	 994 	 -3,3 	  
06:50 29.01.2019 	 1 	 1,31 	 7 	 10 	 253 	 994 	 -3,4 	  
06:40 29.01.2019 	 0,97 	 1,3 	 7 	 10 	 255 	 994 	 -3,3 	  
06:30 29.01.2019 	 0,94 	 1,26 	 7 	 9 	 265 	 995 	 -3,6 	  
06:20 29.01.2019 	 0,91 	 1,19 	 5 	 8 	 259 	 995 	 -3 	  
06:10 29.01.2019 	 0,88 	 1,14 	 7 	 11 	 252 	 995 	 -3,4 	  
06:00 29.01.2019 	 0,85 	 1,05 	 9 	 13 	 251 	 994 	 -3,3 	  
05:50 29.01.2019 	 0,82 	 1,04 	 9 	 13 	 244 	 994 	 -3,3 	  
05:40 29.01.2019 	 0,79 	 1,02 	 9 	 12 	 250 	 994 	 -3,5 	  
05:30 29.01.2019 	 0,76 	 1,01 	 9 	 12 	 254 	 994 	 -2,9 	  
05:20 29.01.2019 	 0,73 	 0,99 	 10 	 14 	 256 	 994 	 -2,9 	  
05:10 29.01.2019 	 0,71 	 0,93 	 10 	 14 	 255 	 994 	 -3,1 	  
05:00 29.01.2019 	 0,68 	 0,9 	 9 	 13 	 246 	 994 	 -3,4 	  
04:50 29.01.2019 	 0,66 	 0,84 	 9 	 14 	 239 	 994 	 -3 	  
04:40 29.01.2019 	 0,64 	 0,79 	 9 	 14 	 238 	 994 	 -3,1 	  
