 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
07:50 13.01.2019 	 2,43 	 2,29 	 9 	 12 	 348 	 1008 	 2,2 	  
07:40 13.01.2019 	 2,34 	 2,19 	 10 	 13 	 349 	 1008 	 2,2 	  
07:30 13.01.2019 	 2,26 	 2,15 	 10 	 14 	 349 	 1007 	 2,2 	  
07:20 13.01.2019 	 2,18 	 2,04 	 10 	 14 	 348 	 1007 	 2,4 	  
07:10 13.01.2019 	 2,1 	 2,02 	 10 	 14 	 352 	 1006 	 2,4 	  
07:00 13.01.2019 	 2,02 	 1,87 	 9 	 13 	 358 	 1006 	 2,3 	  
06:50 13.01.2019 	 1,94 	 1,83 	 10 	 13 	 5 	 1006 	 2,4 	  
06:40 13.01.2019 	 1,86 	 1,75 	 9 	 12 	 4 	 1006 	 2,1 	  
06:30 13.01.2019 	 1,78 	 1,62 	 10 	 12 	 6 	 1005 	 2,2 	  
06:20 13.01.2019 	 1,71 	 1,56 	 10 	 12 	 8 	 1005 	 2,1 	  
06:10 13.01.2019 	 1,64 	 1,52 	 9 	 12 	 7 	 1005 	 2,1 	  
06:00 13.01.2019 	 1,58 	 1,47 	 9 	 11 	 9 	 1005 	 2 	  
05:50 13.01.2019 	 1,52 	 1,34 	 9 	 11 	 9 	 1004 	 1,8 	  
05:40 13.01.2019 	 1,46 	 1,39 	 9 	 11 	 10 	 1004 	 1,6 	  
05:30 13.01.2019 	 1,42 	 1,25 	 10 	 12 	 9 	 1004 	 1,8 	  
05:20 13.01.2019 	 1,38 	 1,26 	 10 	 12 	 8 	 1004 	 1,9 	  
05:10 13.01.2019 	 1,34 	 1,24 	 10 	 13 	 7 	 1004 	 1,8 	  
05:00 13.01.2019 	 1,31 	 1,15 	 10 	 13 	 7 	 1003 	 1,8 	  
04:50 13.01.2019 	 1,29 	 1,24 	 10 	 13 	 9 	 1003 	 1,9 	  
04:40 13.01.2019 	 1,28 	 1,17 	 9 	 13 	 8 	 1002 	 2,1 	  
04:30 13.01.2019 	 1,27 	 1,17 	 10 	 12 	 6 	 1002 	 2,1 	  
04:20 13.01.2019 	 1,28 	 1,18 	 9 	 12 	 7 	 1002 	 2,2 	  
04:10 13.01.2019 	 1,29 	 1,19 	 9 	 11 	 8 	 1002 	 2,1 	  
04:00 13.01.2019 	 1,31 	 1,16 	 9 	 11 	 10 	 1001 	 2,3 	  
03:50 13.01.2019 	 1,33 	 1,25 	 9 	 11 	 11 	 1001 	 1,9 	  
03:40 13.01.2019 	 1,36 	 1,2 	 9 	 11 	 10 	 1001 	 2 	  
03:30 13.01.2019 	 1,4 	 1,29 	 9 	 12 	 7 	 1001 	 2,1 	  
03:20 13.01.2019 	 1,45 	 1,27 	 9 	 12 	 11 	 1001 	 2 	  
03:10 13.01.2019 	 1,5 	 1,34 	 7 	 10 	 14 	 1000 	 1,9 	  
03:00 13.01.2019 	 1,56 	 1,42 	 8 	 10 	 12 	 1000 	 1,8 	  
02:50 13.01.2019 	 1,62 	 1,44 	 8 	 9 	 11 	 1000 	 1,9 	  
02:40 13.01.2019 	 1,69 	 1,55 	 6 	 9 	 13 	 1000 	 1,8 	  
