 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
22:00 23.01.2019 	 3,52 	 3,68 	 2 	 3 	 134 	 -5,1 	  
21:50 23.01.2019 	 3,63 	 3,77 	 2 	 3 	 131 	 -5,6 	  
21:40 23.01.2019 	 3,74 	 3,85 	 2 	 3 	 128 	 -5,5 	  
21:30 23.01.2019 	 3,84 	 3,92 	 2 	 2 	 127 	 -5,3 	  
21:20 23.01.2019 	 3,92 	 4,01 	 3 	 3 	 134 	 -5,3 	  
21:10 23.01.2019 	 3,99 	 4,04 	 3 	 3 	 134 	 -5,6 	  
21:00 23.01.2019 	 4,05 	 4,16 	 3 	 4 	 134 	 -5,6 	  
20:50 23.01.2019 	 4,1 	 4,21 	 4 	 4 	 125 	 -5,3 	  
20:40 23.01.2019 	 4,13 	 4,22 	 3 	 4 	 131 	 -5,7 	  
20:30 23.01.2019 	 4,15 	 4,28 	 3 	 4 	 127 	 -5,8 	  
20:20 23.01.2019 	 4,16 	 4,24 	 3 	 4 	 124 	 -5,7 	  
20:10 23.01.2019 	 4,15 	 4,24 	 3 	 4 	 126 	 -5,4 	  
20:00 23.01.2019 	 4,13 	 4,22 	 3 	 4 	 132 	 -5,1 	  
19:50 23.01.2019 	 4,1 	 4,23 	 3 	 4 	 134 	 -5 	  
19:40 23.01.2019 	 4,05 	 4,21 	 3 	 4 	 134 	 -5 	  
19:30 23.01.2019 	 3,99 	 4,18 	 3 	 3 	 126 	 -5,3 	  
19:20 23.01.2019 	 3,92 	 4,08 	 3 	 4 	 125 	 -5 	  
19:10 23.01.2019 	 3,83 	 4 	 3 	 4 	 121 	 -4,9 	  
19:00 23.01.2019 	 3,73 	 3,87 	 4 	 4 	 127 	 -4,9 	  
18:50 23.01.2019 	 3,62 	 3,78 	 4 	 4 	 125 	 -4,9 	  
18:40 23.01.2019 	 3,5 	 3,64 	 4 	 4 	 123 	 -5,1 	  
18:30 23.01.2019 	 3,37 	 3,53 	 3 	 4 	 136 	 -5,1 	  
18:20 23.01.2019 	 3,24 	 3,39 	 4 	 4 	 135 	 -4,9 	  
18:10 23.01.2019 	 3,09 	 3,23 	 4 	 4 	 136 	 -4,9 	  
18:00 23.01.2019 	 2,93 	 3,06 	 3 	 4 	 137 	 -4,8 	  
17:50 23.01.2019 	 2,77 	 2,85 	 3 	 3 	 126 	 -4,2 	  
17:40 23.01.2019 	 2,61 	 2,68 	 3 	 4 	 123 	 -4,1 	  
17:30 23.01.2019 	 2,44 	 2,51 	 3 	 4 	 110 	 -4 	  
17:20 23.01.2019 	 2,26 	 2,36 	 3 	 3 	 128 	 -3,9 	  
17:10 23.01.2019 	 2,09 	 2,21 	 2 	 3 	 127 	 -3,6 	  
17:00 23.01.2019 	 1,91 	 2,02 	 2 	 2 	 127 	 -3,3 	  
16:50 23.01.2019 	 1,74 	 1,83 	 2 	 3 	 129 	 -3,2 	  
16:40 23.01.2019 	 1,57 	 1,6 	 3 	 3 	 102 	 -3 	  
16:30 23.01.2019 	 1,4 	 1,4 	 3 	 3 	 89 	 -3,4 	  
16:20 23.01.2019 	 1,24 	 1,25 	 3 	 3 	 90 	 -3,1 	  
16:10 23.01.2019 	 1,08 	 1,12 	 3 	 3 	 82 	 -2,9 	  
16:00 23.01.2019 	 0,93 	 1,01 	 3 	 3 	 82 	 -2,9 	  
15:50 23.01.2019 	 0,79 	 0,9 	 3 	 3 	 78 	 -2,8 	  
15:40 23.01.2019 	 0,65 	 0,79 	 3 	 4 	 83 	 -2,8 	  
15:30 23.01.2019 	 0,53 	 0,69 	 4 	 5 	 82 	 -2,8 	  
15:20 23.01.2019 	 0,42 	 0,58 	 4 	 5 	 77 	 -2,7 	  
15:10 23.01.2019 	 0,33 	 0,48 	 3 	 4 	 79 	 -2,2 	  
15:00 23.01.2019 	 0,24 	 0,41 	 2 	 3 	 82 	 -2 	  
14:50 23.01.2019 	 0,18 	 0,39 	 2 	 3 	 115 	 -2 	  
14:40 23.01.2019 	 0,12 	 0,35 	 3 	 3 	 122 	 -2 	  
14:30 23.01.2019 	 0,09 	 0,32 	 3 	 4 	 117 	 -1,9 	  
14:20 23.01.2019 	 0,07 	 0,31 	 4 	 5 	 86 	 -2,1 	  
14:10 23.01.2019 	 0,06 	 0,3 	 4 	 5 	 89 	 -2,1 	  
14:00 23.01.2019 	 0,07 	 0,26 	 4 	 5 	 89 	 -2 	  
13:50 23.01.2019 	 0,1 	 0,29 	 5 	 6 	 82 	 -1,8 	  
13:40 23.01.2019 	 0,15 	 0,34 	 4 	 5 	 81 	 -1,9 	  
13:30 23.01.2019 	 0,21 	 0,4 	 4 	 5 	 94 	 -1,8 	  
13:20 23.01.2019 	 0,29 	 0,47 	 3 	 4 	 102 	 -1,4 	  
13:10 23.01.2019 	 0,38 	 0,56 	 3 	 4 	 105 	 -1,5 	  
13:00 23.01.2019 	 0,48 	 0,64 	 5 	 6 	 94 	 -1,8 	  
12:50 23.01.2019 	 0,6 	 0,76 	 5 	 6 	 90 	 -2 	  
12:40 23.01.2019 	 0,74 	 0,87 	 5 	 7 	 92 	 -2 	  
12:30 23.01.2019 	 0,88 	 1,03 	 5 	 7 	 93 	 -2,1 	  
12:20 23.01.2019 	 1,04 	 1,19 	 6 	 8 	 85 	 -2 	  
12:10 23.01.2019 	 1,2 	 1,37 	 6 	 8 	 85 	 -2,2 	  
12:00 23.01.2019 	 1,37 	 1,55 	 7 	 8 	 82 	 -2,4 	  
11:50 23.01.2019 	 1,55 	 1,79 	 7 	 8 	 77 	 -2,4 	  
11:40 23.01.2019 	 1,73 	 2 	 8 	 9 	 77 	 -2,5 	  
11:30 23.01.2019 	 1,92 	 2,2 	 8 	 9 	 74 	 -2,7 	  
11:20 23.01.2019 	 2,11 	 2,39 	 8 	 9 	 73 	 -2,2 	  
11:10 23.01.2019 	 2,3 	 2,53 	 8 	 9 	 72 	 -2 	  
11:00 23.01.2019 	 2,48 	 2,74 	 7 	 9 	 73 	 -2,1 	  
10:50 23.01.2019 	 2,67 	 2,91 	 7 	 9 	 77 	 -2,2 	  
10:40 23.01.2019 	 2,86 	 3,1 	 7 	 8 	 83 	 -2,4 	  
10:30 23.01.2019 	 3,03 	 3,26 	 7 	 8 	 81 	 -2,3 	  
10:20 23.01.2019 	 3,21 	 3,44 	 7 	 9 	 77 	 -2,5 	  
10:10 23.01.2019 	 3,37 	 3,56 	 7 	 9 	 80 	 -2,4 	  
10:00 23.01.2019 	 3,53 	 3,73 	 7 	 9 	 79 	 -2,4 	  
09:50 23.01.2019 	 3,69 	 3,88 	 6 	 8 	 77 	 -2,6 	  
09:40 23.01.2019 	 3,83 	 4 	 5 	 7 	 77 	 -2,4 	  
09:30 23.01.2019 	 3,96 	 4,11 	 5 	 6 	 84 	 -2,6 	  
09:20 23.01.2019 	 4,08 	 4,24 	 5 	 6 	 83 	 -2,4 	  
09:10 23.01.2019 	 4,19 	 4,29 	 6 	 7 	 80 	 -2,2 	  
09:00 23.01.2019 	 4,28 	 4,41 	 6 	 7 	 81 	 -2,3 	  
08:50 23.01.2019 	 4,37 	 4,49 	 7 	 8 	 81 	 -2,2 	  
08:40 23.01.2019 	 4,44 	 4,56 	 6 	 7 	 83 	 -2,4 	  
08:30 23.01.2019 	 4,5 	 4,64 	 4 	 6 	 107 	 -2,2 	  
08:20 23.01.2019 	 4,54 	 4,69 	 5 	 6 	 89 	 -2 	  
08:10 23.01.2019 	 4,57 	 4,72 	 6 	 7 	 81 	 -2,2 	  
08:00 23.01.2019 	 4,59 	 4,74 	 5 	 6 	 79 	 -2,5 	  
07:50 23.01.2019 	 4,59 	 4,77 	 5 	 7 	 96 	 -2 	  
07:40 23.01.2019 	 4,57 	 4,82 	 6 	 7 	 87 	 -2,1 	  
07:30 23.01.2019 	 4,54 	 4,8 	 6 	 6 	 82 	 -2,5 	  
07:20 23.01.2019 	 4,5 	 4,72 	 6 	 7 	 81 	 -2,8 	  
07:10 23.01.2019 	 4,44 	 4,66 	 6 	 7 	 81 	 -2,7 	  
07:00 23.01.2019 	 4,37 	 4,57 	 6 	 7 	 84 	 -2,6 	  
06:50 23.01.2019 	 4,29 	 4,51 	 5 	 7 	 87 	 -2,6 	  
06:40 23.01.2019 	 4,19 	 4,42 	 7 	 9 	 83 	 -2,9 	  
06:30 23.01.2019 	 4,08 	 4,32 	 7 	 8 	 73 	 -3,1 	  
06:20 23.01.2019 	 3,95 	 4,18 	 6 	 8 	 79 	 -2,7 	  
06:10 23.01.2019 	 3,82 	 4,03 	 6 	 7 	 79 	 -2,1 	  
06:00 23.01.2019 	 3,67 	 3,84 	 6 	 7 	 81 	 -2,4 	  
05:50 23.01.2019 	 3,52 	 3,67 	 6 	 7 	 73 	 -2,4 	  
05:40 23.01.2019 	 3,35 	 3,52 	 5 	 6 	 77 	 -2,1 	  
05:30 23.01.2019 	 3,18 	 3,36 	 5 	 6 	 85 	 -2 	  
05:20 23.01.2019 	 3,01 	 3,19 	 5 	 6 	 84 	 -2,6 	  
05:10 23.01.2019 	 2,82 	 2,96 	 6 	 8 	 80 	 -2,6 	  
05:00 23.01.2019 	 2,64 	 2,75 	 7 	 9 	 75 	 -2,3 	  
04:50 23.01.2019 	 2,45 	 2,53 	 7 	 9 	 74 	 -2,4 	  
04:40 23.01.2019 	 2,26 	 2,35 	 7 	 8 	 70 	 -1,8 	  
04:30 23.01.2019 	 2,07 	 2,17 	 5 	 6 	 71 	 -1,4 	  
04:20 23.01.2019 	 1,88 	 1,97 	 4 	 5 	 91 	 -1,3 	  
04:10 23.01.2019 	 1,7 	 1,81 	 5 	 6 	 98 	 -1,8 	  
04:00 23.01.2019 	 1,51 	 1,63 	 3 	 5 	 109 	 -1,4 	  
03:50 23.01.2019 	 1,34 	 1,44 	 3 	 5 	 86 	 -1,4 	  
03:40 23.01.2019 	 1,17 	 1,28 	 4 	 6 	 78 	 -2 	  
03:30 23.01.2019 	 1,01 	 1,12 	 4 	 5 	 85 	 -2 	  
03:20 23.01.2019 	 0,86 	 0,99 	 4 	 6 	 88 	 -1,8 	  
03:10 23.01.2019 	 0,72 	 0,89 	 5 	 8 	 90 	 -1,9 	  
03:00 23.01.2019 	 0,59 	 0,77 	 7 	 9 	 78 	 -2,5 	  
02:50 23.01.2019 	 0,47 	 0,7 	 6 	 7 	 78 	 -2,2 	  
02:40 23.01.2019 	 0,37 	 0,6 	 6 	 7 	 69 	 -2,2 	  
02:30 23.01.2019 	 0,28 	 0,5 	 4 	 6 	 79 	 -2,1 	  
02:20 23.01.2019 	 0,21 	 0,4 	 5 	 6 	 88 	 -2,2 	  
02:10 23.01.2019 	 0,15 	 0,38 	 6 	 8 	 87 	 -2,5 	  
02:00 23.01.2019 	 0,11 	 0,34 	 7 	 8 	 78 	 -2,6 	  
01:50 23.01.2019 	 0,09 	 0,31 	 8 	 9 	 69 	 -2,1 	  
01:40 23.01.2019 	 0,08 	 0,31 	 6 	 7 	 63 	 -2,1 	  
01:30 23.01.2019 	 0,09 	 0,33 	 6 	 7 	 73 	 -2,4 	  
01:20 23.01.2019 	 0,12 	 0,36 	 6 	 7 	 77 	 -2,5 	  
01:10 23.01.2019 	 0,16 	 0,39 	 6 	 7 	 82 	 -2,4 	  
01:00 23.01.2019 	 0,22 	 0,41 	 6 	 7 	 74 	 -2,7 	  
00:50 23.01.2019 	 0,29 	 0,46 	 6 	 7 	 69 	 -2,6 	  
00:40 23.01.2019 	 0,38 	 0,54 	 7 	 8 	 81 	 -2,8 	  
00:30 23.01.2019 	 0,49 	 0,62 	 7 	 8 	 75 	 -2,8 	  
00:20 23.01.2019 	 0,6 	 0,75 	 6 	 7 	 74 	 -2,5 	  
00:10 23.01.2019 	 0,73 	 0,91 	 6 	 7 	 78 	 -2,6 	  
00:00 23.01.2019 	 0,87 	 1,03 	 5 	 6 	 71 	 -2,2 	  
23:50 22.01.2019 	 1,02 	 1,17 	 4 	 5 	 76 	 -2,3 	  
23:40 22.01.2019 	 1,17 	 1,34 	 4 	 6 	 96 	 -2,2 	  
23:30 22.01.2019 	 1,34 	 1,5 	 5 	 8 	 88 	 -2,3 	  
23:20 22.01.2019 	 1,5 	 1,72 	 3 	 5 	 57 	 -1,4 	  
23:10 22.01.2019 	 1,67 	 1,92 	 6 	 10 	 330 	 -0,8 	  
23:00 22.01.2019 	 1,85 	 2,08 	 7 	 9 	 287 	 -0,3 	  
22:50 22.01.2019 	 2,02 	 2,26 	 2 	 3 	 83 	 -1,3 	  
22:40 22.01.2019 	 2,2 	 2,45 	 1 	 3 	 62 	 -0,6 	  
22:30 22.01.2019 	 2,37 	 2,6 	 4 	 8 	 49 	 -0,9 	  
22:20 22.01.2019 	 2,54 	 2,76 	 4 	 7 	 20 	 -1,7 	  
22:10 22.01.2019 	 2,71 	 2,93 	 3 	 6 	 145 	 -1,2 	  
22:00 22.01.2019 	 2,87 	 3,12 	 4 	 6 	 98 	 -1,6 	  
21:50 22.01.2019 	 3,03 	 3,26 	 4 	 6 	 94 	 -2 	  
21:40 22.01.2019 	 3,18 	 3,43 	 3 	 4 	 116 	 -1,8 	  
21:30 22.01.2019 	 3,32 	 3,52 	 3 	 5 	 107 	 -1,9 	  
21:20 22.01.2019 	 3,45 	 3,65 	 5 	 7 	 72 	 -2,6 	  
21:10 22.01.2019 	 3,57 	 3,76 	 5 	 6 	 67 	 -2,5 	  
21:00 22.01.2019 	 3,68 	 3,86 	 4 	 6 	 93 	 -2 	  
20:50 22.01.2019 	 3,79 	 3,98 	 5 	 6 	 102 	 -2 	  
20:40 22.01.2019 	 3,88 	 4,06 	 5 	 6 	 109 	 -2,2 	  
20:30 22.01.2019 	 3,96 	 4,1 	 4 	 5 	 126 	 -2,5 	  
20:20 22.01.2019 	 4,02 	 4,15 	 3 	 4 	 130 	 -3,1 	  
20:10 22.01.2019 	 4,08 	 4,2 	 4 	 5 	 105 	 -2,7 	  
20:00 22.01.2019 	 4,12 	 4,24 	 4 	 5 	 100 	 -2,7 	  
19:50 22.01.2019 	 4,15 	 4,29 	 4 	 6 	 95 	 -2,6 	  
19:40 22.01.2019 	 4,16 	 4,32 	 5 	 6 	 85 	 -3 	  
19:30 22.01.2019 	 4,16 	 4,31 	 5 	 6 	 101 	 -2,7 	  
19:20 22.01.2019 	 4,15 	 4,29 	 4 	 5 	 108 	 -3,6 	  
19:10 22.01.2019 	 4,12 	 4,28 	 4 	 5 	 127 	 -3,1 	  
19:00 22.01.2019 	 4,08 	 4,26 	 4 	 5 	 129 	 -3,2 	  
18:50 22.01.2019 	 4,03 	 4,19 	 4 	 5 	 126 	 -3,3 	  
18:40 22.01.2019 	 3,96 	 4,15 	 4 	 5 	 124 	 -3,5 	  
18:30 22.01.2019 	 3,89 	 4,09 	 4 	 5 	 126 	 -3,4 	  
18:20 22.01.2019 	 3,79 	 3,99 	 4 	 5 	 112 	 -2,9 	  
18:10 22.01.2019 	 3,69 	 3,88 	 3 	 4 	 103 	 -3,1 	  
18:00 22.01.2019 	 3,58 	 3,79 	 3 	 4 	 109 	 -2,9 	  
17:50 22.01.2019 	 3,45 	 3,65 	 3 	 4 	 123 	 -2,8 	  
17:40 22.01.2019 	 3,32 	 3,53 	 4 	 5 	 117 	 -3,1 	  
17:30 22.01.2019 	 3,17 	 3,39 	 4 	 5 	 124 	 -3,2 	  
17:20 22.01.2019 	 3,02 	 3,25 	 3 	 4 	 102 	 -3,3 	  
17:10 22.01.2019 	 2,87 	 3,1 	 2 	 3 	 105 	 -3,4 	  
17:00 22.01.2019 	 2,7 	 2,9 	 3 	 4 	 130 	 -3,2 	  
16:50 22.01.2019 	 2,54 	 2,72 	 3 	 4 	 111 	 -2,8 	  
16:40 22.01.2019 	 2,36 	 2,56 	 3 	 4 	 101 	 -2,9 	  
16:30 22.01.2019 	 2,19 	 2,38 	 3 	 5 	 115 	 -2,8 	  
16:20 22.01.2019 	 2,02 	 2,21 	 4 	 5 	 113 	 -3 	  
16:10 22.01.2019 	 1,84 	 2,03 	 4 	 5 	 131 	 -3,1 	  
16:00 22.01.2019 	 1,67 	 1,85 	 4 	 5 	 132 	 -3 	  
15:50 22.01.2019 	 1,5 	 1,68 	 4 	 5 	 128 	 -3 	  
15:40 22.01.2019 	 1,33 	 1,51 	 4 	 5 	 119 	 -2,7 	  
15:30 22.01.2019 	 1,17 	 1,32 	 4 	 5 	 127 	 -2,7 	  
15:20 22.01.2019 	 1,02 	 1,19 	 3 	 4 	 131 	 -2,7 	  
15:10 22.01.2019 	 0,88 	 1,04 	 4 	 5 	 127 	 -2,6 	  
15:00 22.01.2019 	 0,74 	 0,9 	 4 	 4 	 129 	 -2,7 	  
14:50 22.01.2019 	 0,62 	 0,8 	 4 	 5 	 118 	 -2,6 	  
14:40 22.01.2019 	 0,5 	 0,66 	 3 	 4 	 121 	 -2,5 	  
14:30 22.01.2019 	 0,4 	 0,56 	 3 	 4 	 131 	 -2,6 	  
14:20 22.01.2019 	 0,31 	 0,52 	 3 	 4 	 115 	 -2,3 	  
14:10 22.01.2019 	 0,24 	 0,49 	 3 	 4 	 126 	 -2,1 	  
14:00 22.01.2019 	 0,18 	 0,44 	 4 	 5 	 112 	 -2 	  
13:50 22.01.2019 	 0,13 	 0,42 	 4 	 4 	 119 	 -1,7 	  
13:40 22.01.2019 	 0,11 	 0,41 	 3 	 4 	 105 	 -1,9 	  
13:30 22.01.2019 	 0,1 	 0,42 	 4 	 4 	 90 	 -2,2 	  
13:20 22.01.2019 	 0,1 	 0,43 	 4 	 5 	 89 	 -2,7 	  
13:10 22.01.2019 	 0,12 	 0,41 	 4 	 4 	 81 	 -2,5 	  
13:00 22.01.2019 	 0,16 	 0,47 	 3 	 4 	 85 	 -2,6 	  
12:50 22.01.2019 	 0,22 	 0,52 	 3 	 5 	 98 	 -2,6 	  
12:40 22.01.2019 	 0,29 	 0,57 	 3 	 4 	 127 	 -2,4 	  
12:30 22.01.2019 	 0,37 	 0,62 	 3 	 4 	 131 	 -2,7 	  
12:20 22.01.2019 	 0,47 	 0,68 	 4 	 4 	 121 	 -2,5 	  
12:10 22.01.2019 	 0,59 	 0,81 	 4 	 5 	 102 	 -3 	  
12:00 22.01.2019 	 0,71 	 0,92 	 3 	 5 	 125 	 -2,8 	  
11:50 22.01.2019 	 0,85 	 1,04 	 3 	 4 	 124 	 -2,9 	  
11:40 22.01.2019 	 1 	 1,17 	 4 	 4 	 117 	 -3,1 	  
11:30 22.01.2019 	 1,16 	 1,33 	 4 	 5 	 125 	 -3,2 	  
11:20 22.01.2019 	 1,32 	 1,48 	 4 	 5 	 122 	 -3,6 	  
11:10 22.01.2019 	 1,49 	 1,64 	 4 	 5 	 114 	 -3,5 	  
11:00 22.01.2019 	 1,67 	 1,82 	 4 	 4 	 109 	 -3,5 	  
10:50 22.01.2019 	 1,85 	 2,01 	 4 	 5 	 99 	 -3,7 	  
10:40 22.01.2019 	 2,04 	 2,24 	 4 	 5 	 111 	 -4 	  
10:30 22.01.2019 	 2,22 	 2,42 	 4 	 5 	 112 	 -4,2 	  
10:20 22.01.2019 	 2,41 	 2,61 	 4 	 4 	 113 	 -4,3 	  
10:10 22.01.2019 	 2,59 	 2,79 	 4 	 5 	 98 	 -3,8 	  
10:00 22.01.2019 	 2,77 	 2,97 	 3 	 4 	 117 	 -4,2 	  
09:50 22.01.2019 	 2,95 	 3,18 	 4 	 5 	 132 	 -4,1 	  
09:40 22.01.2019 	 3,12 	 3,37 	 5 	 6 	 132 	 -4 	  
09:30 22.01.2019 	 3,28 	 3,57 	 3 	 5 	 139 	 -4,2 	  
09:20 22.01.2019 	 3,44 	 3,75 	 3 	 4 	 150 	 -3,7 	  
09:10 22.01.2019 	 3,59 	 3,88 	 2 	 3 	 152 	 -3,4 	  
09:00 22.01.2019 	 3,74 	 4 	 2 	 3 	 146 	 -3,3 	  
08:50 22.01.2019 	 3,87 	 4,15 	 2 	 3 	 158 	 -3,5 	  
08:40 22.01.2019 	 3,99 	 4,24 	 2 	 3 	 155 	 -3,2 	  
08:30 22.01.2019 	 4,1 	 4,34 	 2 	 4 	 152 	 -3,5 	  
08:20 22.01.2019 	 4,2 	 4,41 	 3 	 4 	 135 	 -3,5 	  
08:10 22.01.2019 	 4,29 	 4,52 	 3 	 5 	 133 	 -3,7 	  
08:00 22.01.2019 	 4,37 	 4,58 	 2 	 3 	 129 	 -2,5 	  
07:50 22.01.2019 	 4,43 	 4,66 	 2 	 3 	 7 	 -0,2 	  
07:40 22.01.2019 	 4,48 	 4,7 	 2 	 3 	 358 	 -0,1 	  
07:30 22.01.2019 	 4,52 	 4,76 	 2 	 3 	 358 	 -0,3 	  
07:20 22.01.2019 	 4,54 	 4,77 	 3 	 4 	 6 	 -0,3 	  
07:10 22.01.2019 	 4,55 	 4,72 	 3 	 4 	 2 	 -0,4 	  
07:00 22.01.2019 	 4,54 	 4,76 	 3 	 4 	 7 	 -0,3 	  
06:50 22.01.2019 	 4,52 	 4,71 	 4 	 5 	 10 	 -0,6 	  
06:40 22.01.2019 	 4,49 	 4,73 	 4 	 5 	 6 	 -0,4 	  
06:30 22.01.2019 	 4,44 	 4,69 	 4 	 5 	 359 	 -0,4 	  
06:20 22.01.2019 	 4,37 	 4,68 	 4 	 5 	 2 	 -0,5 	  
06:10 22.01.2019 	 4,3 	 4,58 	 4 	 6 	 2 	 -0,6 	  
06:00 22.01.2019 	 4,21 	 4,52 	 4 	 7 	 347 	 -0,6 	  
05:50 22.01.2019 	 4,1 	 4,42 	 6 	 8 	 320 	 0 	  
05:40 22.01.2019 	 3,99 	 4,28 	 5 	 7 	 328 	 -0,1 	  
05:30 22.01.2019 	 3,86 	 4,18 	 5 	 8 	 343 	 -0,2 	  
05:20 22.01.2019 	 3,73 	 4,03 	 5 	 7 	 343 	 -0,3 	  
05:10 22.01.2019 	 3,58 	 3,89 	 5 	 7 	 342 	 -0,2 	  
05:00 22.01.2019 	 3,42 	 3,69 	 6 	 10 	 346 	 -0,2 	  
04:50 22.01.2019 	 3,26 	 3,51 	 8 	 10 	 329 	 0,1 	  
04:40 22.01.2019 	 3,09 	 3,31 	 8 	 10 	 324 	 0,2 	  
04:30 22.01.2019 	 2,91 	 3,13 	 9 	 11 	 317 	 0,2 	  
04:20 22.01.2019 	 2,73 	 2,95 	 9 	 12 	 325 	 0,3 	  
04:10 22.01.2019 	 2,55 	 2,82 	 10 	 13 	 306 	 0,5 	  
04:00 22.01.2019 	 2,37 	 2,64 	 10 	 13 	 313 	 0,6 	  
03:50 22.01.2019 	 2,18 	 2,44 	 9 	 13 	 311 	 0,6 	  
03:40 22.01.2019 	 2 	 2,26 	 9 	 11 	 301 	 0,7 	  
03:30 22.01.2019 	 1,81 	 2,06 	 8 	 10 	 301 	 0,7 	  
03:20 22.01.2019 	 1,64 	 1,89 	 10 	 13 	 301 	 0,6 	  
03:10 22.01.2019 	 1,46 	 1,75 	 10 	 12 	 294 	 0,8 	  
03:00 22.01.2019 	 1,29 	 1,61 	 9 	 12 	 295 	 0,9 	  
02:50 22.01.2019 	 1,13 	 1,48 	 10 	 12 	 303 	 0,9 	  
02:40 22.01.2019 	 0,98 	 1,32 	 8 	 12 	 309 	 0,8 	  
02:30 22.01.2019 	 0,84 	 1,16 	 9 	 12 	 320 	 0,7 	  
02:20 22.01.2019 	 0,71 	 1,01 	 9 	 11 	 318 	 0,6 	  
02:10 22.01.2019 	 0,59 	 0,87 	 9 	 11 	 323 	 0,7 	  
02:00 22.01.2019 	 0,48 	 0,8 	 10 	 12 	 323 	 0,7 	  
01:50 22.01.2019 	 0,39 	 0,76 	 5 	 12 	 334 	 0,7 	  
01:40 22.01.2019 	 0,31 	 0,68 	 3 	 4 	 26 	 -0,1 	  
01:30 22.01.2019 	 0,25 	 0,61 	 3 	 4 	 4 	 0,1 	  
01:20 22.01.2019 	 0,2 	 0,53 	 2 	 4 	 46 	 -0,3 	  
01:10 22.01.2019 	 0,17 	 0,49 	 3 	 5 	 39 	 -0,6 	  
01:00 22.01.2019 	 0,16 	 0,52 	 3 	 4 	 6 	 -0,2 	  
00:50 22.01.2019 	 0,16 	 0,54 	 2 	 2 	 245 	 -0,3 	  
00:40 22.01.2019 	 0,18 	 0,6 	 3 	 6 	 238 	 -0,5 	  
00:30 22.01.2019 	 0,21 	 0,66 	 3 	 5 	 226 	 -0,5 	  
00:20 22.01.2019 	 0,26 	 0,71 	 3 	 5 	 181 	 -0,6 	  
00:10 22.01.2019 	 0,33 	 0,74 	 3 	 4 	 169 	 -0,7 	  
00:00 22.01.2019 	 0,41 	 0,78 	 3 	 5 	 182 	 -0,9 	  
23:50 21.01.2019 	 0,5 	 0,84 	 2 	 5 	 170 	 -0,8 	  
23:40 21.01.2019 	 0,61 	 0,92 	 2 	 3 	 183 	 -0,2 	  
23:30 21.01.2019 	 0,73 	 1,07 	 3 	 5 	 268 	 0,4 	  
23:20 21.01.2019 	 0,86 	 1,18 	 6 	 9 	 275 	 0,3 	  
23:10 21.01.2019 	 0,99 	 1,34 	 8 	 10 	 275 	 0,5 	  
23:00 21.01.2019 	 1,14 	 1,49 	 3 	 5 	 222 	 0,2 	  
22:50 21.01.2019 	 1,29 	 1,61 	 4 	 7 	 208 	 -0,3 	  
22:40 21.01.2019 	 1,45 	 1,74 	 3 	 6 	 213 	 -0,4 	  
22:30 21.01.2019 	 1,61 	 1,91 	 3 	 6 	 198 	 -1 	  
22:20 21.01.2019 	 1,78 	 2,11 	 3 	 6 	 159 	 -1,2 	  
22:10 21.01.2019 	 1,94 	 2,32 	 3 	 4 	 146 	 -1,3 	  
22:00 21.01.2019 	 2,11 	 2,47 	 2 	 4 	 163 	 -1,1 	  
21:50 21.01.2019 	 2,28 	 2,65 	 3 	 5 	 190 	 -1,2 	  
21:40 21.01.2019 	 2,44 	 2,81 	 4 	 5 	 200 	 -1,2 	  
21:30 21.01.2019 	 2,6 	 2,94 	 4 	 6 	 208 	 -1,2 	  
21:20 21.01.2019 	 2,76 	 3,1 	 4 	 7 	 227 	 -1,1 	  
21:10 21.01.2019 	 2,91 	 3,23 	 4 	 7 	 232 	 -0,9 	  
21:00 21.01.2019 	 3,05 	 3,38 	 2 	 4 	 185 	 -0,8 	  
20:50 21.01.2019 	 3,19 	 3,57 	 2 	 3 	 147 	 -1,7 	  
20:40 21.01.2019 	 3,32 	 3,69 	 2 	 3 	 170 	 -1,4 	  
20:30 21.01.2019 	 3,44 	 3,81 	 3 	 4 	 141 	 -2,2 	  
20:20 21.01.2019 	 3,56 	 3,94 	 3 	 4 	 125 	 -1,9 	  
20:10 21.01.2019 	 3,66 	 3,98 	 3 	 4 	 129 	 -1,8 	  
20:00 21.01.2019 	 3,75 	 4,06 	 3 	 4 	 125 	 -1,8 	  
19:50 21.01.2019 	 3,83 	 4,17 	 3 	 3 	 133 	 -1,9 	  
19:40 21.01.2019 	 3,9 	 4,22 	 2 	 3 	 135 	 -2 	  
19:30 21.01.2019 	 3,96 	 4,33 	 2 	 3 	 128 	 -1,7 	  
19:20 21.01.2019 	 4,01 	 4,35 	 2 	 3 	 131 	 -1,5 	  
19:10 21.01.2019 	 4,04 	 4,38 	 3 	 4 	 123 	 -1,6 	  
19:00 21.01.2019 	 4,06 	 4,36 	 3 	 3 	 101 	 -1,2 	  
18:50 21.01.2019 	 4,07 	 4,39 	 2 	 3 	 117 	 -1,8 	  
18:40 21.01.2019 	 4,07 	 4,37 	 1 	 3 	 98 	 -1,8 	  
18:30 21.01.2019 	 4,05 	 4,36 	 2 	 3 	 126 	 -2 	  
18:20 21.01.2019 	 4,02 	 4,35 	 3 	 4 	 138 	 -2 	  
