 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
08:20 31.01.2019 	 1,71 	 -3,75 	 8 	 12 	 74 	 1007 	 -2,8 	 -15 	 15 	  
08:10 31.01.2019 	 1,76 	 -3,75 	 7 	 12 	 70 	 1006 	 -2,8 	 -15 	 15 	  
08:00 31.01.2019 	 1,83 	 -3,75 	 7 	 13 	 83 	 1006 	 -2,7 	 -15 	 15 	  
07:50 31.01.2019 	 1,89 	 -3,75 	 9 	 12 	 96 	 1006 	 -3,1 	 -15 	 15 	  
07:40 31.01.2019 	 1,96 	 -3,75 	 9 	 13 	 113 	 1006 	 -3,2 	 -15 	 15 	  
07:30 31.01.2019 	 2,04 	 -3,75 	 7 	 10 	 117 	 1006 	 -3,5 	 -15 	 15 	  
07:20 31.01.2019 	 2,11 	 -3,75 	 8 	 11 	 121 	 1006 	 -3,5 	 -15 	 15 	  
07:10 31.01.2019 	 2,19 	 -3,75 	 9 	 15 	 130 	 1006 	 -3,3 	 -15 	 15 	  
07:00 31.01.2019 	 2,27 	 -3,75 	 8 	 13 	 120 	 1006 	 -3,4 	 -15 	 15 	  
06:50 31.01.2019 	 2,35 	 -3,75 	 9 	 13 	 113 	 1006 	 -3,2 	 -15 	 15 	  
06:40 31.01.2019 	 2,42 	 -3,75 	 9 	 14 	 109 	 1006 	 -3,1 	 -15 	 15 	  
06:30 31.01.2019 	 2,5 	 -3,75 	 11 	 16 	 111 	 1006 	 -3,1 	 -15 	 15 	  
06:20 31.01.2019 	 2,58 	 -3,75 	 11 	 15 	 126 	 1006 	 -2,9 	 -15 	 15 	  
06:10 31.01.2019 	 2,66 	 -3,75 	 11 	 15 	 119 	 1006 	 -3,1 	 -15 	 15 	  
06:00 31.01.2019 	 2,73 	 -3,75 	 9 	 13 	 103 	 1006 	 -2,9 	 -15 	 15 	  
05:50 31.01.2019 	 2,8 	 -3,75 	 10 	 13 	 61 	 1006 	 -2,2 	 -15 	 15 	  
05:40 31.01.2019 	 2,87 	 -3,75 	 12 	 19 	 42 	 1005 	 -3,2 	 -15 	 15 	  
05:30 31.01.2019 	 2,93 	 -3,75 	 11 	 14 	 54 	 1005 	 -3,2 	 -15 	 15 	  
05:20 31.01.2019 	 3 	 -3,75 	 11 	 16 	 57 	 1005 	 -2,5 	 -15 	 15 	  
05:10 31.01.2019 	 3,05 	 -3,75 	 11 	 15 	 52 	 1005 	 -2,4 	 -15 	 15 	  
05:00 31.01.2019 	 3,11 	 -3,75 	 10 	 14 	 50 	 1005 	 -2,5 	 -15 	 15 	  
04:50 31.01.2019 	 3,15 	 -3,75 	 9 	 14 	 52 	 1005 	 -2,6 	 -15 	 15 	  
04:40 31.01.2019 	 3,2 	 -3,75 	 10 	 15 	 55 	 1005 	 -2,8 	 -15 	 15 	  
04:30 31.01.2019 	 3,24 	 -3,75 	 11 	 16 	 46 	 1005 	 -3,2 	 -15 	 15 	  
04:20 31.01.2019 	 3,27 	 -3,75 	 11 	 16 	 40 	 1005 	 -3 	 -15 	 15 	  
04:10 31.01.2019 	 3,3 	 -3,75 	 11 	 15 	 47 	 1005 	 -3,1 	 -15 	 15 	  
04:00 31.01.2019 	 3,32 	 -3,75 	 11 	 14 	 66 	 1005 	 -2,8 	 -15 	 15 	  
03:50 31.01.2019 	 3,34 	 -3,75 	 10 	 14 	 61 	 1005 	 -2,7 	 -15 	 15 	  
03:40 31.01.2019 	 3,35 	 -3,75 	 9 	 12 	 83 	 1005 	 -2,5 	 -15 	 15 	  
03:30 31.01.2019 	 3,35 	 -3,75 	 9 	 16 	 73 	 1005 	 -3 	 -15 	 15 	  
03:20 31.01.2019 	 3,35 	 -3,75 	 11 	 16 	 65 	 1005 	 -3 	 -15 	 15 	  
03:10 31.01.2019 	 3,34 	 -3,75 	 12 	 15 	 57 	 1005 	 -2,8 	 -15 	 15 	  
03:00 31.01.2019 	 3,33 	 -3,75 	 11 	 15 	 59 	 1005 	 -2,9 	 -15 	 15 	  
02:50 31.01.2019 	 3,31 	 -3,75 	 11 	 16 	 53 	 1005 	 -3 	 -15 	 15 	  
02:40 31.01.2019 	 3,29 	 -3,75 	 12 	 15 	 54 	 1005 	 -2,9 	 -15 	 15 	  
02:30 31.01.2019 	 3,26 	 -3,75 	 12 	 14 	 56 	 1005 	 -2,8 	 -15 	 15 	  
02:20 31.01.2019 	 3,22 	 -3,75 	 11 	 14 	 59 	 1005 	 -3,3 	 -15 	 15 	  
02:10 31.01.2019 	 3,18 	 -3,75 	 10 	 14 	 69 	 1005 	 -2,9 	 -15 	 15 	  
02:00 31.01.2019 	 3,13 	 -3,75 	 9 	 13 	 76 	 1005 	 -3,3 	 -15 	 15 	  
01:50 31.01.2019 	 3,08 	 -3,75 	 10 	 13 	 84 	 1005 	 -3 	 -15 	 15 	  
01:40 31.01.2019 	 3,03 	 -3,75 	 9 	 11 	 77 	 1005 	 -3,2 	 -15 	 15 	  
