 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
11:20 26.01.2019 	 3,87 	 -3,75 	 3 	 4 	 115 	 1017 	 -3,5 	 -15 	 15,01 	  
11:10 26.01.2019 	 3,94 	 -3,75 	 3 	 4 	 126 	 1017 	 -3,9 	 -15 	 15,01 	  
11:00 26.01.2019 	 4 	 -3,75 	 4 	 5 	 116 	 1017 	 -3,5 	 -15 	 15,01 	  
10:50 26.01.2019 	 4,05 	 -3,75 	 3 	 4 	 78 	 1017 	 -5,2 	 -15 	 15,01 	  
10:40 26.01.2019 	 4,08 	 -3,75 	 2 	 2 	 112 	 1017 	 -4,2 	 -15 	 15,01 	  
10:30 26.01.2019 	 4,11 	 -3,75 	 3 	 4 	 129 	 1017 	 -3,1 	 -15 	 15,01 	  
10:20 26.01.2019 	 4,12 	 -3,75 	 2 	 3 	 122 	 1017 	 -3,2 	 -15 	 15,01 	  
10:10 26.01.2019 	 4,12 	 -3,75 	 2 	 3 	 123 	 1017 	 -3,4 	 -15 	 15,01 	  
10:00 26.01.2019 	 4,11 	 -3,75 	 3 	 4 	 106 	 1017 	 -3,5 	 -15 	 15,01 	  
09:50 26.01.2019 	 4,08 	 -3,75 	 4 	 5 	 92 	 1017 	 -3,5 	 -15 	 15,01 	  
09:40 26.01.2019 	 4,05 	 -3,75 	 3 	 4 	 99 	 1016 	 -3,8 	 -15 	 15,01 	  
09:30 26.01.2019 	 4 	 -3,75 	 1 	 3 	 87 	 1016 	 -6,3 	 -15 	 15,01 	  
09:20 26.01.2019 	 3,95 	 -3,75 	 1 	 2 	 98 	 1016 	 -4,9 	 -15 	 15,01 	  
09:10 26.01.2019 	 3,88 	 -3,74 	 0 	 1 	 28 	 1016 	 -5,2 	 -15 	 15,04 	  
09:00 26.01.2019 	 3,8 	 -3,74 	 1 	 2 	 72 	 1016 	 -5,5 	 -15 	 15,04 	  
08:50 26.01.2019 	 3,71 	 -3,74 	 1 	 2 	 114 	 1016 	 -4,6 	 -15 	 15,04 	  
08:40 26.01.2019 	 3,62 	 -3,74 	 1 	 2 	 121 	 1016 	 -4 	 -14,9 	 15,05 	  
08:30 26.01.2019 	 3,51 	 -3,75 	 1 	 2 	 80 	 1016 	 -4,1 	 -15 	 15,01 	  
08:20 26.01.2019 	 3,4 	 -3,75 	 1 	 2 	 32 	 1016 	 -5,3 	 -15 	 15,01 	  
08:10 26.01.2019 	 3,28 	 -3,75 	 1 	 2 	 49 	 1015 	 -4,7 	 -15 	 15,01 	  
08:00 26.01.2019 	 3,15 	 -3,75 	 1 	 2 	 46 	 1015 	 -5,1 	 -15 	 15,01 	  
07:50 26.01.2019 	 3,02 	 -3,75 	 1 	 2 	 12 	 1015 	 -5,2 	 -15 	 15,01 	  
07:40 26.01.2019 	 2,88 	 -3,75 	 1 	 2 	 345 	 1015 	 -5,9 	 -15 	 15,01 	  
07:30 26.01.2019 	 2,74 	 -3,75 	 1 	 2 	 18 	 1015 	 -5,8 	 -15 	 15,01 	  
07:20 26.01.2019 	 2,6 	 -3,75 	 0 	 2 	 8 	 1015 	 -6,1 	 -15 	 15,01 	  
07:10 26.01.2019 	 2,45 	 -3,75 	 0 	 1 	 347 	 1015 	 -4,9 	 -15 	 15,01 	  
07:00 26.01.2019 	 2,31 	 -3,74 	 0 	 0 	 347 	 1015 	 -5,2 	 -15 	 15,03 	  
06:50 26.01.2019 	 2,16 	 -3,75 	 0 	 1 	 356 	 1015 	 -5 	 -15 	 15,02 	  
06:40 26.01.2019 	 2,02 	 -3,74 	 1 	 2 	 11 	 1015 	 -4 	 -15 	 15,04 	  
06:30 26.01.2019 	 1,87 	 -3,75 	 2 	 2 	 74 	 1014 	 -1,9 	 -15 	 15,02 	  
06:20 26.01.2019 	 1,73 	 -3,74 	 2 	 3 	 87 	 1014 	 -2 	 -15 	 15,04 	  
06:10 26.01.2019 	 1,59 	 -3,74 	 2 	 3 	 96 	 1014 	 -2,5 	 -15 	 15,05 	  
06:00 26.01.2019 	 1,46 	 -3,74 	 3 	 3 	 93 	 1014 	 -2,1 	 -15 	 15,04 	  
05:50 26.01.2019 	 1,34 	 -3,75 	 3 	 3 	 99 	 1014 	 -1,6 	 -15 	 15,02 	  
05:40 26.01.2019 	 1,22 	 -3,74 	 3 	 4 	 94 	 1014 	 -1,6 	 -15 	 15,05 	  
05:30 26.01.2019 	 1,11 	 -3,74 	 4 	 4 	 104 	 1014 	 -2,2 	 -15 	 15,04 	  
05:20 26.01.2019 	 1,01 	 -3,74 	 3 	 4 	 102 	 1014 	 -1,9 	 -15 	 15,06 	  
05:10 26.01.2019 	 0,91 	 -3,75 	 2 	 3 	 104 	 1014 	 -2,1 	 -15 	 15,02 	  
05:00 26.01.2019 	 0,83 	 -3,75 	 2 	 3 	 99 	 1014 	 -1,6 	 -15 	 15,02 	  
04:50 26.01.2019 	 0,76 	 -3,75 	 2 	 3 	 87 	 1014 	 -1,3 	 -15 	 15,02 	  
04:40 26.01.2019 	 0,7 	 -3,75 	 3 	 3 	 97 	 1013 	 -1,2 	 -15 	 15,02 	  
04:30 26.01.2019 	 0,66 	 -3,75 	 3 	 3 	 108 	 1013 	 -1,4 	 -15 	 15,02 	  
04:20 26.01.2019 	 0,62 	 -3,75 	 2 	 3 	 103 	 1013 	 -1,2 	 -15 	 15,02 	  
04:10 26.01.2019 	 0,6 	 -3,75 	 3 	 5 	 86 	 1013 	 -1,1 	 -15 	 15,02 	  
04:00 26.01.2019 	 0,59 	 -3,74 	 5 	 6 	 60 	 1013 	 -1,5 	 -15 	 15,04 	  
03:50 26.01.2019 	 0,6 	 -3,74 	 5 	 6 	 57 	 1013 	 -1,6 	 -15 	 15,05 	  
03:40 26.01.2019 	 0,62 	 -3,74 	 5 	 6 	 57 	 1013 	 -1,8 	 -15 	 15,04 	  
03:30 26.01.2019 	 0,65 	 -3,75 	 5 	 6 	 55 	 1013 	 -1,9 	 -15 	 15,03 	  
03:20 26.01.2019 	 0,7 	 -3,73 	 5 	 5 	 59 	 1013 	 -1,8 	 -15 	 15,06 	  
03:10 26.01.2019 	 0,76 	 -3,74 	 5 	 6 	 58 	 1013 	 -1,1 	 -15 	 15,06 	  
03:00 26.01.2019 	 0,83 	 -3,75 	 5 	 5 	 55 	 1013 	 -1,7 	 -15 	 15,02 	  
02:50 26.01.2019 	 0,91 	 -3,75 	 3 	 4 	 49 	 1013 	 -1,6 	 -15 	 15,03 	  
02:40 26.01.2019 	 1 	 -3,75 	 1 	 3 	 49 	 1013 	 -2,1 	 -15 	 15,03 	  
02:30 26.01.2019 	 1,1 	 -3,75 	 1 	 2 	 70 	 1012 	 -1,9 	 -15 	 15,02 	  
02:20 26.01.2019 	 1,21 	 -3,74 	 2 	 3 	 65 	 1012 	 -1,5 	 -15 	 15,05 	  
02:10 26.01.2019 	 1,33 	 -3,74 	 2 	 3 	 68 	 1012 	 -0 	 -15 	 15,05 	  
02:00 26.01.2019 	 1,46 	 -3,75 	 3 	 3 	 82 	 1012 	 -0 	 -15 	 15,02 	  
01:50 26.01.2019 	 1,59 	 -3,74 	 3 	 4 	 100 	 1012 	 -0,1 	 -15 	 15,05 	  
01:40 26.01.2019 	 1,73 	 -3,74 	 3 	 4 	 96 	 1012 	 0,1 	 -15 	 15,06 	  
01:30 26.01.2019 	 1,87 	 -3,74 	 2 	 3 	 85 	 1012 	 -0,1 	 -15 	 15,06 	  
01:20 26.01.2019 	 2,01 	 -3,75 	 3 	 3 	 77 	 1012 	 0 	 -15 	 15,02 	  
01:10 26.01.2019 	 2,16 	 -3,75 	 3 	 4 	 78 	 1012 	 -0,1 	 -15 	 15,02 	  
01:00 26.01.2019 	 2,3 	 -3,74 	 2 	 4 	 85 	 1011 	 0,2 	 -15 	 15,05 	  
00:50 26.01.2019 	 2,45 	 -3,73 	 3 	 4 	 83 	 1011 	 -0,1 	 -14,9 	 15,07 	  
00:40 26.01.2019 	 2,59 	 -3,74 	 3 	 4 	 58 	 1011 	 -0,6 	 -15 	 15,05 	  
00:30 26.01.2019 	 2,73 	 -3,74 	 3 	 5 	 83 	 1011 	 0,4 	 -15 	 15,03 	  
00:20 26.01.2019 	 2,87 	 -3,74 	 4 	 5 	 61 	 1011 	 -0,5 	 -15 	 15,06 	  
00:10 26.01.2019 	 3 	 -3,75 	 4 	 5 	 57 	 1011 	 -0,7 	 -15 	 15,02 	  
00:00 26.01.2019 	 3,13 	 -3,74 	 5 	 6 	 53 	 1011 	 -1,2 	 -15 	 15,05 	  
23:50 25.01.2019 	 3,25 	 -3,74 	 4 	 5 	 60 	 1011 	 -0,9 	 -15 	 15,05 	  
23:40 25.01.2019 	 3,37 	 -3,74 	 4 	 5 	 70 	 1011 	 0 	 -15 	 15,05 	  
23:30 25.01.2019 	 3,47 	 -3,73 	 4 	 5 	 90 	 1011 	 0,8 	 -14,9 	 15,07 	  
23:20 25.01.2019 	 3,57 	 -3,74 	 4 	 6 	 74 	 1011 	 1,1 	 -15 	 15,05 	  
23:10 25.01.2019 	 3,66 	 -3,74 	 4 	 5 	 75 	 1011 	 0,8 	 -15 	 15,05 	  
23:00 25.01.2019 	 3,74 	 -3,74 	 5 	 7 	 68 	 1010 	 1,1 	 -15 	 15,04 	  
22:50 25.01.2019 	 3,81 	 -3,74 	 6 	 7 	 58 	 1010 	 0,1 	 -15 	 15,05 	  
22:40 25.01.2019 	 3,87 	 -3,73 	 6 	 7 	 60 	 1010 	 0,3 	 -15 	 15,06 	  
22:30 25.01.2019 	 3,91 	 -3,75 	 5 	 6 	 61 	 1010 	 0,7 	 -15 	 15,03 	  
22:20 25.01.2019 	 3,95 	 -3,74 	 6 	 7 	 62 	 1010 	 0,8 	 -15 	 15,04 	  
22:10 25.01.2019 	 3,97 	 -3,74 	 5 	 6 	 78 	 1010 	 1,7 	 -15 	 15,05 	  
22:00 25.01.2019 	 3,99 	 -3,73 	 5 	 6 	 83 	 1010 	 2 	 -14,9 	 15,06 	  
21:50 25.01.2019 	 3,99 	 -3,74 	 6 	 6 	 78 	 1010 	 1,9 	 -15 	 15,04 	  
21:40 25.01.2019 	 3,98 	 -3,74 	 5 	 7 	 77 	 1009 	 2 	 -15 	 15,03 	  
21:30 25.01.2019 	 3,95 	 -3,73 	 5 	 6 	 61 	 1009 	 1,6 	 -15 	 15,05 	  
21:20 25.01.2019 	 3,92 	 -3,74 	 5 	 6 	 52 	 1009 	 1,1 	 -15 	 15,05 	  
21:10 25.01.2019 	 3,87 	 -3,74 	 5 	 6 	 66 	 1009 	 1,8 	 -15 	 15,05 	  
21:00 25.01.2019 	 3,81 	 -3,74 	 5 	 6 	 79 	 1009 	 2,1 	 -15 	 15,05 	  
20:50 25.01.2019 	 3,75 	 -3,74 	 5 	 6 	 80 	 1009 	 2,4 	 -15 	 15,05 	  
20:40 25.01.2019 	 3,67 	 -3,74 	 5 	 7 	 78 	 1009 	 2,1 	 -15 	 15,05 	  
20:30 25.01.2019 	 3,58 	 -3,74 	 4 	 6 	 75 	 1009 	 2,2 	 -15 	 15,04 	  
20:20 25.01.2019 	 3,48 	 -3,73 	 6 	 7 	 94 	 1009 	 2,1 	 -14,9 	 15,05 	  
20:10 25.01.2019 	 3,38 	 -3,74 	 6 	 7 	 100 	 1009 	 2,2 	 -15 	 15,03 	  
20:00 25.01.2019 	 3,26 	 -3,74 	 5 	 7 	 96 	 1009 	 2,2 	 -15 	 15,03 	  
19:50 25.01.2019 	 3,14 	 -3,74 	 5 	 7 	 91 	 1009 	 2,3 	 -15 	 15,04 	  
19:40 25.01.2019 	 3,01 	 -3,74 	 6 	 7 	 91 	 1009 	 2,4 	 -15 	 15,03 	  
19:30 25.01.2019 	 2,88 	 -3,75 	 5 	 6 	 95 	 1009 	 2,4 	 -15 	 15,01 	  
19:20 25.01.2019 	 2,74 	 -3,74 	 4 	 5 	 87 	 1008 	 2,1 	 -14,9 	 15,05 	  
19:10 25.01.2019 	 2,6 	 -3,74 	 4 	 5 	 80 	 1008 	 2,3 	 -15 	 15,04 	  
19:00 25.01.2019 	 2,45 	 -3,74 	 3 	 3 	 86 	 1008 	 2 	 -14,9 	 15,04 	  
18:50 25.01.2019 	 2,3 	 -3,74 	 3 	 3 	 80 	 1008 	 2 	 -14,9 	 15,04 	  
18:40 25.01.2019 	 2,15 	 -3,74 	 3 	 3 	 93 	 1008 	 2 	 -14,9 	 15,03 	  
18:30 25.01.2019 	 2,01 	 -3,75 	 2 	 3 	 102 	 1008 	 1,9 	 -15 	 15,01 	  
18:20 25.01.2019 	 1,86 	 -3,75 	 3 	 4 	 76 	 1008 	 1,8 	 -15 	 15,02 	  
18:10 25.01.2019 	 1,71 	 -3,75 	 4 	 5 	 87 	 1008 	 2 	 -15 	 15,02 	  
18:00 25.01.2019 	 1,57 	 -3,75 	 5 	 6 	 72 	 1008 	 2,1 	 -15 	 15,02 	  
17:50 25.01.2019 	 1,43 	 -3,74 	 4 	 6 	 66 	 1008 	 2 	 -15 	 15,03 	  
17:40 25.01.2019 	 1,29 	 -3,74 	 5 	 7 	 72 	 1008 	 2,1 	 -15 	 15,02 	  
17:30 25.01.2019 	 1,16 	 -3,75 	 5 	 6 	 74 	 1007 	 2,1 	 -15 	 15,01 	  
17:20 25.01.2019 	 1,04 	 -3,75 	 4 	 5 	 79 	 1007 	 2,1 	 -15 	 15,01 	  
17:10 25.01.2019 	 0,93 	 -3,75 	 4 	 5 	 84 	 1007 	 2,1 	 -15 	 15,01 	  
17:00 25.01.2019 	 0,83 	 -3,75 	 4 	 5 	 84 	 1007 	 2 	 -15 	 15,01 	  
16:50 25.01.2019 	 0,73 	 -3,75 	 3 	 4 	 88 	 1007 	 1,4 	 -15 	 15,01 	  
16:40 25.01.2019 	 0,65 	 -3,75 	 4 	 5 	 66 	 1007 	 1,3 	 -15 	 15,01 	  
16:30 25.01.2019 	 0,58 	 -3,75 	 4 	 5 	 52 	 1007 	 0,6 	 -15 	 15,01 	  
16:20 25.01.2019 	 0,52 	 -3,75 	 4 	 5 	 53 	 1007 	 1 	 -15 	 15,01 	  
16:10 25.01.2019 	 0,48 	 -3,75 	 5 	 6 	 56 	 1007 	 1,2 	 -15 	 15,01 	  
16:00 25.01.2019 	 0,44 	 -3,75 	 5 	 6 	 60 	 1006 	 1,5 	 -15 	 15,01 	  
15:50 25.01.2019 	 0,43 	 -3,75 	 5 	 6 	 58 	 1006 	 1,4 	 -15 	 15,01 	  
15:40 25.01.2019 	 0,42 	 -3,75 	 4 	 6 	 53 	 1006 	 1,4 	 -15 	 15,01 	  
15:30 25.01.2019 	 0,43 	 -3,75 	 2 	 3 	 41 	 1006 	 0,7 	 -15 	 15,01 	  
15:20 25.01.2019 	 0,46 	 -3,75 	 1 	 2 	 32 	 1006 	 0,2 	 -15 	 15,01 	  
15:10 25.01.2019 	 0,5 	 -3,75 	 2 	 3 	 40 	 1006 	 -0,4 	 -15 	 15,01 	  
15:00 25.01.2019 	 0,55 	 -3,75 	 0 	 2 	 63 	 1006 	 -0,8 	 -15 	 15,01 	  
14:50 25.01.2019 	 0,62 	 -3,75 	 0 	 0 	 71 	 1006 	 -0,9 	 -15 	 15,01 	  
14:40 25.01.2019 	 0,7 	 -3,75 	 1 	 2 	 134 	 1006 	 -0,7 	 -15 	 15,01 	  
14:30 25.01.2019 	 0,79 	 -3,75 	 0 	 1 	 62 	 1005 	 -1,3 	 -15 	 15,01 	  
14:20 25.01.2019 	 0,89 	 -3,75 	 0 	 1 	 112 	 1005 	 -1,2 	 -15 	 15,01 	  
14:10 25.01.2019 	 1,01 	 -3,75 	 0 	 1 	 63 	 1005 	 -1,4 	 -15 	 15,01 	  
14:00 25.01.2019 	 1,13 	 -3,75 	 1 	 2 	 110 	 1005 	 -1,7 	 -15 	 15,01 	  
13:50 25.01.2019 	 1,27 	 -3,75 	 1 	 3 	 104 	 1005 	 -1,9 	 -15 	 15,01 	  
13:40 25.01.2019 	 1,41 	 -3,75 	 1 	 2 	 100 	 1005 	 -1,3 	 -15 	 15,01 	  
13:30 25.01.2019 	 1,56 	 -3,75 	 0 	 1 	 47 	 1005 	 -1 	 -15 	 15,01 	  
13:20 25.01.2019 	 1,71 	 -3,75 	 0 	 1 	 4 	 1005 	 -1,7 	 -15 	 15,01 	  
13:10 25.01.2019 	 1,87 	 -3,75 	 1 	 1 	 344 	 1005 	 -1,9 	 -15 	 15,01 	  
13:00 25.01.2019 	 2,04 	 -3,75 	 0 	 1 	 114 	 1005 	 -2,3 	 -15 	 15,01 	  
12:50 25.01.2019 	 2,2 	 -3,75 	 0 	 1 	 222 	 1005 	 -3,1 	 -15 	 15,01 	  
12:40 25.01.2019 	 2,37 	 -3,75 	 1 	 2 	 288 	 1005 	 -3,6 	 -15 	 15,01 	  
12:30 25.01.2019 	 2,53 	 -3,75 	 0 	 1 	 21 	 1005 	 -3,7 	 -15 	 15,01 	  
12:20 25.01.2019 	 2,7 	 -3,75 	 1 	 2 	 321 	 1005 	 -3,5 	 -15 	 15,01 	  
12:10 25.01.2019 	 2,86 	 -3,75 	 1 	 2 	 337 	 1004 	 -3,5 	 -15 	 15,01 	  
12:00 25.01.2019 	 3,02 	 -3,75 	 0 	 0 	 0 	 1004 	 -4,4 	 -15 	 15,01 	  
11:50 25.01.2019 	 3,18 	 -3,75 	 0 	 0 	 0 	 1004 	 -4,7 	 -15 	 15,01 	  
11:40 25.01.2019 	 3,33 	 -3,75 	 1 	 2 	 75 	 1004 	 -3,9 	 -15 	 15,01 	  
11:30 25.01.2019 	 3,47 	 -3,75 	 0 	 2 	 99 	 1004 	 -3,5 	 -15 	 15,01 	  
11:20 25.01.2019 	 3,61 	 -3,75 	 0 	 0 	 338 	 1004 	 -3,3 	 -15 	 15,01 	  
11:10 25.01.2019 	 3,74 	 -3,75 	 0 	 1 	 338 	 1004 	 -3,7 	 -15 	 15,01 	  
11:00 25.01.2019 	 3,85 	 -3,75 	 0 	 1 	 352 	 1004 	 -4,2 	 -15 	 15,01 	  
10:50 25.01.2019 	 3,96 	 -3,75 	 0 	 1 	 66 	 1004 	 -3,9 	 -15 	 15,01 	  
10:40 25.01.2019 	 4,06 	 -3,75 	 1 	 2 	 2 	 1004 	 -3,4 	 -15 	 15,01 	  
10:30 25.01.2019 	 4,15 	 -3,75 	 2 	 3 	 326 	 1004 	 -4,2 	 -15 	 15,01 	  
10:20 25.01.2019 	 4,22 	 -3,75 	 2 	 3 	 325 	 1004 	 -3,5 	 -15 	 15,01 	  
10:10 25.01.2019 	 4,28 	 -3,75 	 0 	 1 	 296 	 1003 	 -3,8 	 -15 	 15,01 	  
10:00 25.01.2019 	 4,33 	 -3,75 	 1 	 2 	 300 	 1003 	 -4,4 	 -15 	 15,01 	  
09:50 25.01.2019 	 4,37 	 -3,75 	 1 	 2 	 335 	 1003 	 -4,7 	 -15 	 15,01 	  
09:40 25.01.2019 	 4,4 	 -3,75 	 1 	 2 	 345 	 1003 	 -4,5 	 -15 	 15,01 	  
09:30 25.01.2019 	 4,41 	 -3,75 	 1 	 2 	 311 	 1003 	 -4,5 	 -15 	 15,01 	  
09:20 25.01.2019 	 4,4 	 -3,75 	 1 	 2 	 147 	 1003 	 -1,6 	 -15 	 15,01 	  
09:10 25.01.2019 	 4,39 	 -3,75 	 2 	 2 	 138 	 1003 	 -1,1 	 -15 	 15,01 	  
09:00 25.01.2019 	 4,36 	 -3,75 	 1 	 2 	 103 	 1003 	 -1 	 -15 	 15,01 	  
08:50 25.01.2019 	 4,32 	 -3,75 	 1 	 1 	 70 	 1002 	 -1,8 	 -15 	 15,01 	  
08:40 25.01.2019 	 4,26 	 -3,75 	 1 	 2 	 20 	 1002 	 -1,6 	 -15 	 15,01 	  
08:30 25.01.2019 	 4,2 	 -3,75 	 1 	 2 	 18 	 1002 	 -1,5 	 -15 	 15,01 	  
08:20 25.01.2019 	 4,12 	 -3,75 	 1 	 3 	 16 	 1002 	 -2,4 	 -15 	 15,01 	  
08:10 25.01.2019 	 4,03 	 -3,75 	 3 	 4 	 97 	 1002 	 -0,5 	 -15 	 15,01 	  
08:00 25.01.2019 	 3,93 	 -3,75 	 3 	 4 	 92 	 1002 	 -0,5 	 -15 	 15,01 	  
07:50 25.01.2019 	 3,81 	 -3,75 	 4 	 4 	 83 	 1002 	 -0,4 	 -15 	 15,01 	  
07:40 25.01.2019 	 3,69 	 -3,75 	 3 	 4 	 73 	 1002 	 -0,1 	 -15 	 15,01 	  
07:30 25.01.2019 	 3,56 	 -3,75 	 3 	 4 	 90 	 1001 	 -0 	 -15 	 15,01 	  
07:20 25.01.2019 	 3,42 	 -3,75 	 2 	 3 	 94 	 1001 	 -0 	 -15 	 15,01 	  
07:10 25.01.2019 	 3,28 	 -3,75 	 3 	 4 	 93 	 1001 	 -0,1 	 -15 	 15,01 	  
07:00 25.01.2019 	 3,12 	 -3,75 	 3 	 4 	 104 	 1001 	 -0 	 -15 	 15,01 	  
06:50 25.01.2019 	 2,97 	 -3,75 	 3 	 4 	 103 	 1001 	 -0,2 	 -15 	 15,01 	  
06:40 25.01.2019 	 2,8 	 -3,75 	 2 	 4 	 90 	 1001 	 -0,9 	 -15 	 15,01 	  
06:30 25.01.2019 	 2,64 	 -3,75 	 2 	 3 	 102 	 1001 	 -1,1 	 -15 	 15,01 	  
06:20 25.01.2019 	 2,47 	 -3,75 	 1 	 2 	 323 	 1001 	 -2,1 	 -15 	 15,01 	  
06:10 25.01.2019 	 2,3 	 -3,75 	 1 	 2 	 42 	 1001 	 -1,7 	 -15 	 15,01 	  
06:00 25.01.2019 	 2,13 	 -3,75 	 3 	 5 	 88 	 1000 	 -0 	 -15 	 15,01 	  
05:50 25.01.2019 	 1,96 	 -3,75 	 3 	 5 	 97 	 1000 	 0 	 -15 	 15,01 	  
05:40 25.01.2019 	 1,79 	 -3,75 	 4 	 5 	 103 	 1000 	 0,4 	 -15 	 15,01 	  
05:30 25.01.2019 	 1,63 	 -3,75 	 4 	 5 	 106 	 1000 	 0,1 	 -15 	 15,01 	  
05:20 25.01.2019 	 1,48 	 -3,75 	 3 	 4 	 105 	 1000 	 -0,3 	 -15 	 15,01 	  
05:10 25.01.2019 	 1,32 	 -3,75 	 1 	 2 	 137 	 1000 	 -0,6 	 -15 	 15,01 	  
05:00 25.01.2019 	 1,18 	 -3,75 	 1 	 2 	 131 	 1000 	 -1,1 	 -15 	 15,01 	  
04:50 25.01.2019 	 1,05 	 -3,75 	 1 	 2 	 109 	 1000 	 -0,8 	 -15 	 15,01 	  
04:40 25.01.2019 	 0,92 	 -3,75 	 1 	 2 	 146 	 1000 	 -1,3 	 -15 	 15,01 	  
04:30 25.01.2019 	 0,81 	 -3,75 	 2 	 3 	 142 	 1000 	 -1 	 -15 	 15,01 	  
04:20 25.01.2019 	 0,7 	 -3,75 	 3 	 5 	 82 	 999 	 -0,1 	 -15 	 15,01 	  
04:10 25.01.2019 	 0,61 	 -3,75 	 4 	 6 	 40 	 999 	 -0,5 	 -15 	 15,01 	  
04:00 25.01.2019 	 0,53 	 -3,75 	 2 	 3 	 50 	 999 	 -1,8 	 -15 	 15,01 	  
03:50 25.01.2019 	 0,47 	 -3,75 	 1 	 3 	 26 	 999 	 -1,5 	 -15 	 15,01 	  
03:40 25.01.2019 	 0,42 	 -3,75 	 2 	 3 	 336 	 999 	 -2 	 -15 	 15,01 	  
03:30 25.01.2019 	 0,38 	 -3,75 	 2 	 3 	 335 	 999 	 -3,1 	 -15 	 15,01 	  
03:20 25.01.2019 	 0,36 	 -3,75 	 3 	 4 	 324 	 999 	 -3,4 	 -15 	 15,01 	  
03:10 25.01.2019 	 0,36 	 -3,75 	 2 	 3 	 333 	 999 	 -3 	 -15 	 15,01 	  
03:00 25.01.2019 	 0,37 	 -3,75 	 2 	 3 	 322 	 998 	 -3 	 -15 	 15,01 	  
02:50 25.01.2019 	 0,39 	 -3,75 	 2 	 3 	 333 	 998 	 -2,9 	 -15 	 15,01 	  
02:40 25.01.2019 	 0,43 	 -3,75 	 2 	 4 	 342 	 998 	 -2,6 	 -15 	 15,01 	  
02:30 25.01.2019 	 0,49 	 -3,75 	 3 	 4 	 335 	 998 	 -1,6 	 -15 	 15,01 	  
02:20 25.01.2019 	 0,56 	 -3,75 	 3 	 6 	 324 	 998 	 -1,8 	 -15 	 15,01 	  
02:10 25.01.2019 	 0,64 	 -3,75 	 1 	 2 	 351 	 998 	 -0 	 -15 	 15,01 	  
02:00 25.01.2019 	 0,73 	 -3,75 	 1 	 2 	 355 	 998 	 0,2 	 -15 	 15,01 	  
01:50 25.01.2019 	 0,84 	 -3,75 	 1 	 2 	 342 	 998 	 0,2 	 -15 	 15,01 	  
01:40 25.01.2019 	 0,96 	 -3,75 	 2 	 3 	 317 	 997 	 -1,3 	 -15 	 15,01 	  
01:30 25.01.2019 	 1,09 	 -3,75 	 3 	 4 	 335 	 997 	 -1,2 	 -15 	 15,01 	  
01:20 25.01.2019 	 1,22 	 -3,75 	 2 	 3 	 341 	 997 	 -0 	 -15 	 15,01 	  
01:10 25.01.2019 	 1,37 	 -3,75 	 3 	 4 	 321 	 997 	 -0,4 	 -15 	 15,01 	  
01:00 25.01.2019 	 1,52 	 -3,75 	 3 	 6 	 311 	 997 	 -0,3 	 -15 	 15,01 	  
00:50 25.01.2019 	 1,67 	 -3,75 	 5 	 6 	 320 	 997 	 -0,5 	 -15 	 15,01 	  
00:40 25.01.2019 	 1,83 	 -3,75 	 4 	 5 	 335 	 997 	 -0,3 	 -15 	 15,01 	  
00:30 25.01.2019 	 2 	 -3,75 	 3 	 5 	 332 	 997 	 0,8 	 -15 	 15,01 	  
00:20 25.01.2019 	 2,16 	 -3,75 	 3 	 5 	 335 	 996 	 1 	 -15 	 15,01 	  
00:10 25.01.2019 	 2,32 	 -3,75 	 4 	 6 	 320 	 996 	 1,5 	 -15 	 15,01 	  
00:00 25.01.2019 	 2,49 	 -3,75 	 5 	 7 	 309 	 996 	 1,5 	 -15 	 15,01 	  
23:50 24.01.2019 	 2,65 	 -3,75 	 5 	 7 	 308 	 996 	 1,6 	 -15 	 15,01 	  
23:40 24.01.2019 	 2,81 	 -3,75 	 4 	 7 	 295 	 996 	 1,8 	 -15 	 15,01 	  
23:30 24.01.2019 	 2,96 	 -3,75 	 4 	 8 	 302 	 996 	 1,8 	 -15 	 15,01 	  
23:20 24.01.2019 	 3,11 	 -3,75 	 3 	 6 	 291 	 996 	 1,5 	 -15 	 15,01 	  
23:10 24.01.2019 	 3,25 	 -3,75 	 4 	 8 	 295 	 995 	 1,1 	 -15 	 15,01 	  
23:00 24.01.2019 	 3,38 	 -3,75 	 3 	 6 	 280 	 995 	 0,6 	 -15 	 15,01 	  
22:50 24.01.2019 	 3,51 	 -3,75 	 3 	 7 	 288 	 995 	 0,2 	 -15 	 15,01 	  
22:40 24.01.2019 	 3,62 	 -3,75 	 5 	 9 	 304 	 995 	 -0,3 	 -15 	 15,01 	  
22:30 24.01.2019 	 3,73 	 -3,75 	 5 	 8 	 303 	 995 	 -0,6 	 -15 	 15,01 	  
22:20 24.01.2019 	 3,82 	 -3,75 	 3 	 5 	 305 	 995 	 0,4 	 -15 	 15,01 	  
22:10 24.01.2019 	 3,91 	 -3,75 	 3 	 4 	 315 	 995 	 -0,7 	 -15 	 15,01 	  
22:00 24.01.2019 	 3,98 	 -3,75 	 3 	 4 	 327 	 994 	 -0 	 -15 	 15,01 	  
21:50 24.01.2019 	 4,04 	 -3,75 	 3 	 5 	 312 	 994 	 1,1 	 -15 	 15,01 	  
