 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
16:30 27.01.2019 	 1,37 	 1,43 	 11 	 16 	 156 	 998 	 -0,5 	  
16:20 27.01.2019 	 1,45 	 1,5 	 12 	 15 	 156 	 998 	 -0,5 	  
16:10 27.01.2019 	 1,54 	 1,59 	 12 	 15 	 156 	 999 	 -0,4 	  
16:00 27.01.2019 	 1,63 	 1,69 	 13 	 17 	 157 	 999 	 -0,3 	  
15:50 27.01.2019 	 1,73 	 1,76 	 15 	 18 	 161 	 999 	 -0,3 	  
15:40 27.01.2019 	 1,83 	 1,85 	 16 	 19 	 163 	 999 	 -0,3 	  
15:30 27.01.2019 	 1,94 	 1,97 	 15 	 21 	 170 	 999 	 -0,3 	  
15:20 27.01.2019 	 2,05 	 2,09 	 13 	 17 	 175 	 999 	 0,2 	  
15:10 27.01.2019 	 2,16 	 2,18 	 12 	 17 	 175 	 999 	 0,4 	  
15:00 27.01.2019 	 2,28 	 2,3 	 11 	 18 	 176 	 999 	 0,5 	  
14:50 27.01.2019 	 2,4 	 2,43 	 10 	 14 	 176 	 999 	 0,7 	  
14:40 27.01.2019 	 2,51 	 2,52 	 11 	 15 	 176 	 999 	 0,6 	  
14:30 27.01.2019 	 2,63 	 2,64 	 11 	 14 	 172 	 1000 	 0 	  
14:20 27.01.2019 	 2,74 	 2,78 	 10 	 15 	 169 	 1000 	 -0,2 	  
14:10 27.01.2019 	 2,86 	 2,86 	 11 	 17 	 169 	 1000 	 -0,4 	  
14:00 27.01.2019 	 2,97 	 2,97 	 10 	 14 	 173 	 1001 	 -0,3 	  
13:50 27.01.2019 	 3,07 	 3,07 	 9 	 14 	 183 	 1001 	 0,1 	  
13:40 27.01.2019 	 3,17 	 3,19 	 8 	 13 	 185 	 1001 	 -0,2 	  
13:30 27.01.2019 	 3,27 	 3,31 	 8 	 13 	 186 	 1001 	 0,2 	  
13:20 27.01.2019 	 3,36 	 3,4 	 6 	 13 	 179 	 1001 	 -0,1 	  
13:10 27.01.2019 	 3,45 	 3,47 	 9 	 13 	 132 	 1001 	 -0,2 	  
13:00 27.01.2019 	 3,52 	 3,56 	 11 	 14 	 159 	 1001 	 -0,4 	  
12:50 27.01.2019 	 3,59 	 3,64 	 12 	 16 	 171 	 1001 	 -0,1 	  
12:40 27.01.2019 	 3,66 	 3,71 	 12 	 16 	 169 	 1001 	 -0,4 	  
12:30 27.01.2019 	 3,71 	 3,75 	 12 	 16 	 161 	 1002 	 -0,6 	  
12:20 27.01.2019 	 3,76 	 3,79 	 13 	 17 	 157 	 1002 	 -0,4 	  
12:10 27.01.2019 	 3,8 	 3,81 	 15 	 18 	 167 	 1002 	 -0,4 	  
12:00 27.01.2019 	 3,82 	 3,83 	 14 	 18 	 175 	 1002 	 -0 	  
11:50 27.01.2019 	 3,84 	 3,81 	 12 	 17 	 176 	 1002 	 0,5 	  
11:40 27.01.2019 	 3,85 	 3,83 	 9 	 13 	 182 	 1002 	 -0,2 	  
11:30 27.01.2019 	 3,85 	 3,85 	 10 	 15 	 174 	 1002 	 0,4 	  
11:20 27.01.2019 	 3,84 	 3,82 	 10 	 13 	 169 	 1003 	 0,2 	  
11:10 27.01.2019 	 3,82 	 3,82 	 10 	 13 	 165 	 1003 	 -0,6 	  
11:00 27.01.2019 	 3,79 	 3,79 	 10 	 13 	 164 	 1003 	 -0,6 	  
10:50 27.01.2019 	 3,75 	 3,73 	 10 	 13 	 155 	 1003 	 -0,6 	  
10:40 27.01.2019 	 3,7 	 3,72 	 10 	 14 	 167 	 1003 	 -0,7 	  
10:30 27.01.2019 	 3,64 	 3,66 	 12 	 15 	 172 	 1003 	 -0,4 	  
10:20 27.01.2019 	 3,57 	 3,54 	 11 	 14 	 171 	 1003 	 -0,6 	  
10:10 27.01.2019 	 3,5 	 3,49 	 11 	 14 	 160 	 1004 	 -0,7 	  
10:00 27.01.2019 	 3,42 	 3,43 	 10 	 16 	 155 	 1004 	 -0,6 	  
09:50 27.01.2019 	 3,33 	 3,32 	 8 	 12 	 157 	 1004 	 -0,6 	  
09:40 27.01.2019 	 3,23 	 3,22 	 7 	 12 	 169 	 1004 	 -0,6 	  
09:30 27.01.2019 	 3,13 	 3,09 	 10 	 12 	 160 	 1004 	 -0,6 	  
09:20 27.01.2019 	 3,03 	 3,02 	 10 	 14 	 155 	 1004 	 -0,7 	  
09:10 27.01.2019 	 2,92 	 2,88 	 9 	 14 	 148 	 1004 	 -0,8 	  
09:00 27.01.2019 	 2,8 	 2,78 	 10 	 13 	 148 	 1005 	 -0,8 	  
08:50 27.01.2019 	 2,69 	 2,67 	 9 	 15 	 157 	 1005 	 -0,7 	  
08:40 27.01.2019 	 2,57 	 2,55 	 10 	 14 	 153 	 1005 	 -0,9 	  
08:30 27.01.2019 	 2,45 	 2,43 	 10 	 16 	 154 	 1005 	 -1,1 	  
08:20 27.01.2019 	 2,33 	 2,32 	 11 	 15 	 156 	 1005 	 -1 	  
08:10 27.01.2019 	 2,21 	 2,18 	 10 	 15 	 148 	 1005 	 -0,9 	  
08:00 27.01.2019 	 2,09 	 2,04 	 8 	 12 	 153 	 1005 	 -1 	  
07:50 27.01.2019 	 1,97 	 1,96 	 6 	 11 	 152 	 1006 	 -0,6 	  
07:40 27.01.2019 	 1,86 	 1,82 	 6 	 11 	 190 	 1006 	 -1,1 	  
07:30 27.01.2019 	 1,75 	 1,71 	 6 	 10 	 185 	 1006 	 -1,2 	  
07:20 27.01.2019 	 1,65 	 1,59 	 6 	 10 	 180 	 1006 	 -1,1 	  
