 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
15:40 26.01.2019 	 0,49 	 -6999 	 -6999 	 2 	 3 	 337 	 1019 	 -3,1 	  
15:30 26.01.2019 	 0,51 	 -6999 	 -6999 	 2 	 3 	 315 	 1019 	 -2,7 	  
15:20 26.01.2019 	 0,54 	 -6999 	 -6999 	 2 	 3 	 310 	 1019 	 -2,8 	  
15:10 26.01.2019 	 0,58 	 -6999 	 -6999 	 2 	 3 	 314 	 1019 	 -2,7 	  
15:00 26.01.2019 	 0,64 	 -6999 	 -6999 	 2 	 3 	 322 	 1019 	 -2,1 	  
14:50 26.01.2019 	 0,7 	 -6999 	 -6999 	 2 	 3 	 317 	 1019 	 -2 	  
14:40 26.01.2019 	 0,77 	 -6999 	 -6999 	 2 	 3 	 312 	 1019 	 -1,5 	  
14:30 26.01.2019 	 0,85 	 -6999 	 -6999 	 3 	 4 	 324 	 1019 	 -1,5 	  
14:20 26.01.2019 	 0,93 	 -6999 	 -6999 	 2 	 3 	 321 	 1019 	 -1,6 	  
14:10 26.01.2019 	 1,02 	 -6999 	 -6999 	 2 	 4 	 326 	 1019 	 -1,7 	  
14:00 26.01.2019 	 1,12 	 -6999 	 -6999 	 2 	 4 	 318 	 1019 	 -2 	  
13:50 26.01.2019 	 1,22 	 -6999 	 -6999 	 2 	 2 	 291 	 1019 	 -1 	  
13:40 26.01.2019 	 1,33 	 -6999 	 -6999 	 2 	 3 	 306 	 1019 	 -1,9 	  
13:30 26.01.2019 	 1,43 	 -6999 	 -6999 	 1 	 2 	 315 	 1019 	 -1,8 	  
13:20 26.01.2019 	 1,54 	 -6999 	 -6999 	 1 	 2 	 324 	 1019 	 -2 	  
13:10 26.01.2019 	 1,66 	 -6999 	 -6999 	 1 	 2 	 339 	 1019 	 -2,1 	  
13:00 26.01.2019 	 1,78 	 -6999 	 -6999 	 1 	 2 	 344 	 1019 	 -2,4 	  
12:50 26.01.2019 	 1,89 	 -6999 	 -6999 	 1 	 2 	 340 	 1019 	 -2,4 	  
12:40 26.01.2019 	 2 	 -6999 	 -6999 	 1 	 2 	 338 	 1019 	 -2,7 	  
12:30 26.01.2019 	 2,11 	 -6999 	 -6999 	 1 	 2 	 329 	 1019 	 -2,9 	  
12:20 26.01.2019 	 2,22 	 -6999 	 -6999 	 1 	 2 	 325 	 1019 	 -3,1 	  
12:10 26.01.2019 	 2,34 	 -6999 	 -6999 	 1 	 2 	 321 	 1019 	 -2,8 	  
12:00 26.01.2019 	 2,44 	 -6999 	 -6999 	 1 	 2 	 322 	 1019 	 -3,4 	  
11:50 26.01.2019 	 2,54 	 -6999 	 -6999 	 1 	 2 	 297 	 1019 	 -3,3 	  
11:40 26.01.2019 	 2,63 	 -6999 	 -6999 	 0 	 1 	 300 	 1019 	 -2,8 	  
11:30 26.01.2019 	 2,73 	 -6999 	 -6999 	 1 	 2 	 327 	 1019 	 -4,1 	  
11:20 26.01.2019 	 2,81 	 -6999 	 -6999 	 1 	 2 	 320 	 1019 	 -4,2 	  
11:10 26.01.2019 	 2,89 	 -6999 	 -6999 	 1 	 2 	 334 	 1019 	 -4,5 	  
11:00 26.01.2019 	 2,96 	 -6999 	 -6999 	 1 	 1 	 332 	 1019 	 -4,4 	  
10:50 26.01.2019 	 3,02 	 -6999 	 -6999 	 1 	 2 	 341 	 1019 	 -5 	  
10:40 26.01.2019 	 3,07 	 -6999 	 -6999 	 1 	 2 	 351 	 1019 	 -4,7 	  
10:30 26.01.2019 	 3,12 	 -6999 	 -6999 	 1 	 2 	 343 	 1019 	 -5 	  
10:20 26.01.2019 	 3,16 	 -6999 	 -6999 	 1 	 1 	 330 	 1019 	 -5,4 	  
10:10 26.01.2019 	 3,18 	 -6999 	 -6999 	 1 	 2 	 359 	 1019 	 -5,3 	  
10:00 26.01.2019 	 3,21 	 -6999 	 -6999 	 1 	 1 	 352 	 1019 	 -5,1 	  
09:50 26.01.2019 	 3,22 	 -6999 	 -6999 	 1 	 2 	 359 	 1019 	 -4,6 	  
09:40 26.01.2019 	 3,22 	 -6999 	 -6999 	 2 	 3 	 26 	 1018 	 -4,1 	  
09:30 26.01.2019 	 3,21 	 -6999 	 -6999 	 2 	 3 	 29 	 1018 	 -4,4 	  
09:20 26.01.2019 	 3,18 	 -6999 	 -6999 	 2 	 3 	 22 	 1018 	 -4,9 	  
09:10 26.01.2019 	 3,16 	 -6999 	 -6999 	 1 	 3 	 355 	 1018 	 -4,9 	  
09:00 26.01.2019 	 3,12 	 -6999 	 -6999 	 1 	 2 	 350 	 1018 	 -4,4 	  
08:50 26.01.2019 	 3,08 	 -6999 	 -6999 	 2 	 2 	 335 	 1018 	 -4,5 	  
08:40 26.01.2019 	 3,02 	 -6999 	 -6999 	 1 	 2 	 340 	 1018 	 -4,7 	  
08:30 26.01.2019 	 2,96 	 -6999 	 -6999 	 1 	 2 	 5 	 1018 	 -4,7 	  
08:20 26.01.2019 	 2,89 	 -6999 	 -6999 	 1 	 2 	 14 	 1017 	 -4,5 	  
08:10 26.01.2019 	 2,82 	 -6999 	 -6999 	 1 	 2 	 23 	 1017 	 -4,3 	  
08:00 26.01.2019 	 2,73 	 -6999 	 -6999 	 1 	 3 	 45 	 1017 	 -3,5 	  
07:50 26.01.2019 	 2,64 	 -6999 	 -6999 	 1 	 2 	 44 	 1017 	 -3,2 	  
07:40 26.01.2019 	 2,54 	 -6999 	 -6999 	 1 	 2 	 28 	 1017 	 -3,2 	  
07:30 26.01.2019 	 2,44 	 -6999 	 -6999 	 2 	 2 	 29 	 1017 	 -3,2 	  
07:20 26.01.2019 	 2,34 	 -6999 	 -6999 	 2 	 2 	 36 	 1017 	 -3,2 	  
07:10 26.01.2019 	 2,22 	 -6999 	 -6999 	 2 	 3 	 37 	 1017 	 -3 	  
07:00 26.01.2019 	 2,11 	 -6999 	 -6999 	 2 	 3 	 45 	 1017 	 -2,4 	  
06:50 26.01.2019 	 2 	 -6999 	 -6999 	 1 	 3 	 24 	 1017 	 -3,2 	  
06:40 26.01.2019 	 1,88 	 -6999 	 -6999 	 1 	 2 	 33 	 1017 	 -3,3 	  
06:30 26.01.2019 	 1,77 	 -6999 	 -6999 	 2 	 2 	 13 	 1016 	 -3,6 	  
06:20 26.01.2019 	 1,65 	 -6999 	 -6999 	 2 	 3 	 32 	 1016 	 -3,2 	  
06:10 26.01.2019 	 1,54 	 -6999 	 -6999 	 2 	 4 	 71 	 1016 	 -0,8 	  
06:00 26.01.2019 	 1,42 	 -6999 	 -6999 	 1 	 3 	 50 	 1016 	 -1,6 	  
05:50 26.01.2019 	 1,3 	 -6999 	 -6999 	 1 	 2 	 45 	 1016 	 -2,7 	  
05:40 26.01.2019 	 1,19 	 -6999 	 -6999 	 1 	 1 	 353 	 1016 	 -3,3 	  
05:30 26.01.2019 	 1,09 	 -6999 	 -6999 	 1 	 2 	 353 	 1015 	 -3,1 	  
05:20 26.01.2019 	 0,99 	 -6999 	 -6999 	 1 	 1 	 344 	 1015 	 -2,8 	  
05:10 26.01.2019 	 0,9 	 -6999 	 -6999 	 1 	 1 	 7 	 1015 	 -2 	  
05:00 26.01.2019 	 0,81 	 -6999 	 -6999 	 1 	 2 	 333 	 1015 	 -2,2 	  
04:50 26.01.2019 	 0,73 	 -6999 	 -6999 	 1 	 1 	 329 	 1015 	 -1,9 	  
04:40 26.01.2019 	 0,65 	 -6999 	 -6999 	 0 	 1 	 306 	 1015 	 -2 	  
04:30 26.01.2019 	 0,58 	 -6999 	 -6999 	 1 	 1 	 311 	 1015 	 -1,8 	  
04:20 26.01.2019 	 0,53 	 -6999 	 -6999 	 1 	 1 	 329 	 1015 	 -1,3 	  
04:10 26.01.2019 	 0,48 	 -6999 	 -6999 	 1 	 2 	 302 	 1015 	 -1,5 	  
04:00 26.01.2019 	 0,45 	 -6999 	 -6999 	 1 	 2 	 317 	 1015 	 -0,9 	  
03:50 26.01.2019 	 0,42 	 -6999 	 -6999 	 1 	 2 	 12 	 1015 	 -0 	  
03:40 26.01.2019 	 0,4 	 -6999 	 -6999 	 1 	 2 	 341 	 1015 	 -0,1 	  
03:30 26.01.2019 	 0,39 	 -6999 	 -6999 	 2 	 3 	 34 	 1015 	 0 	  
03:20 26.01.2019 	 0,4 	 -6999 	 -6999 	 3 	 6 	 73 	 1015 	 0,6 	  
03:10 26.01.2019 	 0,42 	 -6999 	 -6999 	 4 	 6 	 79 	 1014 	 0,6 	  
03:00 26.01.2019 	 0,44 	 -6999 	 -6999 	 4 	 5 	 81 	 1014 	 0,6 	  
02:50 26.01.2019 	 0,48 	 -6999 	 -6999 	 4 	 6 	 79 	 1014 	 0,6 	  
02:40 26.01.2019 	 0,53 	 -6999 	 -6999 	 4 	 5 	 79 	 1014 	 0,6 	  
02:30 26.01.2019 	 0,58 	 -6999 	 -6999 	 4 	 6 	 77 	 1014 	 0,6 	  
02:20 26.01.2019 	 0,65 	 -6999 	 -6999 	 5 	 6 	 83 	 1014 	 0,7 	  
02:10 26.01.2019 	 0,72 	 -6999 	 -6999 	 4 	 6 	 84 	 1014 	 0,9 	  
02:00 26.01.2019 	 0,8 	 -6999 	 -6999 	 4 	 6 	 86 	 1014 	 0,7 	  
01:50 26.01.2019 	 0,89 	 -6999 	 -6999 	 3 	 5 	 86 	 1014 	 0,8 	  
01:40 26.01.2019 	 0,98 	 -6999 	 -6999 	 2 	 4 	 59 	 1014 	 0,6 	  
01:30 26.01.2019 	 1,09 	 -6999 	 -6999 	 3 	 4 	 64 	 1013 	 0,5 	  
01:20 26.01.2019 	 1,19 	 -6999 	 -6999 	 3 	 5 	 63 	 1013 	 0,7 	  
01:10 26.01.2019 	 1,3 	 -6999 	 -6999 	 3 	 4 	 71 	 1013 	 0,7 	  
01:00 26.01.2019 	 1,42 	 -6999 	 -6999 	 3 	 4 	 63 	 1013 	 0,6 	  
00:50 26.01.2019 	 1,53 	 -6999 	 -6999 	 4 	 6 	 69 	 1013 	 0,8 	  
00:40 26.01.2019 	 1,65 	 -6999 	 -6999 	 6 	 7 	 78 	 1013 	 1 	  
00:30 26.01.2019 	 1,76 	 -6999 	 -6999 	 5 	 7 	 92 	 1013 	 0,9 	  
00:20 26.01.2019 	 1,88 	 -6999 	 -6999 	 2 	 5 	 77 	 1013 	 1 	  
00:10 26.01.2019 	 1,99 	 -6999 	 -6999 	 1 	 2 	 89 	 1013 	 0,8 	  
00:00 26.01.2019 	 2,1 	 -6999 	 -6999 	 1 	 2 	 341 	 1013 	 0,5 	  
23:50 25.01.2019 	 2,22 	 -6999 	 -6999 	 1 	 3 	 346 	 1013 	 0,4 	  
23:40 25.01.2019 	 2,32 	 -6999 	 -6999 	 4 	 5 	 67 	 1012 	 1,1 	  
23:30 25.01.2019 	 2,42 	 -6999 	 -6999 	 5 	 6 	 80 	 1012 	 1,2 	  
23:20 25.01.2019 	 2,52 	 -6999 	 -6999 	 6 	 8 	 88 	 1012 	 1 	  
23:10 25.01.2019 	 2,62 	 -6999 	 -6999 	 6 	 8 	 84 	 1012 	 1,3 	  
23:00 25.01.2019 	 2,7 	 -6999 	 -6999 	 5 	 7 	 74 	 1012 	 1,6 	  
22:50 25.01.2019 	 2,78 	 -6999 	 -6999 	 4 	 6 	 70 	 1012 	 1,5 	  
22:40 25.01.2019 	 2,85 	 -6999 	 -6999 	 5 	 7 	 77 	 1012 	 1,5 	  
22:30 25.01.2019 	 2,91 	 -6999 	 -6999 	 5 	 7 	 69 	 1012 	 1,6 	  
22:20 25.01.2019 	 2,97 	 -6999 	 -6999 	 5 	 6 	 65 	 1012 	 1,5 	  
22:10 25.01.2019 	 3,02 	 -6999 	 -6999 	 5 	 6 	 65 	 1011 	 1,6 	  
22:00 25.01.2019 	 3,05 	 -6999 	 -6999 	 5 	 7 	 68 	 1011 	 1,9 	  
21:50 25.01.2019 	 3,08 	 -6999 	 -6999 	 5 	 7 	 74 	 1011 	 1,6 	  
21:40 25.01.2019 	 3,1 	 -6999 	 -6999 	 5 	 7 	 70 	 1011 	 1,6 	  
21:30 25.01.2019 	 3,11 	 -6999 	 -6999 	 6 	 7 	 65 	 1011 	 1,6 	  
21:20 25.01.2019 	 3,11 	 -6999 	 -6999 	 6 	 8 	 70 	 1011 	 1,5 	  
21:10 25.01.2019 	 3,1 	 -6999 	 -6999 	 6 	 8 	 74 	 1011 	 1,7 	  
21:00 25.01.2019 	 3,08 	 -6999 	 -6999 	 6 	 7 	 63 	 1011 	 1,7 	  
20:50 25.01.2019 	 3,06 	 -6999 	 -6999 	 6 	 8 	 64 	 1011 	 1,6 	  
20:40 25.01.2019 	 3,02 	 -6999 	 -6999 	 6 	 8 	 67 	 1011 	 1,8 	  
20:30 25.01.2019 	 2,97 	 -6999 	 -6999 	 6 	 7 	 63 	 1011 	 1,8 	  
20:20 25.01.2019 	 2,92 	 -6999 	 -6999 	 6 	 9 	 64 	 1011 	 1,6 	  
20:10 25.01.2019 	 2,86 	 -6999 	 -6999 	 6 	 8 	 68 	 1010 	 1,4 	  
20:00 25.01.2019 	 2,78 	 -6999 	 -6999 	 6 	 8 	 73 	 1010 	 1,5 	  
19:50 25.01.2019 	 2,7 	 -6999 	 -6999 	 5 	 7 	 67 	 1010 	 1,7 	  
19:40 25.01.2019 	 2,62 	 -6999 	 -6999 	 4 	 6 	 41 	 1010 	 1,1 	  
19:30 25.01.2019 	 2,53 	 -6999 	 -6999 	 4 	 6 	 36 	 1010 	 0,8 	  
19:20 25.01.2019 	 2,43 	 -6999 	 -6999 	 4 	 7 	 39 	 1010 	 0,8 	  
19:10 25.01.2019 	 2,33 	 -6999 	 -6999 	 6 	 8 	 59 	 1010 	 1,8 	  
19:00 25.01.2019 	 2,22 	 -6999 	 -6999 	 6 	 9 	 68 	 1010 	 1,9 	  
18:50 25.01.2019 	 2,11 	 -6999 	 -6999 	 5 	 7 	 66 	 1010 	 1,8 	  
18:40 25.01.2019 	 2 	 -6999 	 -6999 	 5 	 7 	 65 	 1010 	 1,7 	  
18:30 25.01.2019 	 1,88 	 -6999 	 -6999 	 5 	 7 	 63 	 1010 	 1,8 	  
18:20 25.01.2019 	 1,76 	 -6999 	 -6999 	 5 	 8 	 51 	 1009 	 1,1 	  
18:10 25.01.2019 	 1,64 	 -6999 	 -6999 	 6 	 8 	 61 	 1009 	 1,8 	  
18:00 25.01.2019 	 1,53 	 -6999 	 -6999 	 7 	 10 	 60 	 1009 	 1,7 	  
17:50 25.01.2019 	 1,41 	 -6999 	 -6999 	 9 	 12 	 67 	 1009 	 1,9 	  
17:40 25.01.2019 	 1,29 	 -6999 	 -6999 	 7 	 12 	 65 	 1009 	 1,9 	  
17:30 25.01.2019 	 1,18 	 -6999 	 -6999 	 6 	 10 	 63 	 1009 	 1,9 	  
17:20 25.01.2019 	 1,06 	 -6999 	 -6999 	 6 	 9 	 68 	 1008 	 2 	  
17:10 25.01.2019 	 0,95 	 -6999 	 -6999 	 5 	 7 	 63 	 1008 	 1,9 	  
17:00 25.01.2019 	 0,85 	 -6999 	 -6999 	 6 	 9 	 65 	 1008 	 2,1 	  
16:50 25.01.2019 	 0,75 	 -6999 	 -6999 	 7 	 9 	 71 	 1008 	 2,2 	  
16:40 25.01.2019 	 0,66 	 -6999 	 -6999 	 8 	 10 	 72 	 1008 	 2,2 	  
16:30 25.01.2019 	 0,58 	 -6999 	 -6999 	 8 	 11 	 71 	 1008 	 2,4 	  
16:20 25.01.2019 	 0,5 	 -6999 	 -6999 	 8 	 10 	 59 	 1007 	 2,1 	  
16:10 25.01.2019 	 0,44 	 -6999 	 -6999 	 8 	 11 	 59 	 1007 	 1,9 	  
16:00 25.01.2019 	 0,38 	 -6999 	 -6999 	 7 	 10 	 57 	 1007 	 1,9 	  
15:50 25.01.2019 	 0,34 	 -6999 	 -6999 	 5 	 7 	 55 	 1007 	 1,3 	  
15:40 25.01.2019 	 0,3 	 -6999 	 -6999 	 5 	 7 	 51 	 1007 	 1 	  
15:30 25.01.2019 	 0,27 	 -6999 	 -6999 	 3 	 5 	 13 	 1007 	 0,5 	  
15:20 25.01.2019 	 0,26 	 -6999 	 -6999 	 2 	 4 	 333 	 1007 	 -1,1 	  
15:10 25.01.2019 	 0,26 	 -6999 	 -6999 	 2 	 4 	 340 	 1007 	 -1,2 	  
15:00 25.01.2019 	 0,26 	 -6999 	 -6999 	 3 	 5 	 354 	 1007 	 -1,3 	  
14:50 25.01.2019 	 0,29 	 -6999 	 -6999 	 3 	 5 	 2 	 1007 	 -1,7 	  
14:40 25.01.2019 	 0,32 	 -6999 	 -6999 	 3 	 5 	 9 	 1007 	 -1,8 	  
14:30 25.01.2019 	 0,36 	 -6999 	 -6999 	 4 	 5 	 6 	 1007 	 -1 	  
14:20 25.01.2019 	 0,42 	 -6999 	 -6999 	 4 	 5 	 14 	 1007 	 -1 	  
14:10 25.01.2019 	 0,48 	 -6999 	 -6999 	 4 	 6 	 5 	 1007 	 -1,1 	  
14:00 25.01.2019 	 0,55 	 -6999 	 -6999 	 3 	 5 	 13 	 1007 	 -1,1 	  
13:50 25.01.2019 	 0,63 	 -6999 	 -6999 	 4 	 6 	 14 	 1007 	 -1,1 	  
13:40 25.01.2019 	 0,73 	 -6999 	 -6999 	 5 	 6 	 13 	 1007 	 -1 	  
13:30 25.01.2019 	 0,82 	 -6999 	 -6999 	 5 	 7 	 14 	 1007 	 -1,7 	  
13:20 25.01.2019 	 0,94 	 -6999 	 -6999 	 5 	 7 	 11 	 1007 	 -1,6 	  
13:10 25.01.2019 	 1,05 	 -6999 	 -6999 	 5 	 7 	 8 	 1007 	 -1 	  
13:00 25.01.2019 	 1,17 	 -6999 	 -6999 	 4 	 5 	 1 	 1006 	 -1,4 	  
12:50 25.01.2019 	 1,29 	 -6999 	 -6999 	 4 	 5 	 353 	 1007 	 -1,4 	  
12:40 25.01.2019 	 1,42 	 -6999 	 -6999 	 3 	 5 	 358 	 1006 	 -1,6 	  
12:30 25.01.2019 	 1,55 	 -6999 	 -6999 	 4 	 5 	 6 	 1006 	 -1,5 	  
12:20 25.01.2019 	 1,68 	 -6999 	 -6999 	 4 	 5 	 8 	 1006 	 -2,3 	  
12:10 25.01.2019 	 1,82 	 -6999 	 -6999 	 4 	 6 	 3 	 1006 	 -1,7 	  
12:00 25.01.2019 	 1,94 	 -6999 	 -6999 	 3 	 5 	 3 	 1006 	 -1,7 	  
11:50 25.01.2019 	 2,08 	 -6999 	 -6999 	 3 	 6 	 7 	 1006 	 -2,1 	  
11:40 25.01.2019 	 2,21 	 -6999 	 -6999 	 3 	 4 	 358 	 1006 	 -1,8 	  
11:30 25.01.2019 	 2,34 	 -6999 	 -6999 	 3 	 4 	 2 	 1006 	 -2,2 	  
11:20 25.01.2019 	 2,46 	 -6999 	 -6999 	 2 	 4 	 352 	 1006 	 -2,6 	  
11:10 25.01.2019 	 2,58 	 -6999 	 -6999 	 2 	 3 	 350 	 1006 	 -2,9 	  
11:00 25.01.2019 	 2,7 	 -6999 	 -6999 	 2 	 3 	 336 	 1005 	 -3 	  
10:50 25.01.2019 	 2,81 	 -6999 	 -6999 	 2 	 3 	 347 	 1005 	 -2,3 	  
10:40 25.01.2019 	 2,91 	 -6999 	 -6999 	 1 	 2 	 5 	 1005 	 -2,1 	  
10:30 25.01.2019 	 3 	 -6999 	 -6999 	 1 	 3 	 356 	 1005 	 -2,5 	  
10:20 25.01.2019 	 3,09 	 -6999 	 -6999 	 1 	 1 	 36 	 1005 	 -1,5 	  
10:10 25.01.2019 	 3,17 	 -6999 	 -6999 	 2 	 3 	 60 	 1005 	 -0,8 	  
10:00 25.01.2019 	 3,24 	 -6999 	 -6999 	 3 	 3 	 86 	 1005 	 -0,7 	  
09:50 25.01.2019 	 3,3 	 -6999 	 -6999 	 3 	 4 	 72 	 1005 	 -0,6 	  
09:40 25.01.2019 	 3,34 	 -6999 	 -6999 	 3 	 4 	 68 	 1005 	 -0,9 	  
09:30 25.01.2019 	 3,38 	 -6999 	 -6999 	 3 	 4 	 70 	 1005 	 -0,5 	  
09:20 25.01.2019 	 3,42 	 -6999 	 -6999 	 3 	 4 	 68 	 1005 	 -1 	  
09:10 25.01.2019 	 3,44 	 -6999 	 -6999 	 2 	 3 	 72 	 1005 	 -1,7 	  
09:00 25.01.2019 	 3,45 	 -6999 	 -6999 	 1 	 1 	 40 	 1005 	 -2,7 	  
08:50 25.01.2019 	 3,44 	 -6999 	 -6999 	 1 	 1 	 28 	 1004 	 -2,7 	  
08:40 25.01.2019 	 3,43 	 -6999 	 -6999 	 1 	 1 	 24 	 1004 	 -2,2 	  
08:30 25.01.2019 	 3,41 	 -6999 	 -6999 	 2 	 2 	 18 	 1004 	 -2,3 	  
08:20 25.01.2019 	 3,38 	 -6999 	 -6999 	 2 	 2 	 10 	 1004 	 -3,2 	  
08:10 25.01.2019 	 3,33 	 -6999 	 -6999 	 2 	 2 	 24 	 1004 	 -3,1 	  
08:00 25.01.2019 	 3,28 	 -6999 	 -6999 	 2 	 3 	 360 	 1004 	 -2,6 	  
07:50 25.01.2019 	 3,22 	 -6999 	 -6999 	 2 	 3 	 357 	 1004 	 -2,1 	  
07:40 25.01.2019 	 3,14 	 -6999 	 -6999 	 2 	 3 	 6 	 1003 	 -2,2 	  
07:30 25.01.2019 	 3,06 	 -6999 	 -6999 	 2 	 3 	 15 	 1003 	 -2,7 	  
07:20 25.01.2019 	 2,97 	 -6999 	 -6999 	 2 	 3 	 5 	 1003 	 -1,9 	  
07:10 25.01.2019 	 2,87 	 -6999 	 -6999 	 3 	 3 	 357 	 1003 	 -1,8 	  
07:00 25.01.2019 	 2,77 	 -6999 	 -6999 	 3 	 3 	 356 	 1003 	 -1,8 	  
06:50 25.01.2019 	 2,66 	 -6999 	 -6999 	 2 	 3 	 350 	 1003 	 -2,1 	  
06:40 25.01.2019 	 2,54 	 -6999 	 -6999 	 1 	 3 	 356 	 1003 	 -2,9 	  
06:30 25.01.2019 	 2,42 	 -6999 	 -6999 	 1 	 2 	 344 	 1002 	 -2,3 	  
06:20 25.01.2019 	 2,3 	 -6999 	 -6999 	 1 	 1 	 357 	 1002 	 -2 	  
06:10 25.01.2019 	 2,16 	 -6999 	 -6999 	 2 	 3 	 356 	 1002 	 -1,8 	  
06:00 25.01.2019 	 2,03 	 -6999 	 -6999 	 2 	 3 	 3 	 1002 	 -1,9 	  
05:50 25.01.2019 	 1,9 	 -6999 	 -6999 	 2 	 3 	 346 	 1002 	 -1,7 	  
05:40 25.01.2019 	 1,76 	 -6999 	 -6999 	 1 	 2 	 331 	 1002 	 -1,9 	  
05:30 25.01.2019 	 1,62 	 -6999 	 -6999 	 1 	 2 	 330 	 1002 	 -2 	  
05:20 25.01.2019 	 1,49 	 -6999 	 -6999 	 1 	 1 	 334 	 1002 	 -1,9 	  
05:10 25.01.2019 	 1,35 	 -6999 	 -6999 	 1 	 1 	 339 	 1002 	 -1,9 	  
05:00 25.01.2019 	 1,22 	 -6999 	 -6999 	 0 	 1 	 324 	 1002 	 -1,8 	  
04:50 25.01.2019 	 1,1 	 -6999 	 -6999 	 1 	 1 	 354 	 1002 	 -1,8 	  
04:40 25.01.2019 	 0,98 	 -6999 	 -6999 	 0 	 1 	 286 	 1001 	 -1,3 	  
04:30 25.01.2019 	 0,86 	 -6999 	 -6999 	 1 	 1 	 298 	 1001 	 -1,1 	  
04:20 25.01.2019 	 0,76 	 -6999 	 -6999 	 1 	 1 	 333 	 1002 	 -0,9 	  
04:10 25.01.2019 	 0,66 	 -6999 	 -6999 	 0 	 1 	 318 	 1001 	 -0,5 	  
04:00 25.01.2019 	 0,57 	 -6999 	 -6999 	 1 	 1 	 331 	 1001 	 -0,5 	  
03:50 25.01.2019 	 0,48 	 -6999 	 -6999 	 1 	 1 	 336 	 1001 	 -0,2 	  
03:40 25.01.2019 	 0,41 	 -6999 	 -6999 	 1 	 1 	 317 	 1001 	 -0,2 	  
03:30 25.01.2019 	 0,34 	 -6999 	 -6999 	 1 	 1 	 338 	 1001 	 0,1 	  
03:20 25.01.2019 	 0,3 	 -6999 	 -6999 	 1 	 1 	 350 	 1001 	 0,3 	  
03:10 25.01.2019 	 0,26 	 -6999 	 -6999 	 1 	 2 	 342 	 1001 	 0,4 	  
03:00 25.01.2019 	 0,22 	 -6999 	 -6999 	 2 	 3 	 349 	 1001 	 0,6 	  
02:50 25.01.2019 	 0,21 	 -6999 	 -6999 	 2 	 3 	 355 	 1001 	 0,5 	  
02:40 25.01.2019 	 0,21 	 -6999 	 -6999 	 2 	 4 	 348 	 1001 	 0,9 	  
02:30 25.01.2019 	 0,22 	 -6999 	 -6999 	 2 	 4 	 343 	 1001 	 0,6 	  
02:20 25.01.2019 	 0,23 	 -6999 	 -6999 	 2 	 3 	 334 	 1001 	 0,6 	  
02:10 25.01.2019 	 0,26 	 -6999 	 -6999 	 2 	 4 	 326 	 1000 	 0,6 	  
02:00 25.01.2019 	 0,31 	 -6999 	 -6999 	 2 	 4 	 321 	 1000 	 0,8 	  
01:50 25.01.2019 	 0,37 	 -6999 	 -6999 	 3 	 4 	 323 	 1000 	 0,8 	  
01:40 25.01.2019 	 0,43 	 -6999 	 -6999 	 3 	 4 	 325 	 1000 	 0,7 	  
01:30 25.01.2019 	 0,5 	 -6999 	 -6999 	 2 	 4 	 323 	 1000 	 0,7 	  
01:20 25.01.2019 	 0,59 	 -6999 	 -6999 	 3 	 4 	 317 	 1000 	 0,7 	  
01:10 25.01.2019 	 0,69 	 -6999 	 -6999 	 2 	 4 	 310 	 1000 	 0,6 	  
01:00 25.01.2019 	 0,79 	 -6999 	 -6999 	 2 	 3 	 317 	 1000 	 0,6 	  
00:50 25.01.2019 	 0,9 	 -6999 	 -6999 	 2 	 3 	 315 	 1000 	 0,6 	  
00:40 25.01.2019 	 1,02 	 -6999 	 -6999 	 2 	 3 	 321 	 999 	 0,6 	  
00:30 25.01.2019 	 1,14 	 -6999 	 -6999 	 3 	 4 	 318 	 999 	 0,6 	  
00:20 25.01.2019 	 1,26 	 -6999 	 -6999 	 3 	 5 	 321 	 999 	 0,8 	  
00:10 25.01.2019 	 1,38 	 -6999 	 -6999 	 3 	 5 	 326 	 999 	 0,9 	  
00:00 25.01.2019 	 1,52 	 -6999 	 -6999 	 4 	 6 	 327 	 999 	 1 	  
23:50 24.01.2019 	 1,65 	 -6999 	 -6999 	 4 	 7 	 331 	 999 	 1,3 	  
23:40 24.01.2019 	 1,78 	 -6999 	 -6999 	 3 	 5 	 323 	 999 	 1,2 	  
23:30 24.01.2019 	 1,91 	 -6999 	 -6999 	 4 	 6 	 323 	 999 	 1,2 	  
23:20 24.01.2019 	 2,04 	 -6999 	 -6999 	 4 	 7 	 332 	 998 	 1,3 	  
23:10 24.01.2019 	 2,17 	 -6999 	 -6999 	 4 	 6 	 336 	 998 	 1,5 	  
23:00 24.01.2019 	 2,29 	 -6999 	 -6999 	 4 	 6 	 338 	 998 	 1,2 	  
22:50 24.01.2019 	 2,41 	 -6999 	 -6999 	 5 	 8 	 337 	 998 	 1 	  
22:40 24.01.2019 	 2,52 	 -6999 	 -6999 	 5 	 7 	 331 	 998 	 1,2 	  
22:30 24.01.2019 	 2,62 	 -6999 	 -6999 	 4 	 8 	 328 	 997 	 1,1 	  
22:20 24.01.2019 	 2,73 	 -6999 	 -6999 	 4 	 6 	 327 	 997 	 1,3 	  
22:10 24.01.2019 	 2,82 	 -6999 	 -6999 	 3 	 5 	 324 	 997 	 1 	  
22:00 24.01.2019 	 2,9 	 -6999 	 -6999 	 2 	 4 	 314 	 997 	 0,8 	  
