 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
08:50 24.01.2019 	 4,5 	 9 	 11 	 71 	  
08:40 24.01.2019 	 4,5 	 9 	 11 	 76 	  
08:30 24.01.2019 	 4,5 	 8 	 10 	 76 	  
08:20 24.01.2019 	 4,48 	 8 	 10 	 76 	  
08:10 24.01.2019 	 4,44 	 8 	 9 	 77 	  
08:00 24.01.2019 	 4,39 	 8 	 9 	 75 	  
07:50 24.01.2019 	 4,33 	 8 	 9 	 73 	  
07:40 24.01.2019 	 4,25 	 8 	 9 	 72 	  
07:30 24.01.2019 	 4,16 	 8 	 9 	 75 	  
07:20 24.01.2019 	 4,06 	 4 	 6 	 99 	  
07:10 24.01.2019 	 3,94 	 4 	 5 	 112 	  
07:00 24.01.2019 	 3,82 	 5 	 8 	 94 	  
06:50 24.01.2019 	 3,68 	 6 	 8 	 82 	  
06:40 24.01.2019 	 3,54 	 7 	 8 	 79 	  
06:30 24.01.2019 	 3,38 	 7 	 9 	 78 	  
06:20 24.01.2019 	 3,22 	 8 	 9 	 74 	  
06:10 24.01.2019 	 3,05 	 8 	 9 	 79 	  
06:00 24.01.2019 	 2,87 	 7 	 9 	 79 	  
05:50 24.01.2019 	 2,7 	 6 	 8 	 89 	  
05:40 24.01.2019 	 2,51 	 6 	 7 	 82 	  
05:30 24.01.2019 	 2,33 	 7 	 8 	 70 	  
05:20 24.01.2019 	 2,14 	 7 	 8 	 72 	  
05:10 24.01.2019 	 1,96 	 7 	 9 	 75 	  
05:00 24.01.2019 	 1,78 	 8 	 9 	 71 	  
04:50 24.01.2019 	 1,6 	 8 	 10 	 72 	  
04:40 24.01.2019 	 1,43 	 8 	 10 	 71 	  
04:30 24.01.2019 	 1,26 	 9 	 10 	 75 	  
04:20 24.01.2019 	 1,1 	 8 	 10 	 77 	  
04:10 24.01.2019 	 0,94 	 8 	 10 	 72 	  
04:00 24.01.2019 	 0,8 	 8 	 9 	 72 	  
03:50 24.01.2019 	 0,67 	 6 	 8 	 76 	  
03:40 24.01.2019 	 0,55 	 5 	 7 	 82 	  
03:30 24.01.2019 	 0,44 	 3 	 5 	 75 	  
03:20 24.01.2019 	 0,35 	 2 	 4 	 81 	  
03:10 24.01.2019 	 0,27 	 2 	 3 	 69 	  
03:00 24.01.2019 	 0,21 	 1 	 2 	 88 	  
02:50 24.01.2019 	 0,16 	 0 	 1 	 83 	  
02:40 24.01.2019 	 0,13 	 0 	 1 	 69 	  
02:30 24.01.2019 	 0,11 	 1 	 1 	 106 	  
02:20 24.01.2019 	 0,12 	 2 	 3 	 95 	  
02:10 24.01.2019 	 0,13 	 2 	 3 	 84 	  
02:00 24.01.2019 	 0,17 	 2 	 4 	 83 	  
01:50 24.01.2019 	 0,22 	 3 	 4 	 66 	  
01:40 24.01.2019 	 0,28 	 2 	 3 	 78 	  
01:30 24.01.2019 	 0,36 	 3 	 4 	 85 	  
01:20 24.01.2019 	 0,46 	 3 	 3 	 71 	  
01:10 24.01.2019 	 0,56 	 2 	 3 	 83 	  
01:00 24.01.2019 	 0,68 	 2 	 2 	 93 	  
00:50 24.01.2019 	 0,81 	 2 	 3 	 87 	  
00:40 24.01.2019 	 0,96 	 2 	 3 	 74 	  
00:30 24.01.2019 	 1,11 	 2 	 3 	 76 	  
00:20 24.01.2019 	 1,26 	 2 	 3 	 78 	  
00:10 24.01.2019 	 1,43 	 2 	 3 	 104 	  
00:00 24.01.2019 	 1,6 	 3 	 4 	 79 	  
23:50 23.01.2019 	 1,77 	 3 	 4 	 94 	  
23:40 23.01.2019 	 1,94 	 3 	 4 	 82 	  
23:30 23.01.2019 	 2,12 	 2 	 3 	 76 	  
23:20 23.01.2019 	 2,29 	 2 	 3 	 94 	  
23:10 23.01.2019 	 2,46 	 1 	 2 	 90 	  
23:00 23.01.2019 	 2,63 	 2 	 2 	 93 	  
22:50 23.01.2019 	 2,8 	 1 	 2 	 78 	  
22:40 23.01.2019 	 2,95 	 1 	 2 	 83 	  
22:30 23.01.2019 	 3,11 	 2 	 3 	 80 	  
22:20 23.01.2019 	 3,25 	 2 	 2 	 87 	  
22:10 23.01.2019 	 3,39 	 2 	 3 	 100 	  
22:00 23.01.2019 	 3,52 	 3 	 4 	 98 	  
21:50 23.01.2019 	 3,63 	 2 	 4 	 92 	  
21:40 23.01.2019 	 3,74 	 2 	 3 	 98 	  
21:30 23.01.2019 	 3,84 	 3 	 3 	 102 	  
21:20 23.01.2019 	 3,92 	 3 	 4 	 107 	  
21:10 23.01.2019 	 3,99 	 3 	 4 	 105 	  
21:00 23.01.2019 	 4,05 	 4 	 5 	 99 	  
20:50 23.01.2019 	 4,1 	 3 	 5 	 88 	  
20:40 23.01.2019 	 4,13 	 3 	 4 	 90 	  
20:30 23.01.2019 	 4,15 	 2 	 3 	 100 	  
20:20 23.01.2019 	 4,16 	 3 	 4 	 107 	  
20:10 23.01.2019 	 4,15 	 2 	 3 	 107 	  
20:00 23.01.2019 	 4,13 	 2 	 3 	 102 	  
19:50 23.01.2019 	 4,1 	 3 	 3 	 102 	  
19:40 23.01.2019 	 4,05 	 3 	 4 	 102 	  
19:30 23.01.2019 	 3,99 	 3 	 4 	 86 	  
19:20 23.01.2019 	 3,92 	 3 	 4 	 85 	  
19:10 23.01.2019 	 3,83 	 3 	 3 	 96 	  
19:00 23.01.2019 	 3,73 	 2 	 3 	 94 	  
18:50 23.01.2019 	 3,62 	 1 	 2 	 116 	  
18:40 23.01.2019 	 3,5 	 2 	 2 	 140 	  
18:30 23.01.2019 	 3,37 	 2 	 3 	 136 	  
18:20 23.01.2019 	 3,24 	 3 	 3 	 120 	  
18:10 23.01.2019 	 3,09 	 3 	 4 	 108 	  
18:00 23.01.2019 	 2,93 	 3 	 4 	 102 	  
17:50 23.01.2019 	 2,77 	 3 	 4 	 94 	  
17:40 23.01.2019 	 2,61 	 2 	 3 	 91 	  
17:30 23.01.2019 	 2,44 	 2 	 3 	 93 	  
17:20 23.01.2019 	 2,26 	 2 	 3 	 105 	  
17:10 23.01.2019 	 2,09 	 2 	 2 	 124 	  
17:00 23.01.2019 	 1,91 	 2 	 3 	 119 	  
16:50 23.01.2019 	 1,74 	 2 	 2 	 116 	  
16:40 23.01.2019 	 1,57 	 2 	 3 	 108 	  
16:30 23.01.2019 	 1,4 	 2 	 3 	 85 	  
16:20 23.01.2019 	 1,24 	 3 	 4 	 73 	  
16:10 23.01.2019 	 1,08 	 2 	 3 	 91 	  
16:00 23.01.2019 	 0,93 	 3 	 5 	 77 	  
15:50 23.01.2019 	 0,79 	 4 	 5 	 71 	  
15:40 23.01.2019 	 0,65 	 3 	 4 	 81 	  
15:30 23.01.2019 	 0,53 	 4 	 5 	 74 	  
15:20 23.01.2019 	 0,42 	 2 	 4 	 86 	  
15:10 23.01.2019 	 0,33 	 3 	 5 	 65 	  
15:00 23.01.2019 	 0,24 	 3 	 4 	 73 	  
14:50 23.01.2019 	 0,18 	 3 	 4 	 88 	  
14:40 23.01.2019 	 0,12 	 3 	 4 	 101 	  
14:30 23.01.2019 	 0,09 	 3 	 4 	 112 	  
14:20 23.01.2019 	 0,07 	 3 	 4 	 111 	  
14:10 23.01.2019 	 0,06 	 3 	 5 	 97 	  
14:00 23.01.2019 	 0,07 	 4 	 6 	 83 	  
13:50 23.01.2019 	 0,1 	 4 	 5 	 80 	  
13:40 23.01.2019 	 0,15 	 4 	 5 	 96 	  
13:30 23.01.2019 	 0,21 	 3 	 5 	 96 	  
13:20 23.01.2019 	 0,29 	 3 	 4 	 93 	  
13:10 23.01.2019 	 0,38 	 3 	 5 	 99 	  
13:00 23.01.2019 	 0,48 	 4 	 5 	 95 	  
12:50 23.01.2019 	 0,6 	 4 	 5 	 96 	  
12:40 23.01.2019 	 0,74 	 4 	 5 	 101 	  
12:30 23.01.2019 	 0,88 	 5 	 7 	 88 	  
12:20 23.01.2019 	 1,04 	 6 	 8 	 83 	  
12:10 23.01.2019 	 1,2 	 7 	 8 	 78 	  
12:00 23.01.2019 	 1,37 	 7 	 9 	 79 	  
11:50 23.01.2019 	 1,55 	 7 	 8 	 79 	  
11:40 23.01.2019 	 1,73 	 7 	 8 	 78 	  
11:30 23.01.2019 	 1,92 	 7 	 8 	 75 	  
11:20 23.01.2019 	 2,11 	 7 	 9 	 72 	  
11:10 23.01.2019 	 2,3 	 8 	 10 	 68 	  
11:00 23.01.2019 	 2,48 	 7 	 8 	 76 	  
10:50 23.01.2019 	 2,67 	 6 	 8 	 89 	  
10:40 23.01.2019 	 2,86 	 7 	 9 	 82 	  
10:30 23.01.2019 	 3,03 	 8 	 9 	 83 	  
10:20 23.01.2019 	 3,21 	 8 	 10 	 79 	  
10:10 23.01.2019 	 3,37 	 8 	 9 	 78 	  
10:00 23.01.2019 	 3,53 	 7 	 9 	 83 	  
09:50 23.01.2019 	 3,69 	 6 	 8 	 81 	  
09:40 23.01.2019 	 3,83 	 6 	 7 	 79 	  
09:30 23.01.2019 	 3,96 	 5 	 7 	 83 	  
09:20 23.01.2019 	 4,08 	 5 	 6 	 90 	  
09:10 23.01.2019 	 4,19 	 6 	 7 	 89 	  
09:00 23.01.2019 	 4,28 	 6 	 7 	 91 	  
08:50 23.01.2019 	 4,37 	 5 	 7 	 97 	  
08:40 23.01.2019 	 4,44 	 5 	 6 	 94 	  
08:30 23.01.2019 	 4,5 	 5 	 6 	 98 	  
08:20 23.01.2019 	 4,54 	 5 	 7 	 107 	  
08:10 23.01.2019 	 4,57 	 5 	 7 	 92 	  
08:00 23.01.2019 	 4,59 	 5 	 7 	 92 	  
07:50 23.01.2019 	 4,59 	 5 	 6 	 85 	  
07:40 23.01.2019 	 4,57 	 5 	 7 	 94 	  
07:30 23.01.2019 	 4,54 	 6 	 8 	 89 	  
07:20 23.01.2019 	 4,5 	 6 	 8 	 82 	  
07:10 23.01.2019 	 4,44 	 5 	 6 	 94 	  
07:00 23.01.2019 	 4,37 	 5 	 6 	 99 	  
06:50 23.01.2019 	 4,29 	 6 	 7 	 91 	  
06:40 23.01.2019 	 4,19 	 6 	 8 	 90 	  
06:30 23.01.2019 	 4,08 	 8 	 9 	 76 	  
06:20 23.01.2019 	 3,95 	 7 	 8 	 77 	  
06:10 23.01.2019 	 3,82 	 6 	 8 	 81 	  
06:00 23.01.2019 	 3,67 	 6 	 7 	 81 	  
05:50 23.01.2019 	 3,52 	 6 	 8 	 78 	  
05:40 23.01.2019 	 3,35 	 6 	 7 	 76 	  
05:30 23.01.2019 	 3,18 	 5 	 7 	 74 	  
05:20 23.01.2019 	 3,01 	 5 	 6 	 85 	  
05:10 23.01.2019 	 2,82 	 5 	 8 	 98 	  
05:00 23.01.2019 	 2,64 	 6 	 8 	 94 	  
04:50 23.01.2019 	 2,45 	 6 	 8 	 79 	  
04:40 23.01.2019 	 2,26 	 6 	 8 	 67 	  
04:30 23.01.2019 	 2,07 	 5 	 8 	 76 	  
04:20 23.01.2019 	 1,88 	 3 	 5 	 166 	  
04:10 23.01.2019 	 1,7 	 3 	 6 	 180 	  
04:00 23.01.2019 	 1,51 	 6 	 8 	 151 	  
03:50 23.01.2019 	 1,34 	 4 	 6 	 157 	  
03:40 23.01.2019 	 1,17 	 3 	 4 	 139 	  
03:30 23.01.2019 	 1,01 	 3 	 4 	 129 	  
03:20 23.01.2019 	 0,86 	 4 	 5 	 112 	  
03:10 23.01.2019 	 0,72 	 5 	 7 	 101 	  
03:00 23.01.2019 	 0,59 	 7 	 8 	 76 	  
02:50 23.01.2019 	 0,47 	 6 	 7 	 76 	  
02:40 23.01.2019 	 0,37 	 6 	 7 	 69 	  
02:30 23.01.2019 	 0,28 	 5 	 6 	 67 	  
02:20 23.01.2019 	 0,21 	 6 	 7 	 78 	  
02:10 23.01.2019 	 0,15 	 5 	 7 	 84 	  
02:00 23.01.2019 	 0,11 	 7 	 8 	 74 	  
01:50 23.01.2019 	 0,09 	 8 	 9 	 67 	  
01:40 23.01.2019 	 0,08 	 7 	 8 	 65 	  
01:30 23.01.2019 	 0,09 	 5 	 7 	 70 	  
01:20 23.01.2019 	 0,12 	 5 	 7 	 84 	  
01:10 23.01.2019 	 0,16 	 5 	 7 	 83 	  
01:00 23.01.2019 	 0,22 	 6 	 7 	 84 	  
00:50 23.01.2019 	 0,29 	 6 	 7 	 77 	  
00:40 23.01.2019 	 0,38 	 6 	 7 	 71 	  
00:30 23.01.2019 	 0,49 	 6 	 8 	 77 	  
00:20 23.01.2019 	 0,6 	 5 	 6 	 68 	  
00:10 23.01.2019 	 0,73 	 4 	 7 	 67 	  
00:00 23.01.2019 	 0,87 	 5 	 7 	 78 	  
23:50 22.01.2019 	 1,02 	 2 	 5 	 54 	  
23:40 22.01.2019 	 1,17 	 3 	 4 	 305 	  
23:30 22.01.2019 	 1,34 	 6 	 8 	 309 	  
23:20 22.01.2019 	 1,5 	 6 	 9 	 295 	  
23:10 22.01.2019 	 1,67 	 4 	 5 	 313 	  
23:00 22.01.2019 	 1,85 	 5 	 6 	 307 	  
22:50 22.01.2019 	 2,02 	 6 	 8 	 268 	  
22:40 22.01.2019 	 2,2 	 6 	 9 	 247 	  
22:30 22.01.2019 	 2,37 	 5 	 10 	 256 	  
22:20 22.01.2019 	 2,54 	 5 	 10 	 282 	  
22:10 22.01.2019 	 2,71 	 5 	 8 	 193 	  
22:00 22.01.2019 	 2,87 	 5 	 7 	 185 	  
21:50 22.01.2019 	 3,03 	 4 	 6 	 186 	  
21:40 22.01.2019 	 3,18 	 4 	 5 	 151 	  
21:30 22.01.2019 	 3,32 	 4 	 6 	 124 	  
21:20 22.01.2019 	 3,45 	 4 	 9 	 100 	  
21:10 22.01.2019 	 3,57 	 4 	 6 	 67 	  
21:00 22.01.2019 	 3,68 	 5 	 6 	 79 	  
20:50 22.01.2019 	 3,79 	 5 	 7 	 87 	  
20:40 22.01.2019 	 3,88 	 5 	 6 	 103 	  
20:30 22.01.2019 	 3,96 	 5 	 6 	 116 	  
20:20 22.01.2019 	 4,02 	 5 	 6 	 106 	  
20:10 22.01.2019 	 4,08 	 4 	 6 	 91 	  
20:00 22.01.2019 	 4,12 	 5 	 7 	 82 	  
19:50 22.01.2019 	 4,15 	 6 	 8 	 86 	  
19:40 22.01.2019 	 4,16 	 5 	 6 	 92 	  
19:30 22.01.2019 	 4,16 	 4 	 6 	 92 	  
19:20 22.01.2019 	 4,15 	 4 	 5 	 107 	  
19:10 22.01.2019 	 4,12 	 4 	 5 	 107 	  
19:00 22.01.2019 	 4,08 	 4 	 5 	 100 	  
18:50 22.01.2019 	 4,03 	 3 	 4 	 129 	  
18:40 22.01.2019 	 3,96 	 4 	 5 	 125 	  
18:30 22.01.2019 	 3,89 	 4 	 5 	 121 	  
18:20 22.01.2019 	 3,79 	 4 	 5 	 103 	  
18:10 22.01.2019 	 3,69 	 4 	 5 	 108 	  
18:00 22.01.2019 	 3,58 	 4 	 4 	 100 	  
17:50 22.01.2019 	 3,45 	 4 	 5 	 110 	  
17:40 22.01.2019 	 3,32 	 4 	 5 	 99 	  
17:30 22.01.2019 	 3,17 	 4 	 5 	 93 	  
17:20 22.01.2019 	 3,02 	 3 	 4 	 105 	  
17:10 22.01.2019 	 2,87 	 2 	 3 	 89 	  
17:00 22.01.2019 	 2,7 	 2 	 3 	 113 	  
16:50 22.01.2019 	 2,54 	 2 	 4 	 102 	  
16:40 22.01.2019 	 2,36 	 3 	 4 	 98 	  
16:30 22.01.2019 	 2,19 	 3 	 4 	 89 	  
16:20 22.01.2019 	 2,02 	 3 	 3 	 104 	  
16:10 22.01.2019 	 1,84 	 3 	 4 	 117 	  
16:00 22.01.2019 	 1,67 	 5 	 6 	 116 	  
15:50 22.01.2019 	 1,5 	 4 	 5 	 113 	  
15:40 22.01.2019 	 1,33 	 4 	 5 	 108 	  
15:30 22.01.2019 	 1,17 	 4 	 5 	 111 	  
15:20 22.01.2019 	 1,02 	 4 	 5 	 107 	  
15:10 22.01.2019 	 0,88 	 4 	 5 	 106 	  
15:00 22.01.2019 	 0,74 	 4 	 4 	 102 	  
14:50 22.01.2019 	 0,62 	 3 	 4 	 100 	  
14:40 22.01.2019 	 0,5 	 3 	 4 	 113 	  
14:30 22.01.2019 	 0,4 	 3 	 4 	 111 	  
14:20 22.01.2019 	 0,31 	 3 	 4 	 111 	  
14:10 22.01.2019 	 0,24 	 2 	 3 	 97 	  
14:00 22.01.2019 	 0,18 	 3 	 4 	 111 	  
13:50 22.01.2019 	 0,13 	 4 	 4 	 105 	  
13:40 22.01.2019 	 0,11 	 3 	 5 	 91 	  
13:30 22.01.2019 	 0,1 	 3 	 5 	 95 	  
13:20 22.01.2019 	 0,1 	 4 	 5 	 83 	  
13:10 22.01.2019 	 0,12 	 2 	 4 	 126 	  
13:00 22.01.2019 	 0,16 	 2 	 4 	 160 	  
12:50 22.01.2019 	 0,22 	 2 	 3 	 121 	  
12:40 22.01.2019 	 0,29 	 2 	 3 	 131 	  
12:30 22.01.2019 	 0,37 	 3 	 3 	 115 	  
12:20 22.01.2019 	 0,47 	 3 	 3 	 113 	  
12:10 22.01.2019 	 0,59 	 3 	 4 	 108 	  
12:00 22.01.2019 	 0,71 	 3 	 4 	 105 	  
11:50 22.01.2019 	 0,85 	 3 	 5 	 105 	  
11:40 22.01.2019 	 1 	 3 	 4 	 114 	  
11:30 22.01.2019 	 1,16 	 3 	 4 	 109 	  
11:20 22.01.2019 	 1,32 	 3 	 4 	 109 	  
11:10 22.01.2019 	 1,49 	 4 	 4 	 108 	  
11:00 22.01.2019 	 1,67 	 4 	 5 	 105 	  
10:50 22.01.2019 	 1,85 	 3 	 5 	 98 	  
10:40 22.01.2019 	 2,04 	 3 	 5 	 93 	  
10:30 22.01.2019 	 2,22 	 4 	 5 	 83 	  
10:20 22.01.2019 	 2,41 	 3 	 4 	 99 	  
10:10 22.01.2019 	 2,59 	 3 	 4 	 113 	  
10:00 22.01.2019 	 2,77 	 2 	 3 	 132 	  
09:50 22.01.2019 	 2,95 	 3 	 4 	 138 	  
09:40 22.01.2019 	 3,12 	 4 	 5 	 140 	  
09:30 22.01.2019 	 3,28 	 4 	 5 	 141 	  
09:20 22.01.2019 	 3,44 	 4 	 5 	 164 	  
09:10 22.01.2019 	 3,59 	 4 	 6 	 175 	  
09:00 22.01.2019 	 3,74 	 3 	 4 	 179 	  
08:50 22.01.2019 	 3,87 	 2 	 3 	 183 	  
08:40 22.01.2019 	 3,99 	 2 	 3 	 178 	  
08:30 22.01.2019 	 4,1 	 2 	 3 	 143 	  
08:20 22.01.2019 	 4,2 	 2 	 3 	 78 	  
08:10 22.01.2019 	 4,29 	 2 	 3 	 46 	  
08:00 22.01.2019 	 4,37 	 2 	 3 	 30 	  
07:50 22.01.2019 	 4,43 	 2 	 3 	 10 	  
07:40 22.01.2019 	 4,48 	 3 	 4 	 18 	  
07:30 22.01.2019 	 4,52 	 4 	 4 	 12 	  
07:20 22.01.2019 	 4,54 	 4 	 5 	 9 	  
07:10 22.01.2019 	 4,55 	 4 	 5 	 9 	  
07:00 22.01.2019 	 4,54 	 4 	 5 	 15 	  
06:50 22.01.2019 	 4,52 	 5 	 6 	 11 	  
06:40 22.01.2019 	 4,49 	 5 	 6 	 13 	  
06:30 22.01.2019 	 4,44 	 4 	 6 	 346 	  
06:20 22.01.2019 	 4,37 	 4 	 6 	 341 	  
06:10 22.01.2019 	 4,3 	 5 	 6 	 343 	  
06:00 22.01.2019 	 4,21 	 5 	 6 	 334 	  
05:50 22.01.2019 	 4,1 	 6 	 8 	 325 	  
05:40 22.01.2019 	 3,99 	 5 	 7 	 325 	  
05:30 22.01.2019 	 3,86 	 6 	 8 	 335 	  
05:20 22.01.2019 	 3,73 	 7 	 8 	 338 	  
05:10 22.01.2019 	 3,58 	 6 	 8 	 331 	  
05:00 22.01.2019 	 3,42 	 8 	 9 	 342 	  
04:50 22.01.2019 	 3,26 	 8 	 10 	 335 	  
04:40 22.01.2019 	 3,09 	 7 	 9 	 326 	  
04:30 22.01.2019 	 2,91 	 8 	 10 	 306 	  
04:20 22.01.2019 	 2,73 	 9 	 11 	 311 	  
04:10 22.01.2019 	 2,55 	 9 	 11 	 310 	  
04:00 22.01.2019 	 2,37 	 9 	 12 	 307 	  
03:50 22.01.2019 	 2,18 	 8 	 10 	 316 	  
03:40 22.01.2019 	 2 	 7 	 9 	 302 	  
03:30 22.01.2019 	 1,81 	 7 	 9 	 295 	  
03:20 22.01.2019 	 1,64 	 8 	 12 	 309 	  
03:10 22.01.2019 	 1,46 	 7 	 9 	 285 	  
03:00 22.01.2019 	 1,29 	 7 	 10 	 282 	  
02:50 22.01.2019 	 1,13 	 9 	 11 	 292 	  
02:40 22.01.2019 	 0,98 	 10 	 12 	 289 	  
02:30 22.01.2019 	 0,84 	 9 	 11 	 294 	  
02:20 22.01.2019 	 0,71 	 9 	 11 	 305 	  
02:10 22.01.2019 	 0,59 	 8 	 11 	 323 	  
02:00 22.01.2019 	 0,48 	 9 	 13 	 322 	  
01:50 22.01.2019 	 0,39 	 11 	 14 	 308 	  
01:40 22.01.2019 	 0,31 	 8 	 11 	 324 	  
01:30 22.01.2019 	 0,25 	 8 	 10 	 335 	  
01:20 22.01.2019 	 0,2 	 7 	 10 	 335 	  
01:10 22.01.2019 	 0,17 	 3 	 5 	 355 	  
01:00 22.01.2019 	 0,16 	 4 	 8 	 328 	  
00:50 22.01.2019 	 0,16 	 3 	 5 	 334 	  
00:40 22.01.2019 	 0,18 	 2 	 4 	 318 	  
00:30 22.01.2019 	 0,21 	 1 	 6 	 250 	  
00:20 22.01.2019 	 0,26 	 3 	 6 	 191 	  
00:10 22.01.2019 	 0,33 	 5 	 6 	 171 	  
00:00 22.01.2019 	 0,41 	 5 	 6 	 171 	  
23:50 21.01.2019 	 0,5 	 4 	 6 	 175 	  
23:40 21.01.2019 	 0,61 	 2 	 3 	 198 	  
23:30 21.01.2019 	 0,73 	 3 	 5 	 203 	  
23:20 21.01.2019 	 0,86 	 3 	 5 	 236 	  
23:10 21.01.2019 	 0,99 	 5 	 8 	 263 	  
23:00 21.01.2019 	 1,14 	 6 	 9 	 258 	  
22:50 21.01.2019 	 1,29 	 5 	 10 	 229 	  
22:40 21.01.2019 	 1,45 	 6 	 9 	 213 	  
22:30 21.01.2019 	 1,61 	 8 	 11 	 211 	  
22:20 21.01.2019 	 1,78 	 6 	 10 	 207 	  
22:10 21.01.2019 	 1,94 	 5 	 7 	 148 	  
22:00 21.01.2019 	 2,11 	 4 	 7 	 179 	  
21:50 21.01.2019 	 2,28 	 3 	 5 	 182 	  
21:40 21.01.2019 	 2,44 	 4 	 5 	 183 	  
21:30 21.01.2019 	 2,6 	 5 	 7 	 189 	  
21:20 21.01.2019 	 2,76 	 5 	 8 	 200 	  
21:10 21.01.2019 	 2,91 	 4 	 8 	 208 	  
21:00 21.01.2019 	 3,05 	 5 	 8 	 215 	  
20:50 21.01.2019 	 3,19 	 3 	 5 	 200 	  
20:40 21.01.2019 	 3,32 	 3 	 7 	 207 	  
20:30 21.01.2019 	 3,44 	 4 	 7 	 233 	  
20:20 21.01.2019 	 3,56 	 2 	 2 	 220 	  
20:10 21.01.2019 	 3,66 	 2 	 3 	 229 	  
20:00 21.01.2019 	 3,75 	 2 	 4 	 238 	  
19:50 21.01.2019 	 3,83 	 3 	 5 	 240 	  
19:40 21.01.2019 	 3,9 	 4 	 6 	 256 	  
19:30 21.01.2019 	 3,96 	 3 	 5 	 254 	  
19:20 21.01.2019 	 4,01 	 4 	 7 	 251 	  
19:10 21.01.2019 	 4,04 	 4 	 6 	 257 	  
19:00 21.01.2019 	 4,06 	 5 	 7 	 262 	  
18:50 21.01.2019 	 4,07 	 4 	 7 	 268 	  
18:40 21.01.2019 	 4,07 	 1 	 3 	 201 	  
18:30 21.01.2019 	 4,05 	 2 	 4 	 220 	  
18:20 21.01.2019 	 4,02 	 3 	 4 	 169 	  
18:10 21.01.2019 	 3,98 	 3 	 4 	 126 	  
18:00 21.01.2019 	 3,92 	 3 	 4 	 124 	  
17:50 21.01.2019 	 3,85 	 3 	 4 	 116 	  
17:40 21.01.2019 	 3,77 	 3 	 4 	 122 	  
17:30 21.01.2019 	 3,68 	 3 	 4 	 120 	  
17:20 21.01.2019 	 3,58 	 1 	 3 	 99 	  
17:10 21.01.2019 	 3,46 	 1 	 3 	 84 	  
17:00 21.01.2019 	 3,34 	 3 	 5 	 102 	  
16:50 21.01.2019 	 3,21 	 3 	 4 	 90 	  
16:40 21.01.2019 	 3,07 	 3 	 4 	 102 	  
16:30 21.01.2019 	 2,93 	 3 	 4 	 109 	  
16:20 21.01.2019 	 2,77 	 4 	 4 	 106 	  
16:10 21.01.2019 	 2,62 	 4 	 5 	 108 	  
16:00 21.01.2019 	 2,46 	 5 	 6 	 124 	  
15:50 21.01.2019 	 2,29 	 4 	 6 	 136 	  
15:40 21.01.2019 	 2,13 	 3 	 5 	 148 	  
15:30 21.01.2019 	 1,96 	 3 	 4 	 129 	  
15:20 21.01.2019 	 1,8 	 4 	 6 	 117 	  
15:10 21.01.2019 	 1,64 	 5 	 6 	 94 	  
15:00 21.01.2019 	 1,48 	 6 	 7 	 85 	  
14:50 21.01.2019 	 1,32 	 7 	 8 	 81 	  
14:40 21.01.2019 	 1,18 	 7 	 8 	 83 	  
14:30 21.01.2019 	 1,04 	 6 	 9 	 87 	  
14:20 21.01.2019 	 0,9 	 7 	 10 	 81 	  
14:10 21.01.2019 	 0,78 	 8 	 11 	 85 	  
14:00 21.01.2019 	 0,67 	 9 	 11 	 82 	  
13:50 21.01.2019 	 0,57 	 9 	 11 	 79 	  
13:40 21.01.2019 	 0,48 	 8 	 11 	 78 	  
13:30 21.01.2019 	 0,4 	 8 	 10 	 73 	  
13:20 21.01.2019 	 0,34 	 9 	 10 	 70 	  
13:10 21.01.2019 	 0,29 	 9 	 10 	 73 	  
13:00 21.01.2019 	 0,26 	 9 	 10 	 72 	  
12:50 21.01.2019 	 0,24 	 8 	 10 	 76 	  
12:40 21.01.2019 	 0,24 	 9 	 11 	 78 	  
12:30 21.01.2019 	 0,26 	 10 	 12 	 75 	  
12:20 21.01.2019 	 0,29 	 9 	 11 	 75 	  
12:10 21.01.2019 	 0,33 	 9 	 11 	 76 	  
12:00 21.01.2019 	 0,39 	 7 	 11 	 79 	  
11:50 21.01.2019 	 0,47 	 7 	 9 	 80 	  
11:40 21.01.2019 	 0,55 	 8 	 9 	 79 	  
11:30 21.01.2019 	 0,66 	 8 	 10 	 73 	  
11:20 21.01.2019 	 0,77 	 8 	 9 	 72 	  
11:10 21.01.2019 	 0,89 	 7 	 8 	 72 	  
11:00 21.01.2019 	 1,03 	 6 	 7 	 69 	  
10:50 21.01.2019 	 1,17 	 5 	 6 	 64 	  
10:40 21.01.2019 	 1,32 	 5 	 6 	 63 	  
10:30 21.01.2019 	 1,48 	 3 	 5 	 68 	  
10:20 21.01.2019 	 1,64 	 2 	 3 	 92 	  
10:10 21.01.2019 	 1,81 	 2 	 4 	 120 	  
10:00 21.01.2019 	 1,97 	 4 	 6 	 138 	  
09:50 21.01.2019 	 2,15 	 4 	 6 	 159 	  
09:40 21.01.2019 	 2,32 	 1 	 3 	 159 	  
09:30 21.01.2019 	 2,49 	 1 	 1 	 30 	  
09:20 21.01.2019 	 2,66 	 1 	 2 	 353 	  
09:10 21.01.2019 	 2,82 	 1 	 2 	 357 	  
09:00 21.01.2019 	 2,98 	 3 	 4 	 158 	  
08:50 21.01.2019 	 3,14 	 3 	 3 	 134 	  
08:40 21.01.2019 	 3,29 	 2 	 3 	 121 	  
08:30 21.01.2019 	 3,43 	 2 	 3 	 134 	  
08:20 21.01.2019 	 3,57 	 2 	 2 	 145 	  
