 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
06:20 01.02.2020 	 1,44 	 2,02 	 2,04 	 2 	 3 	 3 	 992 	 -3,8 	  
06:10 01.02.2020 	 1,38 	 1,98 	 2 	 3 	 4 	 4 	 992 	 -3,5 	  
06:00 01.02.2020 	 1,34 	 1,94 	 1,96 	 3 	 4 	 4 	 992 	 -3,4 	  
05:50 01.02.2020 	 1,28 	 1,87 	 1,9 	 3 	 4 	 4 	 992 	 -3,5 	  
05:40 01.02.2020 	 1,24 	 1,81 	 1,84 	 3 	 4 	 2 	 992 	 -3,3 	  
05:30 01.02.2020 	 1,19 	 1,8 	 1,82 	 3 	 4 	 4 	 992 	 -3,8 	  
05:20 01.02.2020 	 1,16 	 1,72 	 1,75 	 2 	 3 	 350 	 992 	 -3,4 	  
05:10 01.02.2020 	 1,12 	 1,72 	 1,74 	 2 	 3 	 337 	 992 	 -3,6 	  
05:00 01.02.2020 	 1,1 	 1,68 	 1,71 	 3 	 4 	 350 	 992 	 -3,6 	  
04:50 01.02.2020 	 1,07 	 1,67 	 1,69 	 3 	 4 	 357 	 992 	 -3,7 	  
04:40 01.02.2020 	 1,06 	 1,62 	 1,64 	 2 	 3 	 356 	 992 	 -4 	  
04:30 01.02.2020 	 1,05 	 1,63 	 1,65 	 2 	 3 	 347 	 992 	 -3,6 	  
04:20 01.02.2020 	 1,04 	 1,64 	 1,66 	 2 	 3 	 344 	 992 	 -3,4 	  
04:10 01.02.2020 	 1,04 	 1,64 	 1,66 	 3 	 5 	 359 	 992 	 -3,3 	  
04:00 01.02.2020 	 1,05 	 1,63 	 1,65 	 3 	 5 	 359 	 991 	 -3,3 	  
03:50 01.02.2020 	 1,06 	 1,67 	 1,69 	 3 	 6 	 3 	 991 	 -3,2 	  
03:40 01.02.2020 	 1,08 	 1,67 	 1,69 	 3 	 4 	 5 	 992 	 -3,3 	  
03:30 01.02.2020 	 1,1 	 1,73 	 1,75 	 3 	 4 	 4 	 992 	 -3,3 	  
03:20 01.02.2020 	 1,14 	 1,71 	 1,73 	 3 	 4 	 350 	 991 	 -3,3 	  
03:10 01.02.2020 	 1,17 	 1,79 	 1,81 	 3 	 4 	 358 	 991 	 -2,5 	  
03:00 01.02.2020 	 1,21 	 1,81 	 1,83 	 1 	 2 	 20 	 991 	 -2,4 	  
02:50 01.02.2020 	 1,26 	 1,87 	 1,89 	 1 	 2 	 24 	 991 	 -2,7 	  
02:40 01.02.2020 	 1,3 	 1,95 	 1,97 	 2 	 3 	 348 	 991 	 -2,6 	  
02:30 01.02.2020 	 1,35 	 1,98 	 2 	 1 	 3 	 21 	 991 	 -2,8 	  
02:20 01.02.2020 	 1,41 	 2,02 	 2,05 	 1 	 2 	 8 	 991 	 -2,7 	  
02:10 01.02.2020 	 1,47 	 2,12 	 2,14 	 1 	 1 	 95 	 991 	 -3,2 	  
02:00 01.02.2020 	 1,53 	 2,16 	 2,18 	 0 	 1 	 44 	 991 	 -3 	  
01:50 01.02.2020 	 1,59 	 2,23 	 2,26 	 1 	 2 	 75 	 991 	 -3,5 	  
01:40 01.02.2020 	 1,66 	 2,32 	 2,34 	 1 	 2 	 31 	 991 	 -2,5 	  
01:30 01.02.2020 	 1,72 	 2,36 	 2,38 	 2 	 3 	 353 	 991 	 -2,3 	  
01:20 01.02.2020 	 1,79 	 2,45 	 2,48 	 2 	 3 	 341 	 991 	 -1,7 	  
01:10 01.02.2020 	 1,86 	 2,52 	 2,55 	 3 	 5 	 341 	 991 	 -1,2 	  
01:00 01.02.2020 	 1,92 	 2,6 	 2,62 	 2 	 4 	 337 	 991 	 -1,1 	  
00:50 01.02.2020 	 1,99 	 2,63 	 2,66 	 2 	 2 	 328 	 991 	 -1,5 	  
00:40 01.02.2020 	 2,06 	 2,74 	 2,77 	 3 	 5 	 350 	 991 	 -1,1 	  
00:30 01.02.2020 	 2,11 	 2,81 	 2,83 	 3 	 5 	 345 	 991 	 -1,3 	  
00:20 01.02.2020 	 2,18 	 2,83 	 2,86 	 2 	 3 	 334 	 991 	 -1,9 	  
00:10 01.02.2020 	 2,23 	 2,94 	 2,97 	 1 	 2 	 344 	 991 	 -2 	  
00:00 01.02.2020 	 2,29 	 2,99 	 3,02 	 2 	 4 	 356 	 991 	 -2,2 	  
23:50 31.01.2020 	 2,34 	 2,99 	 3,02 	 4 	 5 	 360 	 991 	 -1,5 	  
23:40 31.01.2020 	 2,38 	 3,08 	 3,11 	 3 	 6 	 347 	 991 	 -1,4 	  
23:30 31.01.2020 	 2,42 	 3,12 	 3,15 	 3 	 4 	 350 	 991 	 -1,8 	  
23:20 31.01.2020 	 2,46 	 3,14 	 3,17 	 4 	 5 	 355 	 991 	 -2 	  
23:10 31.01.2020 	 2,5 	 3,19 	 3,22 	 2 	 4 	 13 	 991 	 -1,6 	  
23:00 31.01.2020 	 2,53 	 3,21 	 3,24 	 2 	 3 	 36 	 991 	 -1,8 	  
22:50 31.01.2020 	 2,55 	 3,25 	 3,28 	 3 	 4 	 353 	 990 	 -1,6 	  
22:40 31.01.2020 	 2,57 	 3,26 	 3,29 	 3 	 4 	 349 	 990 	 -1,2 	  
22:30 31.01.2020 	 2,58 	 3,25 	 3,28 	 3 	 4 	 340 	 990 	 -1,6 	  
22:20 31.01.2020 	 2,58 	 3,29 	 3,32 	 3 	 4 	 324 	 990 	 -1,6 	  
22:10 31.01.2020 	 2,58 	 3,26 	 3,29 	 4 	 6 	 358 	 990 	 -1,1 	  
22:00 31.01.2020 	 2,58 	 3,3 	 3,33 	 5 	 7 	 5 	 990 	 -1 	  
21:50 31.01.2020 	 2,57 	 3,28 	 3,31 	 5 	 8 	 4 	 990 	 -0,8 	  
21:40 31.01.2020 	 2,55 	 3,23 	 3,26 	 4 	 7 	 8 	 990 	 -0,7 	  
21:30 31.01.2020 	 2,53 	 3,26 	 3,29 	 5 	 6 	 3 	 990 	 -0,8 	  
21:20 31.01.2020 	 2,5 	 3,19 	 3,21 	 3 	 6 	 355 	 989 	 -0,8 	  
21:10 31.01.2020 	 2,46 	 3,12 	 3,15 	 3 	 6 	 354 	 989 	 -0,6 	  
21:00 31.01.2020 	 2,42 	 3,13 	 3,16 	 6 	 7 	 7 	 989 	 -0,2 	  
20:50 31.01.2020 	 2,38 	 3,07 	 3,1 	 6 	 8 	 7 	 989 	 -0,9 	  
20:40 31.01.2020 	 2,34 	 3,02 	 3,05 	 5 	 7 	 6 	 989 	 -0,8 	  
20:30 31.01.2020 	 2,29 	 2,98 	 3,01 	 4 	 6 	 3 	 989 	 -1,4 	  
20:20 31.01.2020 	 2,23 	 2,91 	 2,94 	 3 	 5 	 353 	 989 	 -1,5 	  
20:10 31.01.2020 	 2,18 	 2,86 	 2,89 	 2 	 4 	 343 	 989 	 -1,4 	  
20:00 31.01.2020 	 2,11 	 2,81 	 2,83 	 4 	 5 	 351 	 989 	 -1,5 	  
19:50 31.01.2020 	 2,05 	 2,72 	 2,75 	 4 	 6 	 360 	 989 	 -0,8 	  
19:40 31.01.2020 	 1,98 	 2,65 	 2,68 	 4 	 6 	 2 	 989 	 -1,4 	  
19:30 31.01.2020 	 1,91 	 2,6 	 2,62 	 5 	 7 	 360 	 989 	 -1,3 	  
19:20 31.01.2020 	 1,84 	 2,53 	 2,55 	 6 	 7 	 357 	 989 	 -0,7 	  
19:10 31.01.2020 	 1,78 	 2,45 	 2,47 	 5 	 7 	 0 	 989 	 -0,6 	  
19:00 31.01.2020 	 1,7 	 2,37 	 2,4 	 5 	 6 	 4 	 989 	 -0,8 	  
18:50 31.01.2020 	 1,63 	 2,3 	 2,32 	 5 	 6 	 3 	 989 	 -0,8 	  
18:40 31.01.2020 	 1,56 	 2,21 	 2,24 	 5 	 7 	 0 	 989 	 -0,5 	  
18:30 31.01.2020 	 1,49 	 2,15 	 2,17 	 5 	 7 	 354 	 988 	 -0,7 	  
18:20 31.01.2020 	 1,42 	 2,05 	 2,08 	 4 	 6 	 350 	 988 	 -0,9 	  
18:10 31.01.2020 	 1,35 	 2,03 	 2,05 	 5 	 7 	 354 	 988 	 -0,9 	  
18:00 31.01.2020 	 1,29 	 1,95 	 1,97 	 5 	 7 	 360 	 988 	 -0,8 	  
17:50 31.01.2020 	 1,23 	 1,89 	 1,91 	 5 	 7 	 352 	 988 	 -0,7 	  
17:40 31.01.2020 	 1,18 	 1,84 	 1,86 	 6 	 9 	 357 	 988 	 -0,8 	  
17:30 31.01.2020 	 1,12 	 1,79 	 1,81 	 8 	 10 	 0 	 988 	 -0,3 	  
17:20 31.01.2020 	 1,07 	 1,74 	 1,76 	 7 	 10 	 359 	 988 	 -0,3 	  
17:10 31.01.2020 	 1,02 	 1,66 	 1,68 	 7 	 11 	 360 	 988 	 -0,3 	  
17:00 31.01.2020 	 0,98 	 1,65 	 1,67 	 8 	 11 	 3 	 988 	 -0,3 	  
16:50 31.01.2020 	 0,95 	 1,63 	 1,65 	 8 	 13 	 6 	 988 	 -0,1 	  
16:40 31.01.2020 	 0,93 	 1,57 	 1,6 	 7 	 10 	 5 	 988 	 -0,1 	  
16:30 31.01.2020 	 0,9 	 1,57 	 1,59 	 7 	 10 	 2 	 988 	 -0,3 	  
16:20 31.01.2020 	 0,89 	 1,55 	 1,57 	 5 	 7 	 3 	 988 	 -0,3 	  
16:10 31.01.2020 	 0,88 	 1,54 	 1,56 	 5 	 7 	 1 	 988 	 -0,1 	  
16:00 31.01.2020 	 0,88 	 1,59 	 1,61 	 4 	 6 	 358 	 988 	 -0,2 	  
15:50 31.01.2020 	 0,89 	 1,53 	 1,55 	 5 	 8 	 359 	 988 	 0 	  
15:40 31.01.2020 	 0,9 	 1,59 	 1,61 	 7 	 10 	 2 	 988 	 0,3 	  
15:30 31.01.2020 	 0,92 	 1,61 	 1,63 	 8 	 11 	 3 	 988 	 0,2 	  
15:20 31.01.2020 	 0,94 	 1,63 	 1,65 	 8 	 11 	 2 	 988 	 0,3 	  
15:10 31.01.2020 	 0,98 	 1,68 	 1,7 	 9 	 12 	 4 	 988 	 0,5 	  
15:00 31.01.2020 	 1,02 	 1,67 	 1,69 	 9 	 12 	 2 	 988 	 0,1 	  
14:50 31.01.2020 	 1,06 	 1,78 	 1,8 	 9 	 12 	 5 	 988 	 0,3 	  
14:40 31.01.2020 	 1,11 	 1,81 	 1,84 	 7 	 10 	 9 	 988 	 -0,1 	  
14:30 31.01.2020 	 1,17 	 1,83 	 1,85 	 7 	 10 	 13 	 988 	 -0,2 	  
14:20 31.01.2020 	 1,22 	 1,95 	 1,98 	 7 	 12 	 2 	 987 	 0,4 	  
14:10 31.01.2020 	 1,29 	 1,98 	 2 	 7 	 11 	 8 	 987 	 0,5 	  
14:00 31.01.2020 	 1,36 	 2,04 	 2,07 	 9 	 12 	 8 	 988 	 0,6 	  
13:50 31.01.2020 	 1,42 	 2,16 	 2,18 	 8 	 13 	 5 	 988 	 0,6 	  
13:40 31.01.2020 	 1,5 	 2,19 	 2,22 	 9 	 12 	 7 	 988 	 0,5 	  
13:30 31.01.2020 	 1,58 	 2,29 	 2,31 	 8 	 12 	 6 	 988 	 0,5 	  
13:20 31.01.2020 	 1,65 	 2,38 	 2,4 	 8 	 12 	 6 	 988 	 0,5 	  
13:10 31.01.2020 	 1,73 	 2,42 	 2,45 	 7 	 10 	 6 	 987 	 0,4 	  
13:00 31.01.2020 	 1,81 	 2,55 	 2,57 	 7 	 10 	 6 	 987 	 0,1 	  
12:50 31.01.2020 	 1,88 	 2,61 	 2,64 	 7 	 11 	 3 	 987 	 0,3 	  
12:40 31.01.2020 	 1,96 	 2,69 	 2,72 	 8 	 11 	 4 	 987 	 0,5 	  
12:30 31.01.2020 	 2,03 	 2,77 	 2,79 	 8 	 12 	 2 	 987 	 0,4 	  
12:20 31.01.2020 	 2,11 	 2,84 	 2,87 	 9 	 14 	 359 	 987 	 0,5 	  
12:10 31.01.2020 	 2,18 	 2,94 	 2,96 	 9 	 14 	 1 	 988 	 0,5 	  
12:00 31.01.2020 	 2,25 	 2,98 	 3,01 	 9 	 14 	 3 	 987 	 0,4 	  
11:50 31.01.2020 	 2,31 	 3,04 	 3,06 	 9 	 14 	 8 	 987 	 0,6 	  
11:40 31.01.2020 	 2,38 	 3,13 	 3,16 	 9 	 12 	 7 	 987 	 0,2 	  
11:30 31.01.2020 	 2,44 	 3,18 	 3,21 	 9 	 14 	 4 	 987 	 0,2 	  
11:20 31.01.2020 	 2,49 	 3,21 	 3,24 	 10 	 14 	 7 	 987 	 0,5 	  
11:10 31.01.2020 	 2,54 	 3,29 	 3,32 	 9 	 12 	 1 	 987 	 0,1 	  
11:00 31.01.2020 	 2,58 	 3,32 	 3,35 	 8 	 12 	 1 	 987 	 -0 	  
10:50 31.01.2020 	 2,62 	 3,35 	 3,38 	 8 	 11 	 360 	 988 	 -0,3 	  
10:40 31.01.2020 	 2,66 	 3,4 	 3,43 	 7 	 9 	 358 	 987 	 -0,8 	  
10:30 31.01.2020 	 2,69 	 3,41 	 3,44 	 7 	 10 	 354 	 987 	 -0,8 	  
10:20 31.01.2020 	 2,71 	 3,44 	 3,47 	 6 	 10 	 354 	 987 	 -0,8 	  
10:10 31.01.2020 	 2,73 	 3,45 	 3,48 	 6 	 9 	 352 	 987 	 -0,6 	  
10:00 31.01.2020 	 2,74 	 3,43 	 3,46 	 6 	 9 	 351 	 987 	 -0,6 	  
09:50 31.01.2020 	 2,74 	 3,45 	 3,48 	 6 	 10 	 347 	 988 	 -0,7 	  
09:40 31.01.2020 	 2,74 	 3,44 	 3,47 	 6 	 9 	 347 	 988 	 -0,9 	  
09:30 31.01.2020 	 2,73 	 3,41 	 3,44 	 6 	 9 	 352 	 988 	 -0,8 	  
09:20 31.01.2020 	 2,71 	 3,41 	 3,44 	 7 	 10 	 354 	 988 	 -0,8 	  
09:10 31.01.2020 	 2,69 	 3,37 	 3,4 	 7 	 10 	 358 	 988 	 -0,6 	  
09:00 31.01.2020 	 2,66 	 3,33 	 3,36 	 7 	 10 	 353 	 988 	 -0,7 	  
08:50 31.01.2020 	 2,62 	 3,3 	 3,33 	 6 	 11 	 350 	 988 	 -0,2 	  
08:40 31.01.2020 	 2,59 	 3,23 	 3,26 	 7 	 13 	 347 	 988 	 -0,3 	  
08:30 31.01.2020 	 2,54 	 3,23 	 3,26 	 6 	 10 	 345 	 988 	 -0,7 	  
08:20 31.01.2020 	 2,5 	 3,15 	 3,18 	 6 	 10 	 351 	 988 	 -0,9 	  
08:10 31.01.2020 	 2,45 	 3,1 	 3,13 	 6 	 10 	 352 	 987 	 -1 	  
08:00 31.01.2020 	 2,39 	 3,04 	 3,07 	 6 	 10 	 352 	 987 	 -0,9 	  
07:50 31.01.2020 	 2,33 	 2,97 	 3 	 5 	 10 	 352 	 987 	 -1,1 	  
07:40 31.01.2020 	 2,26 	 2,93 	 2,96 	 6 	 9 	 350 	 987 	 -1,1 	  
07:30 31.01.2020 	 2,19 	 2,83 	 2,86 	 7 	 11 	 354 	 987 	 -1 	  
07:20 31.01.2020 	 2,13 	 2,74 	 2,77 	 6 	 9 	 353 	 987 	 -1 	  
07:10 31.01.2020 	 2,06 	 2,69 	 2,71 	 6 	 11 	 356 	 987 	 -1,1 	  
07:00 31.01.2020 	 1,98 	 2,6 	 2,62 	 8 	 12 	 359 	 987 	 -1 	  
06:50 31.01.2020 	 1,9 	 2,55 	 2,57 	 8 	 12 	 2 	 987 	 -0,6 	  
06:40 31.01.2020 	 1,82 	 2,41 	 2,44 	 8 	 11 	 356 	 987 	 -0,6 	  
06:30 31.01.2020 	 1,75 	 2,39 	 2,41 	 9 	 12 	 357 	 987 	 -0,9 	  
06:20 31.01.2020 	 1,67 	 2,28 	 2,31 	 9 	 13 	 360 	 987 	 -0,8 	  
06:10 31.01.2020 	 1,59 	 2,2 	 2,23 	 9 	 12 	 4 	 987 	 -0,3 	  
