 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 02.02.2020 	 2,39 	 3,04 	 3,07 	 6 	 7 	 81 	 997 	 -1,1 	  
23:50 01.02.2020 	 2,42 	 3,06 	 3,09 	 6 	 7 	 83 	 997 	 -0,9 	  
23:40 01.02.2020 	 2,44 	 3,07 	 3,11 	 5 	 7 	 83 	 997 	 -0,7 	  
23:30 01.02.2020 	 2,45 	 3,11 	 3,14 	 5 	 7 	 86 	 997 	 -0,7 	  
23:20 01.02.2020 	 2,46 	 3,12 	 3,15 	 5 	 6 	 81 	 997 	 -0,7 	  
23:10 01.02.2020 	 2,46 	 3,13 	 3,16 	 5 	 7 	 82 	 997 	 -0,6 	  
23:00 01.02.2020 	 2,46 	 3,11 	 3,14 	 5 	 6 	 82 	 997 	 -0,6 	  
22:50 01.02.2020 	 2,46 	 3,07 	 3,1 	 5 	 6 	 79 	 997 	 -0,6 	  
22:40 01.02.2020 	 2,46 	 3,12 	 3,15 	 5 	 6 	 80 	 997 	 -0,7 	  
22:30 01.02.2020 	 2,44 	 3,07 	 3,1 	 4 	 5 	 76 	 997 	 -0,6 	  
22:20 01.02.2020 	 2,42 	 3,05 	 3,08 	 4 	 5 	 80 	 997 	 -0,6 	  
22:10 01.02.2020 	 2,4 	 3,04 	 3,07 	 4 	 5 	 80 	 997 	 -0,5 	  
22:00 01.02.2020 	 2,38 	 2,99 	 3,02 	 5 	 6 	 83 	 997 	 -0,5 	  
21:50 01.02.2020 	 2,34 	 2,95 	 2,98 	 5 	 6 	 82 	 997 	 -0,4 	  
21:40 01.02.2020 	 2,3 	 2,95 	 2,98 	 4 	 5 	 81 	 997 	 -0,5 	  
21:30 01.02.2020 	 2,26 	 2,87 	 2,9 	 3 	 5 	 81 	 997 	 -0,8 	  
21:20 01.02.2020 	 2,22 	 2,84 	 2,87 	 3 	 4 	 81 	 997 	 -1 	  
21:10 01.02.2020 	 2,18 	 2,83 	 2,86 	 4 	 5 	 79 	 997 	 -0,7 	  
21:00 01.02.2020 	 2,13 	 2,76 	 2,79 	 4 	 4 	 80 	 997 	 -0,8 	  
20:50 01.02.2020 	 2,08 	 2,7 	 2,73 	 3 	 4 	 78 	 997 	 -0,9 	  
20:40 01.02.2020 	 2,02 	 2,66 	 2,69 	 3 	 9 	 79 	 997 	 -0,9 	  
20:30 01.02.2020 	 1,98 	 2,6 	 2,62 	 3 	 4 	 80 	 997 	 -1,1 	  
20:20 01.02.2020 	 1,91 	 2,53 	 2,56 	 3 	 4 	 83 	 997 	 -1,7 	  
20:10 01.02.2020 	 1,86 	 2,48 	 2,5 	 2 	 3 	 79 	 997 	 -2,2 	  
20:00 01.02.2020 	 1,8 	 2,43 	 2,46 	 1 	 2 	 66 	 997 	 -2,3 	  
19:50 01.02.2020 	 1,74 	 2,36 	 2,39 	 1 	 1 	 54 	 997 	 -2,3 	  
19:40 01.02.2020 	 1,68 	 2,29 	 2,32 	 1 	 1 	 43 	 997 	 -2,5 	  
19:30 01.02.2020 	 1,62 	 2,24 	 2,26 	 1 	 1 	 61 	 997 	 -1,9 	  
19:20 01.02.2020 	 1,57 	 2,17 	 2,2 	 1 	 3 	 80 	 996 	 -1 	  
19:10 01.02.2020 	 1,51 	 2,1 	 2,13 	 0 	 1 	 38 	 996 	 -3,1 	  
19:00 01.02.2020 	 1,46 	 2,07 	 2,1 	 1 	 1 	 33 	 996 	 -2,8 	  
18:50 01.02.2020 	 1,4 	 2 	 2,02 	 0 	 1 	 41 	 996 	 -2,8 	  
18:40 01.02.2020 	 1,35 	 1,96 	 1,98 	 1 	 1 	 28 	 996 	 -2,6 	  
18:30 01.02.2020 	 1,3 	 1,91 	 1,93 	 1 	 1 	 17 	 996 	 -3 	  
18:20 01.02.2020 	 1,26 	 1,83 	 1,86 	 1 	 1 	 360 	 996 	 -2,8 	  
18:10 01.02.2020 	 1,22 	 1,79 	 1,82 	 0 	 1 	 6 	 996 	 -2,5 	  
18:00 01.02.2020 	 1,18 	 1,77 	 1,79 	 0 	 1 	 334 	 996 	 -2,6 	  
17:50 01.02.2020 	 1,14 	 1,73 	 1,76 	 1 	 1 	 350 	 996 	 -2,3 	  
17:40 01.02.2020 	 1,11 	 1,72 	 1,75 	 1 	 2 	 353 	 996 	 -1,9 	  
17:30 01.02.2020 	 1,09 	 1,65 	 1,68 	 1 	 2 	 341 	 996 	 -1,8 	  
17:20 01.02.2020 	 1,06 	 1,66 	 1,68 	 1 	 2 	 358 	 996 	 -1,8 	  
17:10 01.02.2020 	 1,05 	 1,64 	 1,66 	 2 	 2 	 4 	 996 	 -1,9 	  
17:00 01.02.2020 	 1,04 	 1,66 	 1,68 	 2 	 2 	 359 	 996 	 -1,7 	  
16:50 01.02.2020 	 1,03 	 1,65 	 1,67 	 1 	 2 	 344 	 996 	 -1,3 	  
16:40 01.02.2020 	 1,03 	 1,63 	 1,66 	 1 	 2 	 351 	 996 	 -1 	  
16:30 01.02.2020 	 1,04 	 1,65 	 1,67 	 1 	 2 	 353 	 996 	 -1,1 	  
16:20 01.02.2020 	 1,06 	 1,65 	 1,67 	 2 	 2 	 357 	 996 	 -0,9 	  
16:10 01.02.2020 	 1,07 	 1,67 	 1,7 	 2 	 3 	 355 	 996 	 -0,7 	  
16:00 01.02.2020 	 1,1 	 1,69 	 1,72 	 2 	 2 	 342 	 996 	 -0,2 	  
15:50 01.02.2020 	 1,12 	 1,72 	 1,74 	 2 	 2 	 322 	 996 	 0,4 	  
15:40 01.02.2020 	 1,15 	 1,76 	 1,78 	 2 	 3 	 325 	 996 	 0,4 	  
15:30 01.02.2020 	 1,19 	 1,79 	 1,81 	 2 	 3 	 323 	 996 	 0,3 	  
15:20 01.02.2020 	 1,23 	 1,86 	 1,88 	 2 	 3 	 324 	 996 	 0,1 	  
15:10 01.02.2020 	 1,28 	 1,92 	 1,95 	 2 	 3 	 318 	 996 	 0,4 	  
15:00 01.02.2020 	 1,33 	 1,94 	 1,97 	 2 	 3 	 318 	 996 	 0,4 	  
14:50 01.02.2020 	 1,38 	 2,02 	 2,04 	 2 	 3 	 315 	 996 	 0,3 	  
14:40 01.02.2020 	 1,44 	 2,08 	 2,1 	 2 	 3 	 320 	 996 	 -0,2 	  
14:30 01.02.2020 	 1,5 	 2,11 	 2,13 	 2 	 3 	 317 	 996 	 -0,2 	  
14:20 01.02.2020 	 1,55 	 2,21 	 2,23 	 2 	 3 	 315 	 996 	 -0,3 	  
14:10 01.02.2020 	 1,62 	 2,25 	 2,27 	 2 	 4 	 308 	 996 	 -0,4 	  
14:00 01.02.2020 	 1,68 	 2,32 	 2,35 	 2 	 4 	 282 	 996 	 -0,7 	  
13:50 01.02.2020 	 1,74 	 2,42 	 2,45 	 1 	 2 	 58 	 995 	 1,6 	  
13:40 01.02.2020 	 1,8 	 2,48 	 2,51 	 2 	 2 	 73 	 995 	 1,5 	  
13:30 01.02.2020 	 1,86 	 2,54 	 2,57 	 2 	 3 	 69 	 995 	 1,2 	  
13:20 01.02.2020 	 1,93 	 2,61 	 2,63 	 3 	 3 	 74 	 995 	 1 	  
13:10 01.02.2020 	 1,99 	 2,69 	 2,72 	 3 	 4 	 71 	 995 	 0,9 	  
13:00 01.02.2020 	 2,05 	 2,75 	 2,78 	 3 	 3 	 72 	 995 	 1 	  
12:50 01.02.2020 	 2,11 	 2,8 	 2,83 	 1 	 3 	 51 	 995 	 0,5 	  
12:40 01.02.2020 	 2,17 	 2,89 	 2,92 	 1 	 2 	 27 	 995 	 -0,2 	  
12:30 01.02.2020 	 2,22 	 2,92 	 2,95 	 1 	 2 	 2 	 995 	 -0,4 	  
12:20 01.02.2020 	 2,27 	 2,96 	 2,99 	 1 	 2 	 360 	 995 	 -0,8 	  
12:10 01.02.2020 	 2,32 	 3,01 	 3,04 	 1 	 2 	 342 	 995 	 -1,5 	  
12:00 01.02.2020 	 2,36 	 3,07 	 3,1 	 1 	 2 	 4 	 995 	 -1,6 	  
11:50 01.02.2020 	 2,4 	 3,13 	 3,16 	 2 	 2 	 23 	 995 	 -1,7 	  
11:40 01.02.2020 	 2,44 	 3,16 	 3,19 	 2 	 3 	 18 	 995 	 -2 	  
11:30 01.02.2020 	 2,47 	 3,18 	 3,21 	 3 	 3 	 13 	 995 	 -2,5 	  
11:20 01.02.2020 	 2,5 	 3,23 	 3,26 	 3 	 3 	 20 	 995 	 -2,9 	  
11:10 01.02.2020 	 2,52 	 3,25 	 3,28 	 3 	 4 	 16 	 994 	 -2,6 	  
11:00 01.02.2020 	 2,54 	 3,25 	 3,28 	 3 	 4 	 5 	 994 	 -2,6 	  
10:50 01.02.2020 	 2,55 	 3,27 	 3,3 	 3 	 4 	 7 	 994 	 -2,6 	  
10:40 01.02.2020 	 2,55 	 3,27 	 3,3 	 3 	 4 	 9 	 994 	 -2,7 	  
10:30 01.02.2020 	 2,56 	 3,25 	 3,28 	 2 	 4 	 1 	 994 	 -2,8 	  
10:20 01.02.2020 	 2,55 	 3,26 	 3,29 	 3 	 4 	 14 	 994 	 -2,5 	  
10:10 01.02.2020 	 2,54 	 3,24 	 3,27 	 3 	 4 	 12 	 994 	 -2,8 	  
10:00 01.02.2020 	 2,54 	 3,19 	 3,22 	 2 	 4 	 354 	 994 	 -3,3 	  
09:50 01.02.2020 	 2,51 	 3,18 	 3,21 	 3 	 3 	 355 	 994 	 -3,6 	  
09:40 01.02.2020 	 2,49 	 3,15 	 3,18 	 2 	 3 	 336 	 994 	 -3,7 	  
09:30 01.02.2020 	 2,46 	 3,13 	 3,16 	 2 	 3 	 333 	 994 	 -3,4 	  
09:20 01.02.2020 	 2,43 	 3,11 	 3,14 	 2 	 3 	 335 	 994 	 -3,7 	  
09:10 01.02.2020 	 2,4 	 3,04 	 3,07 	 2 	 2 	 338 	 993 	 -3,4 	  
09:00 01.02.2020 	 2,35 	 3,01 	 3,04 	 2 	 3 	 345 	 993 	 -3,6 	  
08:50 01.02.2020 	 2,31 	 2,91 	 2,94 	 1 	 2 	 341 	 993 	 -3,6 	  
08:40 01.02.2020 	 2,26 	 2,91 	 2,94 	 2 	 3 	 339 	 993 	 -3,2 	  
08:30 01.02.2020 	 2,22 	 2,85 	 2,88 	 3 	 3 	 357 	 993 	 -3,2 	  
08:20 01.02.2020 	 2,16 	 2,78 	 2,81 	 3 	 4 	 5 	 993 	 -2,7 	  
08:10 01.02.2020 	 2,1 	 2,74 	 2,77 	 3 	 3 	 14 	 993 	 -2,6 	  
08:00 01.02.2020 	 2,05 	 2,66 	 2,69 	 2 	 3 	 15 	 993 	 -2,9 	  
07:50 01.02.2020 	 1,99 	 2,62 	 2,65 	 2 	 3 	 355 	 993 	 -3,8 	  
07:40 01.02.2020 	 1,93 	 2,51 	 2,54 	 2 	 3 	 358 	 993 	 -3,7 	  
07:30 01.02.2020 	 1,87 	 2,49 	 2,52 	 2 	 3 	 344 	 993 	 -3,9 	  
07:20 01.02.2020 	 1,81 	 2,39 	 2,42 	 2 	 3 	 355 	 993 	 -3,5 	  
07:10 01.02.2020 	 1,74 	 2,34 	 2,36 	 2 	 3 	 5 	 993 	 -3,4 	  
07:00 01.02.2020 	 1,68 	 2,29 	 2,32 	 2 	 3 	 355 	 993 	 -3,5 	  
06:50 01.02.2020 	 1,62 	 2,22 	 2,25 	 2 	 3 	 348 	 992 	 -4 	  
06:40 01.02.2020 	 1,56 	 2,16 	 2,18 	 2 	 3 	 356 	 992 	 -3,5 	  
06:30 01.02.2020 	 1,5 	 2,09 	 2,11 	 2 	 3 	 1 	 992 	 -3,4 	  
